# offset-or-name	reason
09461170	tree-farm: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09305646	horsepond: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09355261	millpond: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09452866	swimming-hole: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09480699	wonderland: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09295790	guantanamo-bay: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09346735	mare-clausum: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09346874	mare-liberum: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09335809	landfill: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09422631	sanitary-landfill: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09263811	deep: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09441875	south-sea: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09430615	seven-seas: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
11525303	elements: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
11454953	debacle: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
11432262	breath: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09218641	ben: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09228055	brae: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09362945	mull: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09375606	nullah: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09343587	lough: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09351547	mere: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
06120769	magnetism: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
06122747	topology: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09445435	stepping-stone: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09300483	gut: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
06010737	space-time: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
06010583	inertial-reference-frame: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09199101	anthill: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
09357346	molehill: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
09474765	warren: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
09218494	belay: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
09249155	collector: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
07433336	charybdis: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
09284917	fountain-of-youth: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
15223916	noruz: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
00921926	haying: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
09226498	bonanza: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
11446459	sweat: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14521954	fug: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
11466834	scorcher: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
08570533	bent: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14903596	gumbo: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
09260744	crystallite: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14522570	balminess: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14523669	boisterousness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14523787	breeziness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14522265	calmness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14524029	choppiness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14522408	mildness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14522809	stillness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14523436	storminess: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
11466909	sultriness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14523923	tempestuousness: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
11518494	tempest: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
14523344	raw-weather: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
11434150	nuclear-winter: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
05092635	exceedance: not physical geography (animals' mounds, moods of weather, myth, festivals) or a bare quality noun
08658118	horizon.location: near-duplicate of WordNet's own 'soil horizon' synset
14522956	lull: a bare quality noun
09345932	main: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09437098	slash: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09445008	steep: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09393524	plage: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
11497888	puff: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
11465297	bluster: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
11506167	scattering: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09230041	burrow: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09481036	wormhole: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09286200	gallstone: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09273681	enterolith: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09400584	ptyalith: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09434125	sialolith: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09467696	urolith: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09280913	fishpond: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09278997	feeder: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
09392402	pinetum: everyday or literary word, medical stone, animal hole, or a duplicate of tributary
