# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
prime-meridian	meridian	accept	geography skeleton [2026-09-03]		
iers-reference-meridian	prime-meridian	accept	geography skeleton [2026-09-03]		
meridian	great-circle	accept	geography skeleton [2026-09-03]		
circle-of-latitude	geographic-line	accept	geography skeleton [2026-09-03]		
tropic-of-cancer	circle-of-latitude	accept	geography skeleton [2026-09-03]		
tropic-of-capricorn	circle-of-latitude	accept	geography skeleton [2026-09-03]		
arctic-circle	circle-of-latitude	accept	geography skeleton [2026-09-03]		
antarctic-circle	circle-of-latitude	accept	geography skeleton [2026-09-03]		
northern-hemisphere	hemisphere	accept	geography skeleton [2026-09-03]		
southern-hemisphere	hemisphere	accept	geography skeleton [2026-09-03]		
eastern-hemisphere	hemisphere	accept	geography skeleton [2026-09-03]		
western-hemisphere	hemisphere	accept	geography skeleton [2026-09-03]		
antipodes	geographic-point	accept	geography skeleton [2026-09-03]		
great-circle	line	accept	geography skeleton [2026-09-03]		
great-circle-distance	distance	accept	geography skeleton [2026-09-03]		
rhumb-line	line	accept	geography skeleton [2026-09-03]		
haversine-formula	formula	accept	geography skeleton [2026-09-03]		
vincenty-formulae	formula	accept	geography skeleton [2026-09-03]		
navigational-bearing	angle	accept	geography skeleton [2026-09-03]		
compass-rose	symbol	accept	geography skeleton [2026-09-03]		
geography	earth-science	accept	geography skeleton [2026-09-03]		
physical-geography	geography	accept	geography skeleton [2026-09-03]		
geodesy	geophysics	accept	geography skeleton [2026-09-03]		
cartography	geography	accept	geography skeleton [2026-09-03]		
cartography	engineering	accept	geography skeleton [2026-09-03]		
geomatics	engineering	accept	geography skeleton [2026-09-03]		
geographic-information-system	software	accept	geography skeleton [2026-09-03]		
geographic-coordinate-system	coordinate-system	accept	geography skeleton [2026-09-03]		
coordinate-system	concept	accept	geography skeleton [2026-09-03]		
spherical-coordinate-system	coordinate-system	accept	geography skeleton [2026-09-03]		
geodetic-datum	spatial-reference-system	accept	geography skeleton [2026-09-03]		
spatial-reference-system	coordinate-system	accept	geography skeleton [2026-09-03]		
world-geodetic-system	geodetic-datum	accept	geography skeleton [2026-09-03]		
wgs-84	world-geodetic-system	accept	geography skeleton [2026-09-03]		
geoid	shape	accept	geography skeleton [2026-09-03]		
reference-ellipsoid	shape	accept	geography skeleton [2026-09-03]		
earth-centered-earth-fixed	geographic-coordinate-system	accept	geography skeleton [2026-09-03]		
latitude	angle	accept	geography skeleton [2026-09-03]		
latitude	geographic-coordinate	accept	geography skeleton [2026-09-03]		
longitude	geographic-coordinate	accept	geography skeleton [2026-09-03]		
geographic-coordinate	quantity	accept	geography skeleton [2026-09-03]		
map-projection	method	accept	geography skeleton [2026-09-03]		
map-projection	representation	accept	geography skeleton [2026-09-03]		
mercator-projection	cylindrical-projection	accept	geography skeleton [2026-09-03]		
transverse-mercator-projection	cylindrical-projection	accept	geography skeleton [2026-09-03]		
web-mercator-projection	mercator-projection	accept	geography skeleton [2026-09-03]		
utm-coordinate-system	spatial-reference-system	accept	geography skeleton [2026-09-03]		
military-grid-reference-system	spatial-reference-system	accept	geography skeleton [2026-09-03]		
lambert-conformal-conic-projection	conic-projection	accept	geography skeleton [2026-09-03]		
albers-projection	conic-projection	accept	geography skeleton [2026-09-03]		
azimuthal-equidistant-projection	azimuthal-projection	accept	geography skeleton [2026-09-03]		
equirectangular-projection	cylindrical-projection	accept	geography skeleton [2026-09-03]		
robinson-projection	map-projection	accept	geography skeleton [2026-09-03]		
winkel-tripel-projection	map-projection	accept	geography skeleton [2026-09-03]		
gnomonic-projection	azimuthal-projection	accept	geography skeleton [2026-09-03]		
stereographic-projection	azimuthal-projection	accept	geography skeleton [2026-09-03]		
orthographic-projection	azimuthal-projection	accept	geography skeleton [2026-09-03]		
gall-peters-projection	cylindrical-projection	accept	geography skeleton [2026-09-03]		
mollweide-projection	equal-area-projection	accept	geography skeleton [2026-09-03]		
sinusoidal-projection	equal-area-projection	accept	geography skeleton [2026-09-03]		
conformal-projection	map-projection	accept	geography skeleton [2026-09-03]		
equidistant-projection	map-projection	accept	geography skeleton [2026-09-03]		
azimuthal-projection	map-projection	accept	geography skeleton [2026-09-03]		
conic-projection	map-projection	accept	geography skeleton [2026-09-03]		
cylindrical-projection	map-projection	accept	geography skeleton [2026-09-03]		
equal-area-projection	map-projection	accept	geography skeleton [2026-09-03]		
geohash	geocode	accept	geography skeleton [2026-09-03]		
geohash	geocoding-system	accept	geography skeleton [2026-09-03]		
geocoding-system	coordinate-system	accept	geography skeleton [2026-09-03]		
open-location-code	geocode	accept	geography skeleton [2026-09-03]		
geocode	code	accept	geography skeleton [2026-09-03]		
geocoding	data-processing	accept	geography skeleton [2026-09-03]		
reverse-geocoding	geocoding	accept	geography skeleton [2026-09-03]		
satellite-navigation	navigational-system	accept	geography skeleton [2026-09-03]		
global-positioning-system	global-navigation-satellite-system	accept	geography skeleton [2026-09-03]		
glonass	global-navigation-satellite-system	accept	geography skeleton [2026-09-03]		
galileo-navigation-system	global-navigation-satellite-system	accept	geography skeleton [2026-09-03]		
beidou	global-navigation-satellite-system	accept	geography skeleton [2026-09-03]		
gps-receiver	navigational-instrument	accept	geography skeleton [2026-09-03]		
trilateration	method	accept	geography skeleton [2026-09-03]		
differential-gps	gnss-augmentation	accept	geography skeleton [2026-09-03]		
gnss-augmentation	method	accept	geography skeleton [2026-09-03]		
wide-area-augmentation-system	gnss-augmentation	accept	geography skeleton [2026-09-03]		
dead-reckoning	navigation	accept	geography skeleton [2026-09-03]		
inertial-navigation-system	navigational-system	accept	geography skeleton [2026-09-03]		
navigation	activity	accept	geography skeleton [2026-09-03]		
celestial-navigation	navigation	accept	geography skeleton [2026-09-03]		
coastal-piloting	navigation	accept	geography skeleton [2026-09-03]		
topographic-map	map	accept	geography skeleton [2026-09-03]		
nautical-chart	chart	accept	geography skeleton [2026-09-03]		
aeronautical-chart	chart	accept	geography skeleton [2026-09-03]		
thematic-map	map	accept	geography skeleton [2026-09-03]		
choropleth-map	thematic-map	accept	geography skeleton [2026-09-03]		
cartogram	thematic-map	accept	geography skeleton [2026-09-03]		
relief-map	topographic-map	accept	geography skeleton [2026-09-03]		
bathymetric-chart	chart	accept	geography skeleton [2026-09-03]		
star-chart	map	accept	geography skeleton [2026-09-03]		
web-map	map	accept	geography skeleton [2026-09-03]		
contour-line	isoline	accept	geography skeleton [2026-09-03]		
isoline	line	accept	geography skeleton [2026-09-03]		
isobar	isoline	accept	geography skeleton [2026-09-03]		
isotherm	isoline	accept	geography skeleton [2026-09-03]		
map-scale	ratio	accept	geography skeleton [2026-09-03]		
scale-bar	symbol	accept	geography skeleton [2026-09-03]		
map-legend	document	accept	geography skeleton [2026-09-03]		
gazetteer	dictionary	accept	geography skeleton [2026-09-03]		
atlas	book	accept	geography skeleton [2026-09-03]		
terrestrial-globe	model	accept	geography skeleton [2026-09-03]		
digital-elevation-model	model	accept	geography skeleton [2026-09-03]		
remote-sensing	measurement	accept	geography skeleton [2026-09-03]		
lidar	remote-sensing	accept	geography skeleton [2026-09-03]		
lidar	measuring-instrument	accept	geography skeleton [2026-09-03]		
photogrammetry	measurement	accept	geography skeleton [2026-09-03]		
aerial-photography	photography	accept	geography skeleton [2026-09-03]		
satellite-imagery	image	accept	geography skeleton [2026-09-03]		
orthophoto	image	accept	geography skeleton [2026-09-03]		
geographic-data	information	accept	geography skeleton [2026-09-03]		
geospatial-analysis	data-processing	accept	geography skeleton [2026-09-03]		
spatial-database	database	accept	geography skeleton [2026-09-03]		
geotagging	data-processing	accept	geography skeleton [2026-09-03]		
location-based-service	software	accept	geography skeleton [2026-09-03]		
turn-by-turn-navigation	navigation	accept	geography skeleton [2026-09-03]		
point-of-interest	geographic-point	accept	geography skeleton [2026-09-03]		
postal-address	information	accept	geography skeleton [2026-09-03]		
postal-code	code	accept	geography skeleton [2026-09-03]		
place-name	name	accept	geography skeleton [2026-09-03]		
toponymy	field-of-study	accept	geography skeleton [2026-09-03]		
exonym	place-name	accept	geography skeleton [2026-09-03]		
endonym	place-name	accept	geography skeleton [2026-09-03]		
geonames	gazetteer	accept	geography skeleton [2026-09-03]		
getty-thesaurus-of-geographic-names	gazetteer	accept	geography skeleton [2026-09-03]		
national-mapping-agency	organization	accept	geography skeleton [2026-09-03]		
epsg-geodetic-parameter-dataset	dataset	accept	geography skeleton [2026-09-03]		
time-zone	geographical-area	accept	geography skeleton [2026-09-03]		
coordinated-universal-time	time-standard	accept	geography skeleton [2026-09-03]		
international-atomic-time	time-standard	accept	geography skeleton [2026-09-03]		
gps-time	time-standard	accept	geography skeleton [2026-09-03]		
unix-time	time-standard	accept	geography skeleton [2026-09-03]		
time-standard	standard	accept	geography skeleton [2026-09-03]		
international-date-line	geographic-line	accept	geography skeleton [2026-09-03]		
solar-time	time-standard	accept	geography skeleton [2026-09-03]		
sidereal-time	time-standard	accept	geography skeleton [2026-09-03]		
local-mean-time	solar-time	accept	geography skeleton [2026-09-03]		
daylight-saving-time	practice	accept	geography skeleton [2026-09-03]		
julian-day	time-standard	accept	geography skeleton [2026-09-03]		
gregorian-calendar	solar-calendar	accept	geography skeleton [2026-09-03]		
lunar-calendar	calendar	accept	geography skeleton [2026-09-03]		
solar-calendar	calendar	accept	geography skeleton [2026-09-03]		
lunisolar-calendar	calendar	accept	geography skeleton [2026-09-03]		
leap-year	year	accept	geography skeleton [2026-09-03]		
leap-second	time-standard	accept	geography skeleton [2026-09-03]		
earth-rotation	natural-event	accept	geography skeleton [2026-09-03]		
axial-tilt	angle	accept	geography skeleton [2026-09-03]		
earth-orbit	orbit	accept	geography skeleton [2026-09-03]		
tropical-year	year	accept	geography skeleton [2026-09-03]		
sidereal-day	day	accept	geography skeleton [2026-09-03]		
equinox	natural-event	accept	geography skeleton [2026-09-03]		
solstice	natural-event	accept	geography skeleton [2026-09-03]		
earth-structure	structure	accept	geography skeleton [2026-09-03]		
earth-crust	layer	accept	geography skeleton [2026-09-03]		
earth-mantle	layer	accept	geography skeleton [2026-09-03]		
earth-outer-core	layer	accept	geography skeleton [2026-09-03]		
earth-inner-core	layer	accept	geography skeleton [2026-09-03]		
lithosphere	layer	accept	geography skeleton [2026-09-03]		
asthenosphere	layer	accept	geography skeleton [2026-09-03]		
earth-sphere	layer	accept	geography skeleton [2026-09-03]		
atmospheric-layer	layer	accept	geography skeleton [2026-09-03]		
magnetosphere	region	accept	geography skeleton [2026-09-03]		
earth-magnetic-field	magnetic-field	accept	geography skeleton [2026-09-03]		
geomagnetic-pole	geographic-point	accept	geography skeleton [2026-09-03]		
magnetic-declination	angle	accept	geography skeleton [2026-09-03]		
plate-tectonics	theory	accept	geography skeleton [2026-09-03]		
tectonic-plate	geological-formation	accept	geography skeleton [2026-09-03]		
plate-boundary	geological-formation	accept	geography skeleton [2026-09-03]		
divergent-boundary	plate-boundary	accept	geography skeleton [2026-09-03]		
convergent-boundary	plate-boundary	accept	geography skeleton [2026-09-03]		
transform-fault	plate-boundary	accept	geography skeleton [2026-09-03]		
transform-fault	geological-fault	accept	geography skeleton [2026-09-03]		
subduction	geological-process	accept	geography skeleton [2026-09-03]		
mid-ocean-ridge	oceanic-ridge	accept	geography skeleton [2026-09-03]		
continental-drift	geological-process	accept	geography skeleton [2026-09-03]		
supercontinent	landmass	accept	geography skeleton [2026-09-03]		
orogeny	geological-process	accept	geography skeleton [2026-09-03]		
geological-fault	geological-formation	accept	geography skeleton [2026-09-03]		
seismic-wave	wave	accept	geography skeleton [2026-09-03]		
epicenter	geographic-point	accept	geography skeleton [2026-09-03]		
hypocenter	location	accept	geography skeleton [2026-09-03]		
richter-magnitude-scale	scale	accept	geography skeleton [2026-09-03]		
moment-magnitude-scale	scale	accept	geography skeleton [2026-09-03]		
seismometer	measuring-instrument	accept	geography skeleton [2026-09-03]		
volcanism	geological-phenomenon	accept	geography skeleton [2026-09-03]		
rock-cycle	geological-process	accept	geography skeleton [2026-09-03]		
weathering	geological-process	accept	geography skeleton [2026-09-03]		
sedimentation	geological-process	accept	geography skeleton [2026-09-03]		
stratigraphy	geology	accept	geography skeleton [2026-09-03]		
geologic-time-scale	time-standard	accept	geography skeleton [2026-09-03]		
eon	geological-time-division	accept	geography skeleton [2026-09-03]		
geological-era	geological-time-division	accept	geography skeleton [2026-09-03]		
geological-period	geological-time-division	accept	geography skeleton [2026-09-03]		
epoch	geological-time-division	accept	geography skeleton [2026-09-03]		
phanerozoic	eon	accept	geography skeleton [2026-09-03]		
proterozoic	eon	accept	geography skeleton [2026-09-03]		
archean	eon	accept	geography skeleton [2026-09-03]		
hadean	eon	accept	geography skeleton [2026-09-03]		
paleozoic	geological-era	accept	geography skeleton [2026-09-03]		
mesozoic	geological-era	accept	geography skeleton [2026-09-03]		
cenozoic	geological-era	accept	geography skeleton [2026-09-03]		
cambrian	geological-period	accept	geography skeleton [2026-09-03]		
ordovician	geological-period	accept	geography skeleton [2026-09-03]		
silurian	geological-period	accept	geography skeleton [2026-09-03]		
devonian	geological-period	accept	geography skeleton [2026-09-03]		
carboniferous	geological-period	accept	geography skeleton [2026-09-03]		
permian	geological-period	accept	geography skeleton [2026-09-03]		
triassic	geological-period	accept	geography skeleton [2026-09-03]		
jurassic	geological-period	accept	geography skeleton [2026-09-03]		
cretaceous	geological-period	accept	geography skeleton [2026-09-03]		
paleogene	geological-period	accept	geography skeleton [2026-09-03]		
neogene	geological-period	accept	geography skeleton [2026-09-03]		
quaternary	geological-period	accept	geography skeleton [2026-09-03]		
pleistocene	epoch	accept	geography skeleton [2026-09-03]		
holocene	epoch	accept	geography skeleton [2026-09-03]		
geological-time-division	quantity	accept	geography skeleton [2026-09-03]		
paleontology	earth-science	accept	geography skeleton [2026-09-03]		
geographical-feature	natural-object	accept	geography skeleton [2026-09-03]		
geographical-feature	place	accept	geography skeleton [2026-09-03]		
terrain	geographical-feature	accept	geography skeleton [2026-09-03]		
topography	geography	accept	geography skeleton [2026-09-03]		
hill	natural-elevation	accept	geography skeleton [2026-09-03]		
plateau	natural-elevation	accept	geography skeleton [2026-09-03]		
canyon	valley	accept	geography skeleton [2026-09-03]		
natural-basin	natural-depression	accept	geography skeleton [2026-09-03]		
archipelago	land	accept	geography skeleton [2026-09-03]		
isthmus	land	accept	geography skeleton [2026-09-03]		
cape	land	accept	geography skeleton [2026-09-03]		
continental-shelf	ocean-floor	accept	geography skeleton [2026-09-03]		
coast	land	accept	geography skeleton [2026-09-03]		
coast	geographical-feature	accept	geography skeleton [2026-09-03]		
beach	coast	accept	geography skeleton [2026-09-03]		
dune	natural-elevation	accept	geography skeleton [2026-09-03]		
fjord	inlet	accept	geography skeleton [2026-09-03]		
river-delta	landform	accept	geography skeleton [2026-09-03]		
estuary	body-of-water	accept	geography skeleton [2026-09-03]		
tributary	stream	accept	geography skeleton [2026-09-03]		
river-mouth	geographic-point	accept	geography skeleton [2026-09-03]		
river-source	geographic-point	accept	geography skeleton [2026-09-03]		
drainage-basin	geographical-area	accept	geography skeleton [2026-09-03]		
rapids	stream	accept	geography skeleton [2026-09-03]		
reservoir	lake	accept	geography skeleton [2026-09-03]		
wetland	land	accept	geography skeleton [2026-09-03]		
bog	wetland	accept	geography skeleton [2026-09-03]		
ice-sheet	glacier	accept	geography skeleton [2026-09-03]		
ice-cap	glacier	accept	geography skeleton [2026-09-03]		
ice-shelf	ice-mass	accept	geography skeleton [2026-09-03]		
sea-ice	ice-mass	accept	geography skeleton [2026-09-03]		
oasis	geographical-area	accept	geography skeleton [2026-09-03]		
karst	landform	accept	geography skeleton [2026-09-03]		
sinkhole	natural-depression	accept	geography skeleton [2026-09-03]		
groundwater	water	accept	geography skeleton [2026-09-03]		
outflow	geological-formation	accept	geography skeleton [2026-09-03]		
geyser	hot-spring	accept	geography skeleton [2026-09-03]		
hot-spring	outflow	accept	geography skeleton [2026-09-03]		
water-cycle	natural-event	accept	geography skeleton [2026-09-03]		
ocean-gyre	ocean-current	accept	geography skeleton [2026-09-03]		
tidal-range	quantity	accept	geography skeleton [2026-09-03]		
sea-level	quantity	accept	geography skeleton [2026-09-03]		
ocean-floor	geological-formation	accept	geography skeleton [2026-09-03]		
abyssal-plain	ocean-floor	accept	geography skeleton [2026-09-03]		
seamount	natural-elevation	accept	geography skeleton [2026-09-03]		
pelagic-zone	body-of-water	accept	geography skeleton [2026-09-03]		
thermohaline-circulation	ocean-current	accept	geography skeleton [2026-09-03]		
upwelling	ocean-current	accept	geography skeleton [2026-09-03]		
storm-surge	natural-event	accept	geography skeleton [2026-09-03]		
rip-current	ocean-current	accept	geography skeleton [2026-09-03]		
wave-height	quantity	accept	geography skeleton [2026-09-03]		
ocean-swell	wave	accept	geography skeleton [2026-09-03]		
seiche	wave	accept	geography skeleton [2026-09-03]		
tidal-bore	wave	accept	geography skeleton [2026-09-03]		
spring-tide	tide	accept	geography skeleton [2026-09-03]		
neap-tide	tide	accept	geography skeleton [2026-09-03]		
tide-gauge	measuring-instrument	accept	geography skeleton [2026-09-03]		
tide-table	document	accept	geography skeleton [2026-09-03]		
landslide	geological-phenomenon	accept	geography skeleton [2026-09-03]		
avalanche	natural-event	accept	geography skeleton [2026-09-03]		
dust-storm	storm	accept	geography skeleton [2026-09-03]		
heat-wave	weather	accept	geography skeleton [2026-09-03]		
cold-wave	weather	accept	geography skeleton [2026-09-03]		
ice-age	geological-time-division	accept	geography skeleton [2026-09-03]		
glaciation	geological-process	accept	geography skeleton [2026-09-03]		
glacial-period	geological-time-division	accept	geography skeleton [2026-09-03]		
interglacial	geological-time-division	accept	geography skeleton [2026-09-03]		
sea-breeze	wind	accept	geography skeleton [2026-09-03]		
hydrography	earth-science	accept	geography skeleton [2026-09-03]		
limnology	earth-science	accept	geography skeleton [2026-09-03]		
polar-vortex	cyclone	accept	geography skeleton [2026-09-03]		
greenhouse-effect	natural-event	accept	geography skeleton [2026-09-03]		
insolation	natural-event	accept	geography skeleton [2026-09-03]		
coriolis-force	force	accept	geography skeleton [2026-09-03]		
atmospheric-circulation	natural-event	accept	geography skeleton [2026-09-03]		
hadley-cell	atmospheric-circulation	accept	geography skeleton [2026-09-03]		
climate-classification	classification-scheme	accept	geography skeleton [2026-09-03]		
koppen-climate-classification	climate-classification	accept	geography skeleton [2026-09-03]		
tropical-climate	climate	accept	geography skeleton [2026-09-03]		
arid-climate	climate	accept	geography skeleton [2026-09-03]		
temperate-climate	climate	accept	geography skeleton [2026-09-03]		
continental-climate	climate	accept	geography skeleton [2026-09-03]		
polar-climate	climate	accept	geography skeleton [2026-09-03]		
tropics	climatic-zone	accept	geography skeleton [2026-09-03]		
biome	region	accept	geography skeleton [2026-09-03]		
ecoregion	region	accept	geography skeleton [2026-09-03]		
taiga	biome	accept	geography skeleton [2026-09-03]		
tropical-rainforest	biome	accept	geography skeleton [2026-09-03]		
steppe	grassland	accept	geography skeleton [2026-09-03]		
atmospheric-science	earth-science	accept	geography skeleton [2026-09-03]		
humidity	quantity	accept	geography skeleton [2026-09-03]		
dew-point	temperature	accept	geography skeleton [2026-09-03]		
beaufort-scale	scale	accept	geography skeleton [2026-09-03]		
westerlies	prevailing-wind	accept	geography skeleton [2026-09-03]		
jet-stream	wind	accept	geography skeleton [2026-09-03]		
cyclone	natural-event	accept	geography skeleton [2026-09-03]		
anticyclone	natural-event	accept	geography skeleton [2026-09-03]		
tropical-cyclone	cyclone	accept	geography skeleton [2026-09-03]		
hurricane	tropical-cyclone	accept	geography skeleton [2026-09-03]		
typhoon	tropical-cyclone	accept	geography skeleton [2026-09-03]		
thunderstorm	storm	accept	geography skeleton [2026-09-03]		
lightning	natural-event	accept	geography skeleton [2026-09-03]		
thunder	sound	accept	geography skeleton [2026-09-03]		
weather-front	natural-event	accept	geography skeleton [2026-09-03]		
air-mass	atmosphere	accept	geography skeleton [2026-09-03]		
cumulus	cloud	accept	geography skeleton [2026-09-03]		
stratus	cloud	accept	geography skeleton [2026-09-03]		
cirrus	cloud	accept	geography skeleton [2026-09-03]		
cumulonimbus	cloud	accept	geography skeleton [2026-09-03]		
nimbostratus	cloud	accept	geography skeleton [2026-09-03]		
fog	weather	accept	geography skeleton [2026-09-03]		
mist	weather	accept	geography skeleton [2026-09-03]		
hail	precipitation	accept	geography skeleton [2026-09-03]		
sleet	precipitation	accept	geography skeleton [2026-09-03]		
drizzle	rain	accept	geography skeleton [2026-09-03]		
freezing-rain	rain	accept	geography skeleton [2026-09-03]		
dew	natural-event	accept	geography skeleton [2026-09-03]		
freezing-weather	weather	accept	geography skeleton [2026-09-03]		
rainbow	natural-event	accept	geography skeleton [2026-09-03]		
aurora	natural-event	accept	geography skeleton [2026-09-03]		
weather-forecasting	prediction	accept	geography skeleton [2026-09-03]		
weather-station	facility	accept	geography skeleton [2026-09-03]		
hygrometer	measuring-instrument	accept	geography skeleton [2026-09-03]		
weather-radar	radar	accept	geography skeleton [2026-09-03]		
weather-satellite	satellite	accept	geography skeleton [2026-09-03]		
weather-balloon	balloon	accept	geography skeleton [2026-09-03]		
oceanography	earth-science	accept	geography skeleton [2026-09-03]		
hydrology	earth-science	accept	geography skeleton [2026-09-03]		
glaciology	earth-science	accept	geography skeleton [2026-09-03]		
geomorphology	geology	accept	geography skeleton [2026-09-03]		
seismology	geophysics	accept	geography skeleton [2026-09-03]		
volcanology	geology	accept	geography skeleton [2026-09-03]		
geophysics	geology	accept	geography skeleton [2026-09-03]		
geochemistry	geology	accept	geography skeleton [2026-09-03]		
geochemistry	chemistry	accept	geography skeleton [2026-09-03]		
pedology	earth-science	accept	geography skeleton [2026-09-03]		
soil-horizon	layer	accept	geography skeleton [2026-09-03]		
humus	soil	accept	geography skeleton [2026-09-03]		
sand	material	accept	geography skeleton [2026-09-03]		
silt	sediment	accept	geography skeleton [2026-09-03]		
loam	soil	accept	geography skeleton [2026-09-03]		
gravel	material	accept	geography skeleton [2026-09-03]		
surveying	measurement	accept	geography skeleton [2026-09-03]		
theodolite	measuring-instrument	accept	geography skeleton [2026-09-03]		
total-station	measuring-instrument	accept	geography skeleton [2026-09-03]		
levelling	surveying	accept	geography skeleton [2026-09-03]		
survey-benchmark	geographic-point	accept	geography skeleton [2026-09-03]		
triangulation	surveying	accept	geography skeleton [2026-09-03]		
geodetic-network	system	accept	geography skeleton [2026-09-03]		
satellite-geodesy	geodesy	accept	geography skeleton [2026-09-03]		
gravimetry	measurement	accept	geography skeleton [2026-09-03]		
gravity-anomaly	quantity	accept	geography skeleton [2026-09-03]		
geopotential	quantity	accept	geography skeleton [2026-09-03]		
orthometric-height	altitude	accept	geography skeleton [2026-09-03]		
height-above-mean-sea-level	altitude	accept	geography skeleton [2026-09-03]		
altitude	quantity	accept	geography skeleton [2026-09-03]		
altitude	geographic-coordinate	accept	geography skeleton [2026-09-03]		
vertical-datum	geodetic-datum	accept	geography skeleton [2026-09-03]		
north-american-datum	geodetic-datum	accept	geography skeleton [2026-09-03]		
etrs89	geodetic-datum	accept	geography skeleton [2026-09-03]		
international-terrestrial-reference-system	spatial-reference-system	accept	geography skeleton [2026-09-03]		
gyrocompass	navigational-instrument	accept	geography skeleton [2026-09-03]		
sextant	navigational-instrument	accept	geography skeleton [2026-09-03]		
marine-chronometer	navigational-instrument	accept	geography skeleton [2026-09-03]		
astrolabe	navigational-instrument	accept	geography skeleton [2026-09-03]		
odometer	measuring-instrument	accept	geography skeleton [2026-09-03]		
pedometer	measuring-instrument	accept	geography skeleton [2026-09-03]		
echo-sounding	sonar	accept	geography skeleton [2026-09-03]		
bathymetry	measurement	accept	geography skeleton [2026-09-03]		
radar	measuring-instrument	accept	geography skeleton [2026-09-03]		
lighthouse	building	accept	geography skeleton [2026-09-03]		
buoy	device	accept	geography skeleton [2026-09-03]		
decimal-degrees	notation	accept	geography skeleton [2026-09-03]		
intercardinal-direction	compass-point	accept	geography skeleton [2026-09-03]		
waypoint	geographic-point	accept	geography skeleton [2026-09-03]		
travel-route	path	accept	geography skeleton [2026-09-03]		
travel-distance	distance	accept	geography skeleton [2026-09-03]		
earth-radius	length	accept	geography skeleton [2026-09-03]		
figure-of-the-earth	shape	accept	geography skeleton [2026-09-03]		
oblate-spheroid	shape	accept	geography skeleton [2026-09-03]		
flood	natural-event	accept	geography skeleton [2026-09-03]		
bathymetry	hydrography	accept	geography skeleton, second pass [2026-09-03]		
contrail	cloud	accept	geography skeleton, second pass [2026-09-03]		
speleology	geology	accept	geography skeleton, second pass [2026-09-03]		
lode	mineral-vein	accept	geography skeleton, second pass [2026-09-03]		
mother-lode	lode	accept	geography skeleton, second pass [2026-09-03]		
twilight-zone	pelagic-zone	accept	geography skeleton, second pass [2026-09-03]		
abyssal-zone	pelagic-zone	accept	geography skeleton, second pass [2026-09-03]		
neritic-zone	pelagic-zone	accept	geography skeleton, second pass [2026-09-03]		
polar-vortex	low	accept	geography skeleton, second pass [2026-09-03]		
cyclone	low	accept	geography skeleton, second pass [2026-09-03]		
estuary	river-mouth	accept	geography skeleton, second pass [2026-09-03]		
ice-field	glacier	accept	geography skeleton, second pass [2026-09-03]		
cardinal-compass-point	compass-point	accept	geography skeleton, second pass [2026-09-03]		
compass-point	direction	accept	geography skeleton, second pass [2026-09-03]		
geological-time-division	concept	accept	geography skeleton, second pass [2026-09-03]		
aquifer	geological-formation	accept	geography skeleton, second pass [2026-09-03]		
