# QID	depth	note — bounded P279 walks; Wikidata is the second witness for the mathematics skeleton
Q190558	1	logical-negation
Q192161	1	formal-language
Q1166618	1	mathematical-logic
# order theory / FCA items, depth 1
Q2362924	1	complete-lattice
Q2363730	1	distributive-lattice
Q1538614	1	modular-lattice
Q1617044	1	heyting-algebra
Q431937	1	antichain
Q2528262	1	upper-set
Q120868099	1	lower-set
Q1199948	1	infimum
Q215071	1	supremum
Q10578722	1	greatest-element
Q10585806	1	minimal-element
Q1491747	1	galois-connection
Q10564851	1	closure-operator
Q5249756	1	dedekind-macneille-completion
Q1513048	1	directed-set
Q194404	1	monotone-function
Q997521	1	order-isomorphism
Q3796691	1	order-embedding
Q6553442	1	linear-extension
Q5179263	1	covering-relation
Q290810	1	zorn's-lemma
Q24175351	1	order-theory
Q217608	1	fixed-point
Q609612	1	knaster-tarski-theorem
Q1437394	1	formal-concept-analysis
Q29018101	1	join-semilattice
Q29018102	1	meet-semilattice
Q10326443	1	bounded-lattice
Q11077412	1	strict-order
Q1414271	1	weak-order
Q7100431	1	order-dimension
# discrete mathematics and cryptography items, depth 1
Q121416	1	discrete-mathematics
Q76592	1	combinatorics
Q740970	1	recurrence-relation
Q860609	1	generating-function
Q188276	1	pigeonhole-principle
Q849335	1	inclusion-exclusion-principle
Q176452	1	finite-automaton
Q373045	1	formal-grammar
Q185612	1	regular-expression
Q205084	1	computational-complexity-theory
Q908207	1	complexity-class
Q215206	1	np-completeness
Q284164	1	recursive-function
Q602136	1	coding-theory
Q55611017	1	error-correcting-code
Q272172	1	hamming-distance
Q8805	1	bit
Q1992074	1	bit-string
Q319400	1	modular-arithmetic
Q12479	1	number-theory
Q4846249	1	prime-factorization
Q230848	1	euclidean-algorithm
Q864003	1	discrete-logarithm
Q898572	1	matroid
Q5150824	1	design-theory
Q23835349	1	fibonacci-sequence
Q270513	1	catalan-number
Q175263	1	data-structure
Q207440	1	hash-table
Q7003418	1	linked-list
Q380172	1	binary-tree
Q14746	1	merkle-tree
Q5678864	1	hash-chain
Q885373	1	bloom-filter
Q8789	1	cryptography
Q4681865	1	cipher
Q141090	1	encryption
Q327675	1	symmetric-key-cryptography
Q201339	1	public-key-cryptography
Q1054766	1	public-key
Q1057478	1	private-key
Q543151	1	block-cipher
Q864718	1	stream-cipher
Q190746	1	aes
Q1048911	1	elliptic-curve-cryptography
Q623447	1	diffie-hellman
Q477202	1	cryptographic-hash-function
Q1968605	1	sha-2
Q1190947	1	keccak
Q220849	1	digital-signature
Q1052621	1	message-authentication-code
Q1669397	1	hmac
Q3496793	1	key-derivation-function
Q191943	1	zero-knowledge-proof
Q1115684	1	commitment-scheme
Q2154943	1	homomorphic-encryption
Q720931	1	one-way-function
Q1623338	1	pseudorandom-generator
Q1254335	1	cryptographic-protocol
Q274758	1	digital-certificate
Q15263584	1	authenticated-encryption
Q1414155	1	key-exchange
Q897511	1	cryptanalysis
Q1162538	1	plaintext
Q1589480	1	ciphertext
Q1128613	1	content-addressable-storage
Q20514253	1	blockchain
Q246593	1	cryptographic-primitive
Q915079	1	ecdsa
Q1663550	1	initialization-vector
Q869370	1	brute-force-attack
