# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- mathematics batch 1: wordnet  ---
acceptance-sampling	sample-distribution	accept		00806621	06026635
analysis-of-variance	multivariate-analysis	accept		06030601	06021247
arc-cosecant	trigonometric-function	accept		13789136	13786960
arc-cosine	trigonometric-function	accept		13787853	13786960
arc-cotangent	trigonometric-function	accept		13788502	13786960
arc-secant	trigonometric-function	accept		13788820	13786960
arc-sine	trigonometric-function	accept		13787551	13786960
arc-tangent	trigonometric-function	accept		13788182	13786960
closed-interval	interval	accept		06016462	06016276
correlation-coefficient	parametric-statistic	accept		06032246	06023022
correlational-analysis	multivariate-analysis	accept		06029830	06021247
cosecant	trigonometric-function	accept		13789002	13786960
cosine	trigonometric-function	accept		13787723	13786960
cotangent	trigonometric-function	accept		13788369	13786960
curvilinear-regression	regression	accept		06029118	06027264
domain	mathematical-set	accept		08000118	07999699
euclidean-space	metric-space	accept		08004953	08004695
exponential-expression	expression	accept		13789849	06731802
function	mathematical-relation	accept		13783816	13783581
geometric-intersection	mathematical-set	accept		13873213	07999699
hilbert-space	metric-space	accept		08005123	08004695
kendall-test	nonparametric-statistic	accept		06034611	06022727
linear-regression	regression	accept		06028904	06027264
manifold	mathematical-space	accept		08004548	08001685
mean-deviation	deviation	accept		06023476	06022291
metric-space	mathematical-space	accept		08004695	08001685
multiple-regression	multivariate-analysis	accept		06027613	06021247
null-space	mathematical-space	accept		08004443	08001685
open-interval	interval	accept		06016600	06016276
outlier	deviation	accept		06023369	06022291
parity	mathematical-relation	accept		13790133	13783581
phi-coefficient	nonparametric-statistic	accept		06035413	06022727
primitive	expression	accept		06295113	06731802
range-of-a-function	mathematical-set	accept		08000304	07999699
rank-order-correlation-coefficient	nonparametric-statistic	accept		06034301	06022727
reflexivity	mathematical-relation	accept		13798814	13783581
regression-analysis	multivariate-analysis	accept		06028021	06021247
regression-coefficient	parametric-statistic	accept		06028566	06023022
scalar-field	mathematical-field	accept		08005877	08005260
secant	trigonometric-function	accept		13788690	13786960
second-moment	moment	accept		06024761	06022509
sentential-function	expression	accept		06286230	06731802
sine	trigonometric-function	accept		13787379	13786960
stratified-sample	sample-distribution	accept		06027051	06026635
sub-interval	interval	accept		06016746	06016276
subgroup	mathematical-group	accept		06017053	06016853
subset	mathematical-set	accept		08001209	07999699
subspace	mathematical-space	accept		08004342	08001685
tangent	trigonometric-function	accept		13788035	13786960
transitivity	mathematical-relation	accept		13798491	13783581
variance	moment	accept		06024936	06022509
# --- mathematics batch 4 (functions, correlation statistics): wordnet  ---
biserial-correlation-coefficient	correlation-coefficient	accept		06033889	06032246
coefficient-of-concordance	kendall-test	accept		06035014	06034611
coordinate-origin	geometric-intersection	accept		06009086	13873213
covariance	variance	accept		06025287	06024936
evenness	parity	accept		13790492	13790133
exponential	function	accept		13789462	13783816
factor-analysis	correlational-analysis	accept		06030196	06029830
inverse-function	function	accept		13784537	13783816
isometry	function	accept		13786187	13783816
kendall-partial-rank-correlation	kendall-test	accept		06034870	06034611
kronecker-delta	function	accept		13784763	13783816
metric-function	function	accept		13784906	13783816
multicollinearity	multiple-regression	accept		06027843	06027613
multiple-correlation-coefficient	correlation-coefficient	accept		06033692	06032246
oddness	parity	accept		13790592	13790133
operator	function	accept		13786413	13783816
polynomial	function	accept		05861855	13783816
product-moment-correlation-coefficient	correlation-coefficient	accept		06033427	06032246
series-expansion	function	accept		13784366	13783816
split-half-correlation	correlation-coefficient	accept		06035674	06032246
standard-deviation	variance	accept		06025172	06024936
tau-coefficient-of-correlation	kendall-test	accept		06035213	06034611
tetrachoric-correlation-coefficient	correlation-coefficient	accept		06035918	06032246
threshold-function	function	accept		13789281	13783816
transformation	function	accept		13785136	13783816
# --- mathematics batch 5: wordnet  ---
affine-transformation	transformation	accept		13785965	13785136
biquadratic	polynomial	accept		05862113	05861855
geometric-reflection	transformation	accept		13785404	13785136
geometric-rotation	transformation	accept		13785557	13785136
homogeneous-polynomial	polynomial	accept		05862268	05861855
identity-element	operator	accept		13786748	13786413
linear-operator	operator	accept		13786595	13786413
mathematical-series	polynomial	reject	a series is a sum of terms, not a polynomial (placed under function by ruling)	05862721	05861855
monic-polynomial	polynomial	accept		05862410	05861855
quadratic	polynomial	accept		05862501	05861855
translation	transformation	accept		13785736	13785136
# --- mathematics batch 6 (series): wordnet  ---
convergence	mathematical-series	accept		05863106	05862721
divergence	mathematical-series	accept		05863302	05862721
exponential-series	mathematical-series	accept		13790004	05862721
fourier-series	mathematical-series	accept		05863583	05862721
geometric-series	mathematical-series	accept		05863480	05862721
power-series	mathematical-series	accept		05862970	05862721
quantic	homogeneous-polynomial	accept		05862613	05862268
statistical-correlation	statistics	reject	a correlation is not a branch of mathematics (placed under statistic by ruling)	06031248	06018465
# --- mathematics batch 7 (correlations): wordnet  ---
curvilinear-correlation	statistical-correlation	accept		06031657	06031248
negative-correlation	statistical-correlation	accept		06033172	06031248
partial-correlation	statistical-correlation	accept		06031866	06031248
positive-correlation	statistical-correlation	accept		06032898	06031248
spurious-correlation	statistical-correlation	accept		06036157	06031248
# --- mathematics wikidata batch 1: wikidata  ---
binary-relation	mathematical-set	reject	everything-is-a-set reductionism; a relation is filed as a relation		07999699
cardinality	function	reject	a number, not a function	13591586	13783816
conic-section	mathematical-set	reject	a shape, not filed as a set	13872975	07999699
countable-set	mathematical-set	accept			07999699
cyclic-group	abelian-group	accept			06017472
degree-of-freedom	function	reject	a statistical variable	05858551	13783816
deviation	number	accept		06022291	05121418
eccentricity	real-number	accept		13877129	
even-number	integer	accept			
finite-field	mathematical-field	accept			08005260
finite-group	mathematical-group	accept			06016853
fractal	mathematical-set	reject	same	05931152	07999699
geometric-shape	mathematical-set	reject	same		07999699
harmonic-progression	function	reject	a sequence, filed as a concept	08461424	13783816
homomorphism	function	accept			13783816
infinite-set	mathematical-set	accept			07999699
infinitesimal	number	accept		05864047	05121418
injective-function	function	accept			13783816
integral-domain	domain	reject	Wikidata label collision — `domain` here is the domain of a function; an integral domain is a ring		08000118
linear-map	function	accept			13783816
mathematical-lattice	abelian-group	reject	wrong Wikidata item (the lattice as discrete subgroup); realigned to the order-theoretic lattice		06017472
mathematical-lattice	subgroup	reject	same		06017053
mathematical-operation	function	accept		00869583	13783816
odd-number	integer	accept			
ordinal-number	number	accept			05121418
parallel-line	mathematical-set	reject	same	13880994	07999699
parity	function	reject	a relation, not a function	13790133	13783816
pencil-of-lines	mathematical-set	reject	same	13863020	07999699
plane	mathematical-set	reject	same	13861050	07999699
quaternion	number	accept			05121418
recursive-definition	function	reject	a definition	06745422	13783816
rounding	mathematical-operation	accept		00073177	00869583
singleton-set	mathematical-set	accept			07999699
sphere	mathematical-set	reject	same	13898899	07999699
surjective-function	function	accept			13783816
symmetry	function	reject	an attribute	05064827	13783816
translation	isometry	accept		13785736	13786187
variance	number	accept		06024936	05121418
weight	function	reject	a coefficient	13589321	13783816
# --- mathematics wikidata batch 2: wikidata  ---
bijection	surjective-function	accept			
binomial	polynomial	accept		06036506	05861855
cardinal-number	ordinal-number	reject	set-theoretic identification; for filing they are distinct kinds of number		
complex-number	quaternion	reject	inverted — quaternions extend the complex numbers	13729428	
domain	abelian-group	reject	Wikidata label collision (ring-theoretic domain); our domain is a function's domain — alignment cleared	08000118	06017472
domain	subgroup	reject	same	08000118	06017053
endomorphism	homomorphism	accept			
finite-set	countable-set	accept			
inverse-function	mathematical-operation	reject	a function, not an operation	13784537	00869583
lemma	theorem	accept			06752293
linear-map	homomorphism	accept			
linear-operator	linear-map	accept		13786595	
mathematical-field	abelian-group	reject	structure inheritance by forgetting; a field is filed as a ring	08005260	06017472
mathematical-field	subgroup	reject	same	08005260	06017053
plane	subset	reject	everything-is-a-set	13861050	08001209
trigonometric-function	mathematical-operation	reject	a function, not an operation	13786960	00869583
uncountable-set	infinite-set	accept			
# --- mathematics wikidata batch 3: wikidata  ---
affine-transformation	bijection	accept		13785965	
algebraic-magma	algebraic-structure	accept			
antisymmetric-relation	binary-relation	accept			
automorphism	endomorphism	accept			
axiom	lemma	reject	inverted nonsense in the source		
finite-field	finite-set	accept			
function	binary-relation	accept		13783816	
integral-domain	abelian-group	reject	structure inheritance by forgetting; an integral domain is filed as a ring		06017472
integral-domain	subgroup	reject	same		06017053
isometry	bijection	accept		13786187	
mathematical-module	algebraic-structure	accept			
mathematical-ring	algebraic-structure	accept			
mathematical-set	algebraic-structure	reject	a bare set carries no operations	07999699	
partially-ordered-set	algebraic-structure	reject	an order is a relational structure, not an algebraic one (placed under mathematical-structure by ruling)		
permutation	bijection	accept		00870312	
reflexive-relation	binary-relation	accept			
singleton-set	finite-set	accept			
symmetric-relation	binary-relation	accept			
transitive-relation	binary-relation	accept			
# --- mathematics wikidata batch 4: wikidata  ---
abelian-group	mathematical-module	reject	the Z-module view; filed as a group	06017472	
abelian-group	topological-space	reject	forgetful inheritance	06017472	
affine-transformation	automorphism	reject	not every affine map is invertible onto itself	13785965	
algebra	mathematical-module	reject	label collision — our `algebra` is the branch of mathematics; alignment cleared	06012726	
algebra	mathematical-ring	reject	same	06012726	
algebra-over-a-field	mathematical-ring	accept			
banach-space	mathematical-structure	accept			
commutative-ring	mathematical-module	reject	forgetful inheritance; filed as a ring		
commutative-ring	mathematical-ring	accept			
division-ring	mathematical-ring	accept			
equivalence-relation	symmetric-relation	accept			
manifold	topological-space	accept		08004548	
mathematical-category	mathematical-structure	accept			
mathematical-graph	partially-ordered-set	reject	a graph is combinatorial, not an order (placed under mathematical-structure by ruling)		
mathematical-graph	topological-space	reject	same		
mathematical-lattice	partially-ordered-set	accept			
metric-space	topological-space	accept		08004695	
partial-order	antisymmetric-relation	accept			
preorder	reflexive-relation	accept			
preorder	transitive-relation	accept			
quasigroup	algebraic-magma	accept			
semigroup	algebraic-magma	accept			
tree-graph	partially-ordered-set	reject	same		
vector-space	mathematical-module	accept			
# --- mathematics wikidata batch 5: wikidata  ---
algebra-over-a-field	vector-space	accept			
boolean-algebra	commutative-ring	reject	the Boolean-ring view; filed as a lattice		
boolean-algebra	mathematical-lattice	accept			
equivalence-relation	preorder	accept			
hilbert-space	banach-space	accept		08005123	
hilbert-space	vector-space	accept		08005123	
integral-domain	commutative-ring	accept			
lie-algebra	algebra-over-a-field	accept			
lower-bound	partial-order	reject	a bound is an element, not a relation	13904011	
mathematical-field	algebra-over-a-field	reject	a field is an algebra over itself — forgetful	08005260	
mathematical-field	commutative-ring	accept		08005260	
mathematical-field	division-ring	accept		08005260	
mathematical-group	quasigroup	accept		06016853	
monoid	semigroup	accept			
partial-order	preorder	accept			
semilattice	semigroup	accept			
total-order	partial-order	accept			
totally-ordered-set	mathematical-lattice	accept			
upper-bound	partial-order	reject	same	13903855	
# --- mathematics wikidata batch 6: wikidata  ---
boolean-algebra	monoid	reject	forgetful		
complex-number	totally-ordered-set	reject	false — the complex numbers admit no total order compatible with the field	13729428	
diagonal	totally-ordered-set	reject	a matrix diagonal is not an ordered set	08268321	
mathematical-group	monoid	accept		06016853	
singleton-set	totally-ordered-set	reject	trivially true, useless as filing		
well-order	total-order	accept			
# --- mathematics batch 8: wordnet  ---
first-order-correlation	partial-correlation	accept		06032066	06031866
# --- mathematics wikidata batch 7 (graph theory 1): wikidata  ---
automorphism	isomorphism	accept			
circle	geometric-shape	accept		13873502	
directed-graph	mathematical-graph	accept			
euclidean-vector	tensor	reject	a vector is filed as a vector; rank-1 tensor is the technical view		
graph-colouring	function	reject	an assignment problem, not a function		13783816
graph-homomorphism	homomorphism	accept			
graph-isomorphism	isomorphism	accept			
graph-matching	mathematical-set	reject	everything-is-a-set		07999699
hypergraph	mathematical-structure	accept			
matrix	tensor	reject	same	08267640	
planar-graph	mathematical-graph	accept			
plane	geometric-shape	accept		13861050	
polygon	geometric-shape	accept		13866144	
scalar	tensor	reject	same		
spanning-tree	tree-graph	accept			
sphere	geometric-shape	accept		13898899	
spherical-polygon	geometric-shape	accept		13883603	
subgraph	mathematical-graph	accept			
subgraph	subset	reject	same		08001209
transitive-closure	transitive-relation	accept			
undirected-graph	mathematical-graph	accept			
# --- mathematics wikidata batch 8 (graph theory 2): wikidata  ---
forest-graph	planar-graph	reject	true of forests but not how anyone files an acyclic graph		
bipartite-graph	undirected-graph	accept			
connected-component	subgraph	accept			
connected-graph	undirected-graph	accept			
cyclic-graph	undirected-graph	accept			
flow-network	directed-graph	accept			
graph-isomorphism	graph-homomorphism	accept			
induced-subgraph	subgraph	accept			
mathematical-graph	hypergraph	reject	inverted generalisation		
minimum-spanning-tree	spanning-tree	accept			
multigraph	hypergraph	reject	same		
polytree	directed-acyclic-graph	accept			
spanning-tree	subgraph	accept			
strongly-connected-component	directed-graph	accept			
# --- mathematics wikidata batch 9 (graph theory 3): wikidata  ---
clique	induced-subgraph	reject	label collision — core's clique is the circle of people; the graph clique becomes graph-clique	08240633	
complete-graph	connected-graph	accept			
connected-component	connected-graph	accept			
independent-set	induced-subgraph	accept			
rooted-tree	polytree	accept			
strongly-connected-component	connected-component	accept			
tree-graph	bipartite-graph	accept			
tree-graph	connected-graph	accept			
# --- mathematics wikidata batch 10 (graph theory 4): wikidata  ---
forest-graph	multigraph	reject	inverted generalisation		
flow-network	weighted-graph	accept			
graph-clique	complete-graph	accept			
minimum-spanning-tree	weighted-graph	accept			
tree-graph	forest-graph	accept			
# --- mathematics wikidata batch 11 (logic 1): wikidata  ---
boolean-function	function	accept			13783816
completeness	function	reject	an attribute of a logical system is not a function	04785414	13783816
logical-completeness	function	reject	same		13783816
logical-connective	function	reject	an operator on propositions is filed as an operation		13783816
logical-consistency	function	reject	same as completeness		13783816
logical-predicate	mathematical-set	reject	everything-is-a-set		07999699
predicate	mathematical-set	reject	same	06316813	07999699
# --- mathematics batch 9 (logic): wordnet  ---
bayes'-postulate	postulate	accept		05918704	06753299
euclid's-axiom	axiom	accept		06005692	06753550
logic-operation	process	reject	an operation, not a physical process (placed under mathematical-operation by ruling)	13509042	00029677
negation	proposition	accept		06751572	06750804
non-sequitur	hypothesis	reject	a conclusion, not a hypothesis	05781663	05888929
postulate	proposition	accept		06753299	06750804
postulation	declaration	reject	dropped as a near-duplicate of postulate	06733227	06725877
predicate	language	reject	a part of a proposition, not a language	06316813	06282651
premise	postulate	accept		06753800	06753299
subject.communication	language	reject	same	06310125	06282651
tautology	truth	accept		07091385	06724066
universal	proposition	accept		06751367	06750804
# --- mathematics wikidata batch 12: wikidata  ---
logical-operation	function	reject	an operation on propositions (placed under mathematical-operation by ruling)	13509042	13783816
# --- mathematics batch 10: wordnet  ---
particular-proposition	proposition	accept		06751142	06750804
# --- mathematics wikidata batch 13 (logic 2): wikidata  ---
classical-logic	formal-system	accept			
description-logic	formal-system	accept			
modal-logic	formal-system	accept			
propositional-logic	formal-system	accept			
quantifier	logical-connective	reject	a quantifier binds variables; it is not a connective	06302542	
boolean-satisfiability-problem	decision-problem	accept			
syllogism	classical-logic	reject	an argument form, not a logic		
type-theory	formal-system	accept			
# --- mathematics wikidata batch 14 (order theory): wikidata  ---
closure-operator	monotone-function	accept			
directed-set	mathematical-set	reject	everything-is-a-set		07999699
heyting-algebra	monoid	reject	forgetful inheritance		
infimum	lower-bound	accept			13904011
join-semilattice	partially-ordered-set	accept			
mathematical-lattice	join-semilattice	accept			
mathematical-lattice	meet-semilattice	accept			
meet-semilattice	partially-ordered-set	accept			
strict-order	antisymmetric-relation	accept			
supremum	upper-bound	accept			13903855
total-order	weak-order	accept			
# --- mathematics wikidata batch 2 (discrete/crypto): wikidata  ---
abelian-group	module	reject	core's module is a component; the algebra sense would be mathematical-module	06017472	03778600
binary-tree	rooted-tree	accept			
capacity	mathematical-structure	reject	label drift	13779374	
cardinality	invariant	accept		13591586	05850432
carrot	root	reject	root of an equation	12937678	08005954
characteristic	integer	reject	label drift	04731497	
cipher	sign	reject	a cryptographic cipher is an algorithm		06646243
clique	complete-graph	reject	core's clique is people; graph-clique is the graph one	08240633	
code	cipher	reject	computer code	06355894	
commutative-ring	module	reject	same		03778600
conclusion	logical-consequence	reject	the last section of a text	06398401	
conic-section	locus	accept		13872975	08000881
cross	geometric-shape	reject	the wooden one	03135532	
cryptographic-primitive	cryptography	reject	a primitive is not a field		
diagonal	geometric-shape	reject	matrix diagonal	08268321	
diagonal	partially-ordered-set	reject	same	08268321	
diameter	geometric-shape	reject	a line segment, label drift	13871717	
diameter	partially-ordered-set	reject	same	13871717	
diameter	subset	reject	same	13871717	08001209
directed-graph	graph	reject	core's graph is the chart; mathematical-graph is the parent		07000195
disk	geometric-shape	reject	a plate	03208556	
disk	topological-space	reject	same	03208556	
dominance	partial-order	reject	social dominance	14441825	
edge	geometric-shape	reject	label drift	03264136	
edge	partially-ordered-set	reject	same	03264136	
edge	subset	reject	same	03264136	08001209
event	mathematical-set	reject	probability's event is another sense	00029378	07999699
exponential	mathematical-operation	reject	a function	13789462	00869583
filter	upper-set	reject	the device	03339643	
fraction	rational-number	reject	a fraction is an expression, not a number	13732078	
geodesic	curve	reject	core's curve is the chart line	13870414	07000941
geometric-intersection	mathematical-operation	accept		13873213	00869583
geometric-series	series	reject	the periodical	05863480	06593803
geometric-shape	locus	accept			08000881
globe	geometric-shape	reject	an object	13899404	
globe	topological-space	reject	same	13899404	
graph	hypergraph	reject	same	07000195	
hemisphere	geometric-shape	reject	half the earth	08583095	
hierarchy	preorder	reject	organisational hierarchy	08376051	
identity	equivalence-relation	reject	personal identity	04618070	
identity	partial-order	reject	same	04618070	
identity	tautology	reject	same	04618070	07091385
identity	theorem	reject	same	04618070	06752293
initialization-vector	mathematical-set	reject	a bit string		07999699
interpolation	algorithm	accept		05802730	05847438
invariant	function	reject	a quantity or property, not necessarily a function	05850432	13783816
key-derivation-function	cryptographic-primitive	accept			
limit	binary-relation	reject	a boundary	08592656	
matrix	data-structure	reject	the mathematical object; data-structure is the computing one	08267640	
matrix-multiplication	multiplication	accept		00872986	00871576
matroid	hypergraph	reject	a matroid is a set system with its own axioms		
module	algebraic-structure	reject	same	03778600	
momentum	mathematical-set	reject	physics	05029137	07999699
multiple-regression	statistical-correlation	reject	a technique, not a relation	06027613	06031248
normal	geometric-shape	reject	the normative example	05667613	
ordinal-number	quantity	reject	an order type		05855125
planar-graph	graph	reject	same		07000195
rectangle	trapezoid	reject	contested by the exclusive definition	13883346	13881512
region	subset	reject	geography	08630985	08001209
row	totally-ordered-set	reject	people side by side	08431437	
sample	scalar	reject	statistics sample	05821775	
sentence	well-formed-formula	reject	natural-language sentence	06285090	
shape	mathematical-set	reject	label drift	00027807	07999699
similarity	affine-transformation	reject	the quality	04743605	13785965
simultaneous-equations	formula	accept		06671150	06732013
square	rhombus	accept		13878634	13882961
subgraph	graph	reject	same		07000195
text	mathematical-set	reject	label drift	06387980	07999699
trigonometry	geometry	accept		06012513	06004685
underside	geometric-shape	reject	label drift	08511241	
undirected-graph	graph	reject	same		07000195
vector-space	module	reject	same		03778600
vertex	geometric-shape	reject	the peak	08677801	
acceptance-sampling	sample-distribution	reject	a procedure is not a distribution [second pass 2026-09-03]	00806621	06026635
bayes'-theorem	idea	reject	a theorem [second pass 2026-09-03]	05918379	05833840
bernoulli's-law	concept	reject	a theorem, not merely a concept [second pass 2026-09-03]	05875148	05835747
brute-force-attack	cryptanalysis	reject	an attack is a method, cryptanalysis a field [second pass 2026-09-03]		
convergence	mathematical-series	reject	convergence is a property of a series [second pass 2026-09-03]	05863106	05862721
covariance	variance	reject	a covariance is not a variance [second pass 2026-09-03]	06025287	06024936
cryptographic-key	concept	reject	a key is information [second pass 2026-09-03]		05835747
cryptographic-protocol	concept	reject	a protocol is a procedure [second pass 2026-09-03]		05835747
discrete-logarithm	decision-problem	reject	a computational problem, not a yes/no one [second pass 2026-09-03]		
geometric-intersection	mathematical-operation	reject	a set of points, not an operation [second pass 2026-09-03]	13873213	00869583
identity-element	operator	reject	an element, not an operator [second pass 2026-09-03]	13786748	13786413
information-theory	concept	reject	a branch of mathematics [second pass 2026-09-03]	06108643	05835747
initialization-vector	concept	reject	a bit string is information [second pass 2026-09-03]		05835747
