# offset	name	note
06665108	communications-protocol	WordNet 'protocol' (computer science) — the everyday word means diplomatic protocol
04114844	network-router	WordNet 'router' is an everyday word in another sense; the computing sense takes a qualified name
06584891	computer-instruction	WordNet 'instruction' is an everyday word in another sense; the computing sense takes a qualified name
02911485	data-buffer	WordNet 'buffer' is an everyday word in another sense; the computing sense takes a qualified name
06390227	memory-dump	WordNet 'dump' is an everyday word in another sense; the computing sense takes a qualified name
02673078	accumulator-register	WordNet 'accumulator' is an everyday word in another sense; the computing sense takes a qualified name
05823747	data-descriptor	WordNet 'descriptor' is an everyday word in another sense; the computing sense takes a qualified name
03382708	foreground-window	WordNet 'foreground' is an everyday word in another sense; the computing sense takes a qualified name
13550940	data-retrieval	WordNet 'retrieval' is an everyday word in another sense; the computing sense takes a qualified name
04151228	scratchpad-memory	WordNet 'scratchpad' is an everyday word in another sense; the computing sense takes a qualified name
07350893	disk-seek	WordNet 'seek' is an everyday word in another sense; the computing sense takes a qualified name
13558696	sort-operation	WordNet 'sort' is an everyday word in another sense; the computing sense takes a qualified name
06577585	tagging-program	WordNet 'tagger' is an everyday word in another sense; the computing sense takes a qualified name
06272290	telephony	WordNet 'telephone' is an everyday word in another sense; the computing sense takes a qualified name
06902909	basic-language	WordNet 'basic' is an everyday word in another sense; the computing sense takes a qualified name
06162979	computational-ontology	WordNet 'ontology' is an everyday word in another sense; the computing sense takes a qualified name
