# offset-or-name	reason
06490627	distribution-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06485593	docket: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06491168	free-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06491277	grocery-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06491371	grocery-list.communication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06495516	shopping-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06491561	hit-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06491665	hit-parade: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06492664	inventory: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06492569	parts-inventory: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06492438	key.communication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06492811	mailing-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06493158	masthead: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06493926	necrology: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06485800	order-of-the-day: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06485933	order-paper: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06748703	playbill: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06494016	playlist: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06494153	portfolio: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06494373	posting: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06494538	price-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06497233	prix-fixe: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06497331	table-d'hote: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06496624	muster-roll: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06496862	rota: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06495824	sick-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06495948	slate: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06496116	standing: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06495625	short-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06496299	wish-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06496499	timetable.communication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06487897	catalogue: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06488224	discography: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06488629	parts-catalog: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06488763	seed-catalog: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06497013	waiting-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06492040	concordance: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
03121698	cover: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
03694639	lp: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
04262969	soundtrack: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
04470605	transcription: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06486042	network-programming: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
03956785	planner: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06570805	frame: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06655927	gigo: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06133018	logic.cognition.2: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
03108069	magnetic-core: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
02769075	desktop: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
08555883	disk-space: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06492320	key-word: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
03097673	control-key: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06273207	call-back: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06273414	call-forwarding: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06273555	call-in: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06273743	call-waiting: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06273294	collect-call: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06274292	toll-call: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06274546	wake-up-call: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06272612	voice-mail: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06278475	high-definition-television: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06277280	telecasting: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06276902	rediffusion: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06277135	radiocommunication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06276697	broadcasting: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06274921	telegraphy: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06275353	wireless: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06277025	multiplex: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
02757810	audiotape.artifact: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
04534520	videotape.artifact: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
03195959	digital-audiotape: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
04533700	videocassette: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
02979399	cassette-tape: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
02757714	audiotape: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06511396	mug-file: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06792818	tickler: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
04145417	scheduler: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
04173344	sequencer: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06827679	screen-font: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06500062	arabic-alphabet: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06352117	armenian: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06499796	cyrillic-alphabet: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06499244	greek-alphabet: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06498569	hebrew-alphabet: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06497872	roman-alphabet: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06500765	manual-alphabet: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06500448	phonetic-alphabet: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06500639	visible-speech: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00870453	combination.act: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00873381	construction: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00873671	quadrature: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00870640	differentiation: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00872411	exponentiation: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00871418	integration.act: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00870786	maximization: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00870312	permutation: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00873798	relaxation: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00872900	matrix-addition: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00873084	matrix-inversion: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00872986	matrix-multiplication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00873238	matrix-transposition: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00872722	matrix-operation: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00871576	multiplication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
00871862	subtraction: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06567531	compatible-software.communication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06277992	video.communication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
13484303	fragmentation: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06490887	enumeration: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06494646	push-down-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
13579679	baud: a unit — the registry's business
15276642	bits-per-second: a unit
13607187	megaflop: a unit
13607616	mips: a unit
13607405	teraflop: a unit
06278338	cable-television: broadcasting, not computing
06274760	three-way-calling: telephony service
06275471	radiotelegraph: telegraphy
06281175	signal-detection: too generic a WordNet sense
13551117	stovepiping: jargon
06274408	conference-call: telephony
06273986	local-call: telephony
06274092	long-distance: telephony
06273890	crank-call: telephony
06488473	card-catalog: library furniture
06488325	library-catalog: library science, not computing
03252959	dubbing: sound recording, not computing
03647291	laugh-track: sound recording, not computing
03998867	predictor: obscure military-computer sense
03577474	intelnet: obscure
motto
