# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- computing batch 1 (WordNet): wordnet  ---
call-back	phone-call	accept		06273207	06272803
call-forwarding	telephone	accept		06273414	06272290
call-in	phone-call	accept		06273555	06272803
call-waiting	telephone	accept		06273743	06272290
call.communication	instruction	accept		06582761	06584891
calorie-chart	list	accept		06487610	06481320
canon	list	accept		06487729	06481320
cassette-tape	magnetic-tape	accept		02979399	03708036
cataloged-procedure	subroutine	accept		06583178	06582403
catalogue	list	accept		06487897	06481320
central-processing-unit	equipment	accept		02995345	03294048
character-set	list	accept		06488880	06481320
chat-room	web-site	accept		06359467	06359193
checklist	list	accept		06489070	06481320
church-roll	roster	accept		06496773	06495000
class-list	list	accept		06489190	06481320
cobol	programming-language	accept		06902611	06898352
codex	list	accept		06489560	06481320
collect-call	phone-call	accept		06273294	06272803
combination.act	mathematical-process	accept		00870453	00869583
command-line	instruction	accept		06586355	06584891
compact-disk	optical-disk	accept		03079230	03851787
compact-disk	recording	accept		03079230	04063868
compatible-software	software	accept		06567400	06566077
compatible-software.communication	software	accept		06567531	06566077
complex-instruction-set-computing	computer-architecture	accept		04932561	04932278
computer-address	code	accept		06356515	06355894
computer-aided-design	software	accept		06567689	06566077
computer-architecture	constitution	accept		04932278	04933544
computer-circuit	device	accept		03084420	03183080
computer-file	data-file	accept		06509210	06508816
computer-virus	malevolent-program	accept		06585816	06573020
computer-worm	malevolent-program	accept		06586098	06573020
concordance	book-index	accept		06492040	06491786
construction	mathematical-process	accept		00873381	00869583
contents	list	accept		06489659	06481320
contingency-procedure	subroutine	accept		06583354	06582403
control-key	bar	reject	a key is not a metal bar	03097673	02788689
core-dump	dump	accept		06390051	06390227
corrigenda	list	accept		06489847	06481320
counter.artifact	register.artifact	accept		03117420	04071876
cover	recording	accept		03121698	04063868
crash.event	trouble	accept		07478874	07289014
credits	list	accept		06489968	06481320
cursor	device	accept		03150795	03183080
cyrillic-alphabet	alphabet	accept		06499796	06497459
data-mining	data-processing	accept		13455234	13455487
data-processing	process	accept		13455487	00029677
data-structure	cognition	reject	a data structure is an organization of data, not a psychological result	05728493	00023271
database-management-system	software	accept		06588785	06566077
death-roll	roster	accept		06495220	06495000
decision-table	multidimensional-language	accept		06581959	06900282
dedicated-file-server	file-server	accept		03170459	03337494
descriptor	cognition	reject	a descriptor is stored information, not a psychological result	05823747	00023271
desktop	device	reject	a screen area is not a device	02769075	03183080
desktop-publishing	commercial-enterprise	accept		01102256	01094725
device-driver	utility-program	accept		06574473	06581410
diagnostic-program	utility-program	accept		06574680	06581410
differential-analyzer	analog-computer	accept		03194170	02708224
differentiation	mathematical-process	accept		00870640	00869583
digital-audiotape	audiotape.artifact	accept		03195959	02757810
directory.communication	list	accept		06490451	06481320
disambiguator	natural-language-processor	accept		06572204	06572011
discography	catalogue	accept		06488224	06487897
disk-cache	cache	accept		03209141	02935017
disk-controller	mechanism	accept		03209477	03738472
disk-drive	drive.artifact	accept		03209666	03243218
disk-file	computer-file	accept		06510103	06509210
disk-space	region	reject	disk space is a capacity, not a geographic region	08555883	08630985
distributed-data-processing	data-processing	accept		13468542	13455487
distribution-list	list	accept		06490627	06481320
division	arithmetic-operation	accept		00870912	00872541
docket	calendar.communication	accept		06485593	06487395
domain-name	name	accept		06845303	06333653
dos	operating-system	accept		06568422	06568134
drop-down-menu	computer-menu	accept		06493579	06493392
dump-routine	utility-routine	accept		06583518	06584702
editor-program	application	accept		06574841	06570110
electronic-database	information	accept		06588511	00033020
emulation	method	accept		05665984	05660268
enumeration	list	accept		06490887	06481320
error-correction-code	code	accept		06357424	06355894
ethernet	local-area-network	accept		03300216	03681477
execution-speed	pace	accept		05061619	05058580
exponentiation	mathematical-process	accept		00872411	00869583
faq	list	accept		06491026	06481320
field.group	set	accept		08005580	07996689
file-server	digital-computer	accept		03337494	03196324
file-transfer-protocol	protocol	accept		06665370	06665108
firewall	security-system.artifact	accept		03348142	04166111
firmware	code	accept		06357814	06355894
flow-chart	multidimensional-language	accept		06582085	06900282
fortran	algebraic-language	accept		06902362	06898794
fortran-compiler	compiler	accept		06574027	06573600
fragmentation	storage	reject	a condition of a file is not the storage process	13484303	13562133
frame	application	reject	obscure sense; the frame is a display region, not an application	06570805	06570110
frame-buffer	buffer	accept		03391613	02911485
free-list	list	accept		06491168	06481320
freemail	email	accept		06279805	06279326
freeware	software	accept		06567865	06566077
function-call	call.communication	accept		06582986	06582761
gene-chip	chip	accept		03433247	03020034
gigo	information	reject	a maxim, not a piece of information	06655927	00033020
greek-alphabet	alphabet	accept		06499244	06497459
grocery-list	shopping-list	accept		06491277	06495516
grocery-list.communication	list	accept		06491371	06481320
groupware	software	accept		06567960	06566077
hand-held-computer	portable-computer	accept		03485407	03985232
hardware-error	computer-error	accept		07299790	07299569
hebrew-alphabet	alphabet	accept		06498569	06497459
hierarchical-menu	computer-menu	accept		06493721	06493392
high-definition-television	telecasting	accept		06278475	06277280
hit-list	list	accept		06491561	06481320
hit-parade	list	accept		06491665	06481320
hyperlink	link.communication	accept		06586672	06586471
hypertext-system	object-oriented-database-management-system	accept		06589352	06589151
hypertext-transfer-protocol	protocol	accept		06665847	06665108
icon	symbol	accept		07269916	06806469
index-register	register.artifact	accept		03567635	04071876
information-technology	engineering	accept		06134510	06125041
information-theory	thinking	reject	a theory is not the process of thinking	06108643	05770926
ink-jet-printer	dot-matrix-printer	accept		03571942	03225777
input-file	computer-file	accept		06510478	06509210
input-program	utility-program	accept		06575092	06581410
input-routine	utility-routine	accept		06583645	06584702
instruction	code	accept		06584891	06355894
instruction-execution	process	accept		13477462	00029677
integration.act	mathematical-process	accept		00871418	00869583
intelnet	computer-network	accept		03577474	03085333
internet	computer-network	accept		03580615	03085333
interoperability	ability	accept		05200816	05200169
inventory	list	accept		06492664	06481320
java	object-oriented-programming-language	accept		06901053	06900684
job.communication	application	accept		06572482	06570110
joystick	mechanism	accept		03602883	03738472
key-word	legend-key	accept		06492320	06492188
key.communication	list	accept		06492438	06481320
keyboard-buffer	buffer	accept		03614383	02911485
library-routine	subroutine	accept		06583790	06582403
link.communication	instruction	accept		06586471	06584891
linkage-editor	editor-program	accept		06576376	06574841
lisp	programming-language	accept		06901936	06898352
lisp-compiler	compiler	accept		06574132	06573600
list-processing	data-processing	accept		13508830	13455487
logic-bomb	malevolent-program	accept		06585203	06573020
logic-diagram	multidimensional-language	accept		06582267	06900282
logic.cognition.2	method	reject	obscure WordNet sense, not a method	06133018	05660268
looping	process	accept		13503908	00029677
lp	phonograph-record	accept		03694639	03924069
machine-readable-dictionary	lexical-database	accept		06639023	06638868
macro	instruction	accept		06586886	06584891
magnetic-core	shape	reject	a ferrite toroid is a memory device, not a shape	03108069	00027807
magnetic-disk	device	accept		03706653	03183080
magnetic-stripe	magnetic-tape	accept		03707766	03708036
mailing-list	list	accept		06492811	06481320
mainframe	digital-computer	accept		03711711	03196324
manual-alphabet	alphabet	accept		06500765	06497459
master-file	computer-file	accept		06509902	06509210
masthead	list	accept		06493158	06481320
matrix-addition	matrix-operation	accept		00872900	00872722
matrix-inversion	matrix-operation	accept		00873084	00872722
matrix-multiplication	matrix-operation	accept		00872986	00872722
matrix-operation	mathematical-process	accept		00872722	00869583
matrix-transposition	matrix-operation	accept		00873238	00872722
maximization	mathematical-process	accept		00870786	00869583
memory-chip	chip	accept		03744684	03020034
menu	bill.communication	accept		06492939	06486874
microprocessor	chip	accept		03760310	03020034
minicomputer	digital-computer	accept		03770224	03196324
modem	equipment	accept		03777754	03294048
mug-file	data-file	accept		06511396	06508816
multidimensional-language	programming-language	accept		06900282	06898352
multiplex	artifact	reject	multiplexing is a technique, not an object	06277025	00021939
multiplication	arithmetic-operation	accept		00871576	00872541
multiprocessing	data-processing	accept		13518140	13455487
multiprocessor	digital-computer	accept		03799240	03196324
musical-instrument-digital-interface	protocol	accept		06666030	06665108
muster-roll	roster	accept		06496624	06495000
natural-language-processor	application	accept		06572011	06570110
necrology	list	accept		06493926	06481320
network-programming	schedule	accept		06486042	06495328
non-dedicated-file-server	file-server	accept		03827830	03337494
non-volatile-storage	computer-memory	accept		03829340	03744276
notebook-computer	portable-computer	accept		03832673	03985232
object	computer-science	reject	a software object is not a branch of engineering science	06132724	06128570
object-language	programming-language	accept		06900507	06898352
object-oriented-database-management-system	database-management-system	accept		06589151	06588785
one-dimensional-language	programming-language	accept		06901163	06898352
ontology	cognition	reject	an ontology is a specification, not a psychological result	06162979	00023271
operation-code	code	accept		06358311	06355894
operation.process	data-processing	accept		13524925	13455487
order-of-the-day	agenda	accept		06485800	06485261
order-paper	order-of-the-day	accept		06485933	06485800
output-file	computer-file	accept		06510663	06509210
output-program	utility-program	accept		06577232	06581410
output-routine	utility-routine	accept		06583929	06584702
packet.communication	message	accept		07281099	06253690
part-of-speech-tagger	tagger	accept		06577916	06577585
parts-catalog	catalogue	accept		06488629	06487897
parts-inventory	inventory	accept		06492569	06492664
pascal	programming-language	accept		06903115	06898352
pascal-compiler	compiler	accept		06574231	06573600
peripheral	equipment	accept		03916720	03294048
permutation	mathematical-process	accept		00870312	00869583
personal-computer	digital-computer	accept		03918480	03196324
phone-call	telephone	accept		06272803	06272290
phonetic-alphabet	alphabet	accept		06500448	06497459
pixel	component	accept		03952277	03081021
planner	notebook-computer	reject	WordNet confused the paper notebook with the computer	03956785	03832673
playbill	bill.communication	accept		06748703	06486874
playbill	program	accept		06748703	06748466
playlist	list	accept		06494016	06481320
portable-computer	personal-computer	accept		03985232	03918480
portal-site	web-site	accept		06359657	06359193
portfolio	list	accept		06494153	06481320
posting	list	accept		06494373	06481320
price-list	list	accept		06494538	06481320
print-buffer	buffer	accept		04004099	02911485
priority-processing	data-processing	accept		13540975	13455487
prix-fixe	menu	accept		06497233	06492939
programmer	engineer	accept		10481268	09615807
prolog	programming-language	accept		06902193	06898352
prompt	communication	accept		06280604	06252138
push-down-list	list	accept		06494646	06481320
quadrature	construction	accept		00873671	00873381
queue.communication	list	accept		06494816	06481320
radiocommunication	broadcasting	accept		06277135	06276697
ram-disk	drive.artifact	accept		04050600	03243218
random-number-generator	subroutine	accept		06584049	06582403
read-only-file	computer-file	accept		06510836	06509210
read-only-memory	computer-memory	accept		04058239	03744276
read-only-memory-chip	memory-chip	accept		04058486	03744684
real-storage	computer-memory	accept		04059298	03744276
real-time-processing	data-processing	accept		13547048	13455487
reception	broadcasting	accept		06281040	06276697
recursive-routine	subroutine	accept		06584162	06582403
rediffusion	broadcasting	accept		06276902	06276697
reduced-instruction-set-computing	computer-architecture	accept		04932875	04932278
relational-database-management-system	database-management-system	accept		06588998	06588785
relaxation	mathematical-process	accept		00873798	00869583
resolution.phenomenon	natural-event	reject	display resolution is a property, not a natural event	11505952	11408559
reusable-routine	subroutine	accept		06584256	06582403
roman-alphabet	alphabet	accept		06497872	06497459
rota	roster	accept		06496862	06495000
rotary-actuator	mechanism	accept		04110439	03738472
router	device	accept		04114844	03183080
scanner	device	accept		04143140	03183080
scheduler	hardware	reject	the scheduler is operating-system software	04145417	03493333
scratchpad	computer-memory	accept		04151228	03744276
screen-font	character	reject	a font is a set of glyph designs, not a character	06827679	06818970
screen-saver	decorative-design	reject	a screen saver is a program	04153436	03178782
seed-catalog	catalogue	accept		06488763	06487897
sense-tagger	tagger	accept		06577781	06577585
sequencer	hardware	reject	sequencing is done in software	04173344	03493333
serial-processing	data-processing	accept		13554984	13455487
shareware	software	accept		06587596	06566077
shift-register	register.artifact	accept		04193552	04071876
shopping-list	list	accept		06495516	06481320
short-list	list	accept		06495625	06481320
shrink-wrapped-software	software	accept		06587790	06566077
sick-list	list	accept		06495824	06481320
simulation	method	accept		05666700	05660268
slate	list	accept		06495948	06481320
slide-rule	analog-computer	accept		04238763	02708224
software-documentation	software	reject	documentation describes software and is not software	06588326	06566077
software-error	computer-error	accept		07300092	07299569
sort-program	utility-program	accept		06580103	06581410
soundtrack	audio	accept		04262969	04262678
spam	email	accept		06280347	06279326
spyware	software	accept		06587980	06566077
standing	list	accept		06496116	06481320
stratified-language	programming-language	accept		06901333	06898352
subroutine	software	accept		06582403	06566077
subtraction	arithmetic-operation	accept		00871862	00872541
summation	arithmetic-operation	accept		00872107	00872541
supercomputer	mainframe	accept		04358117	03711711
supervisory-routine	subroutine	accept		06584376	06582403
supervisory-software	software	accept		06588139	06566077
system-call	call.communication	accept		06587217	06582761
system-error	instruction	accept		06587048	06584891
table-d'hote	menu	accept		06497331	06492939
telecommunication	engineering	accept		06128307	06125041
telegraphy	artifact	reject	telegraphy is a communication activity, not an object	06274921	00021939
text-editor	editor-program	accept		06576727	06574841
text-file	computer-file	accept		06510977	06509210
tickler	data-file	accept		06792818	06508816
timetable.communication	schedule	accept		06496499	06495328
title-bar	label	accept		07273616	07272172
toggle	instruction	accept		06587399	06584891
toll-call	long-distance	accept		06274292	06274092
trace-program	utility-program	accept		06580866	06581410
tracing-routine	subroutine	accept		06584536	06582403
transaction-file	computer-file	accept		06510271	06509210
transcription	recording	accept		04470605	04063868
transmission-control-protocol	protocol	accept		06666210	06665108
transmission-control-protocol-internet-protocol	protocol	accept		06666486	06665108
trojan	malevolent-program	accept		06585552	06573020
turing-machine	computer	accept		04499180	03082979
unix	operating-system	accept		06568706	06568134
unstratified-language	programming-language	accept		06901591	06898352
upgrade.artifact	hardware	accept		04513686	03493333
upgrade.communication	software	accept		06903255	06566077
url	computer-address	accept		06358747	06356515
utility-program	computer-program	accept		06581410	06568978
utility-routine	subroutine	accept		06584702	06582403
videocassette	video	accept		04533700	04534127
videodisk	optical-disk	accept		04533946	03851787
videotape.artifact	tape-recording	accept		04534520	04391838
videotape.artifact	video	accept		04534520	04534127
virtual-memory	computer-memory	accept		04537919	03744276
visible-speech	phonetic-alphabet	accept		06500639	06500448
voice-mail	telephone	accept		06272612	06272290
volatile-storage	computer-memory	accept		04539876	03744276
von-neumann-machine	digital-computer	accept		04541777	03196324
waiting-list	roster	accept		06497013	06495000
wake-up-call	phone-call	accept		06274546	06272803
window.artifact	device	accept		04588739	03183080
windows	operating-system	accept		06581823	06568134
wire-matrix-printer	dot-matrix-printer	accept		04595285	03225777
wireless	artifact	reject	radio transmission is a communication process, not an object	06275353	00021939
wireless-local-area-network	local-area-network	accept		04595028	03681477
wish-list	list	accept		06496299	06481320
word-processing	data-processing	accept		13574928	13455487
wordnet	lexical-database	accept		06639428	06638868
workstation	digital-computer	accept		04603399	03196324
world-wide-web	computer-network	accept		04604276	03085333
# --- computing batch 2 (WordNet, after renames): wordnet  ---
asynchronous-operation	data-operation	accept		13435377	13524925
auxiliary-operation	data-operation	accept		13436809	13524925
background-processing	priority-processing	accept		13436992	13540975
boolean-operation	data-operation	accept		13440935	13524925
carriage-return	printing-operation	accept		13443537	13540791
cd-r	compact-disk	accept		02988486	03079230
cd-rom	compact-disk	accept		02988679	03079230
cd-rom	read-only-memory	accept		02988679	04058239
communications-protocol	information	accept		06665108	00033020
computer-keyboard	data-input-device	accept		03085013	03163973
concurrent-operation	data-operation	accept		13451204	13524925
control-operation	data-operation	accept		13452117	13524925
cyclic-redundancy-check	error-correcting-code	reject	a CRC detects errors; it does not correct them	06357632	06357424
data-storage	computer-operation	accept		13562133	13450862
disk-error	hardware-error	accept		07299965	07299790
disk-overhead	region	reject	disk space is a capacity, not a geographic region	08556065	08630985
division	computation	accept		00870912	00868910
dubbing	audio	accept		03252959	04262678
dyadic-operation	data-operation	accept		13470392	13524925
electronic-data-processing	automatic-data-processing	accept		13472341	13436063
fixed-cycle-operation	data-operation	accept		13481727	13524925
foreground-processing	priority-processing	accept		13483331	13540975
hardware-interface	computer-circuit	accept		03578656	03084420
head-crash	system-crash	accept		07479144	07478874
integrated-data-processing	automatic-data-processing	accept		13500860	13436063
joystick	data-input-device	accept		03602883	03163973
laugh-track	audio	accept		03647291	04262678
lexical-database	electronic-database	accept		06638868	06588511
line-feed	printing-operation	accept		13508183	13540791
logical-operation	data-operation	accept		13509042	13524925
magnetic-bubble-memory	non-volatile-storage	accept		03706016	03829340
memory-access	data-operation	accept		02671224	13524925
monadic-operation	data-operation	accept		13517080	13524925
multiplex-operation	data-operation	accept		13517717	13524925
new-line	printing-operation	accept		13521444	13540791
object-oriented-database	electronic-database	accept		06638527	06588511
parallel-operation	data-operation	accept		13532196	13524925
printing-operation	data-operation	accept		13540791	13524925
push-down-queue	queue-data-structure	accept		06502054	06494816
random-access-memory	volatile-storage	accept		04052757	04539876
removable-disk	hard-disc	accept		04075468	03492542
search-operation	data-operation	accept		13553560	13524925
serial-operation	data-operation	accept		13554800	13524925
snapshot-program	trace-program	accept		06579592	06580866
sort	data-operation	accept		13558696	13524925
source-code	ascii-text-file	accept		06358513	06511242
summation	computation	accept		00872107	00868910
synchronous-operation	data-operation	accept		13564501	13524925
threshold-operation	data-operation	accept		13567344	13524925
web-page	text-file	reject	a web page is a document served over the web, not a kind of text file	06358900	06510977
# --- computing batch 3 (Wikidata): wikidata  ---
7z	file-format	accept			
access-control-list	access-control	accept			
agile-software-development	computer-programming	accept			
annotation	metadata	accept		06763273	
aspect-oriented-programming	computer-programming	accept			
associative-array	data-structure	accept			05728493
authoring-language	programming-language	accept		06566949	06898352
backtracking-search	algorithm	accept			
backtracking-search	information-retrieval	accept			
binary-tree	directed-acyclic-graph	accept			
bios	operating-system	reject	BIOS is firmware, not an operating system		06568134
breadth-first-search	algorithm	accept			
breadth-first-search	information-retrieval	accept			
build-system	software	accept			06566077
bulletin-board-system	computer-server	accept		02916684	04175147
bulletin-board-system	software	accept		02916684	06566077
bytecode	instruction-set-architecture	accept			
cellular-telephone	telephone	accept		02992529	06272290
character-data-type	data-type	accept			
character-encoding	data-type	accept			
code	algorithm	accept		06355894	
code	codec	accept		06355894	
command-line-interface	human-computer-interaction	accept		06575505	
command-line-interface	text-based-user-interface	accept		06575505	
computer-cache	hardware	accept		02935017	03493333
computer-cluster	group	accept			00031264
computer-port	hardware	accept			03493333
concurrent-programming	computer-programming	accept			
configuration-file	data-file	accept			06508816
core-dump	computer-file	accept		06390051	06509210
core-dump	data-file	accept		06390051	06508816
csv	data-type	accept			
cyclic-redundancy-check	hash-function	accept		06357632	
data-input-device	interface	reject	an input device is hardware, not a user-interface program	03163973	06575227
data-input-device	user-interface	accept		03163973	
deadlock	software-bug	reject	a deadlock is a state a program can enter, not a defect in its code		14464675
declarative-programming	computer-programming	accept			
depth-first-search	algorithm	accept			
depth-first-search	information-retrieval	accept			
digital-certificate	computer-file	accept			06509210
digital-certificate	data-file	accept			06508816
digital-signature	identifier	accept			
directed-graph	graph	reject	the core's 'graph' is the chart sense		07000195
disk-image	data-file	accept			06508816
distributed-computing	computer-science	accept			06128570
distributed-computing	parallel-computing	accept			
document-oriented-database	nosql	accept			
dongle	peripheral	accept		03221351	03916720
double-ended-queue	stack-data-structure	reject	a deque generalises a stack; it is not a kind of stack		04027504
dynamic-programming	programming-paradigm	accept			
eager-evaluation	algorithm	accept			
electronic-database	web-site	reject	a database is not a web site	06588511	06359193
embedded-database	software-library	accept			07977592
entropy-encoding	data-compression	accept			
error-detection-and-correction	telecommunication	accept			
ethernet-hub	hardware	accept			03493333
event-driven-programming	computer-programming	accept			
exception-handling	control-flow	accept			
file-directory	catalog	reject	a directory is not a printed catalogue	06490451	06416206
file-system	software	accept			06566077
firmware	hardware	reject	firmware is software stored in hardware	06357814	03493333
free-software	open-source-software	accept			
fuzzing	test-automation	accept			
generic-programming	computer-programming	accept			
graph-database	database	accept			
gui-window	gui-widget	accept		04588739	
hard-disk-drive	hardware	accept			03493333
heap-memory	hardware	reject	a memory region, not a component		03493333
hypervisor	software	accept			06566077
image-scanner	camera	reject	a scanner is not a camera	04143140	02942699
imperative-programming	computer-programming	accept			
information-redundancy	information-entropy	accept			
init-system	daemon-process	accept			
integrated-development-environment	application	accept			06570110
intermediate-representation	computer-language	accept			06899633
inversion-of-control	software-architecture	accept			
iterator	data-type	accept			
just-in-time-compilation	compiler	reject	a technique, not a program		06573600
key-value-database	nosql	accept			
keyhole-markup-language	file-format	accept			
keyhole-markup-language	markup-language	accept			
lazy-evaluation	algorithm	accept			
lempel-ziv	lossless-compression	accept			
lexer	compiler	reject	a lexer is a component a compiler uses, not a compiler		06573600
lexical-database	database	accept		06638868	
linear-search	information-retrieval	accept			
linked-data	electronic-database	reject	a publication method for data, not a database		06588511
linked-open-data	open-data	accept			
linker	software	accept			06566077
linux	free-software	accept			
linux-distribution	unix-like	accept			
log-file	data-file	accept			06508816
machine-code	programming-language	accept		06357985	06898352
macos	operating-system	accept			06568134
mainframe-computer	computer-server	accept		03711711	04175147
manifest-file	data-file	accept			06508816
matrix	array-data-structure	accept		08267640	
memory-paging	virtual-memory	accept			04537919
metadata-tag	metadata	accept			
metaprogramming	computer-programming	accept			
microcontroller	hardware	accept			03493333
microphone	data-input-device	accept		03759954	03163973
microservices	service-oriented-architecture	accept			
middleware	software	accept			06566077
minimum-spanning-tree	graph	reject	the core's 'graph' is the chart sense		07000195
motto	authentication	accept		07152259	
multimedia-container-format	file-format	accept			
multithreading	concurrency	accept			
mutex	data-type	accept			
name	identifier	accept		06333653	
network-file-system	file-system	accept			
network-gateway	hardware	accept			03493333
network-interface-controller	hardware	accept			03493333
network-switch	hardware	accept			03493333
object-oriented-programming	structured-programming	accept			
observability	system-monitoring	accept			
ontology	knowledge-base	accept		06162979	
ontology-language	computer-language	accept			06899633
opendocument	file-format	accept			
output-device	interface	reject	an output device is hardware, not a user-interface program	03861048	06575227
output-device	user-interface	accept		03861048	
package-format	file-format	accept			
package-manager	software	accept			06566077
parallel-computing	concurrent-programming	accept			
parser	algorithm	accept		06577369	
password	character-string	accept		06674188	
pattern-matching	algorithm	accept			
pattern-matching	conditional-statement	accept			
paxos	algorithm	accept			
pdf	file-format	accept			
phone-number	identifier	accept		06426111	
plain-text	text	accept			06387980
portable-executable	executable-file	accept			06570963
power-user	expert	accept		10462588	09617867
power-user	user	accept		10462588	10741590
priority-queue	queue-data-structure	accept			06494816
procedural-programming	structured-programming	accept			
process-scheduler	software	accept			06566077
program-loader	software	accept			06566077
program-statement	control-flow	accept			
proxy-server	computer-server	accept			04175147
proxy-server	software	accept			06566077
push-button	data-input-device	accept		04027023	03163973
query-optimization	relational-database-management-system	reject	a process, not a system		06588998
race-condition	security-vulnerability	accept			
radio	telecommunication	accept		04041544	
raster-graphics	image	accept			03931044
record-data-type	data-chunk	accept			
record-data-type	program-variable	accept			
reduced-instruction-set-computer	instruction-set-architecture	accept		04932875	
reed-solomon-code	erasure-code	accept			
relational-database	database	accept		06637973	
rich-text-format	file-format	accept			
router	hardware	accept		04114844	03493333
run-length-encoding	algorithm	accept			
runtime-system	software	accept			06566077
satellite-internet	wireless-communication	accept			
screen-saver	software	accept		04153436	06566077
search-engine-indexing	computer-process	accept			
security-vulnerability	software-bug	accept			14464675
self-extracting-archive	file-format	accept			
self-extracting-archive	software	accept			06566077
semantic-web	knowledge-graph	accept			
semaphore-primitive	data-type	accept			
shared-library	computer-file	accept			06509210
shared-library	data-file	accept			06508816
signal-modulation	telecommunication	accept			
single-board-computer	motherboard	accept			
single-page-application	web-page	accept			06358900
slide-rule	tool	accept		04238763	04451818
social-engineering-attack	security-vulnerability	accept			
software-architecture	computer-science	accept			06128570
software-as-a-service	software	reject	a delivery model, not software itself		06566077
software-container	software	accept			06566077
software-dependency	software-coupling	accept			
solid-state-drive	hardware	accept			03493333
spam-email	message	accept		06280347	06253690
sparql-endpoint	computer-server	accept			04175147
sparql-endpoint	software	accept			06566077
spyware	application	accept		06587980	06570110
spyware	malware	accept		06587980	06573020
sql-injection	security-vulnerability	accept			
stack-data-structure	data-structure	accept		04027504	05728493
static-program-analysis	algorithm	accept			
static-typing	static-program-analysis	accept			
string-searching-algorithm	algorithm	accept			
string-searching-algorithm	information-retrieval	accept			
structured-programming	computer-programming	accept			
subroutine	control-flow	accept		06582403	
symbolic-link	data-file	accept			06508816
symbolic-link	reference-data-type	accept			
symmetric-key-cryptography	algorithm	accept			
tablet-computer	digital-computer	accept			03196324
tar-file-format	computer-file	reject	a format is not a file		06509210
tar-file-format	data-file	reject	a format is not a file		06508816
terminal	peripheral	accept		04413419	03916720
text-based-user-interface	interface	accept			06575227
text-cursor	computer-icon	reject	a cursor is an indicator, not an icon	03150795	07269916
text-cursor	symbol	accept		03150795	06806469
text-file	file-format	accept		06510977	
thin-client	network-client	accept			
touchscreen	output-device	accept			03861048
triplestore	graph-database	accept			
triplestore	software	accept			06566077
type-inference	type-system	accept			
uniform-resource-name	persistent-identifier	accept			
uniform-resource-name	uniform-resource-identifier	accept			
unix-shell	software	accept			06566077
virtual-machine	application	accept			06570110
virtualization	software-abstraction	accept			
von-neumann-architecture	computer	reject	an architecture, not a machine		03082979
web-application	web-site	accept			06359193
web-server	computer-server	accept			04175147
web-server	software	accept			06566077
window-manager	software	accept			06566077
workstation	desktop-computer	accept		04603399	03180011
write-once-read-many	hardware	accept			03493333
zero-day-exploit	security-vulnerability	accept			
zip-file-format	file-format	accept			
# --- computing batch 4 (Wikidata, newly placed parents): wikidata  ---
adjacency-matrix	matrix	accept			08267640
aspect-oriented-programming	separation-of-concerns	reject	a paradigm is not a kind of principle		
continuous-delivery	devops	accept			
dependency-injection	inversion-of-control	accept			
dominance	partial-order	reject	the core's 'dominance' is the social sense	14441825	
identity	partial-order	reject	the core's 'identity' is not the identity relation	04618070	
ip-address	metadata-tag	reject	an address is not a tag		
office-open-xml	zip-file-format	accept			
rar	multimedia-container-format	reject	an archive format, not a media container		
