sub	sup	status	for	against
alphanumerics	character-set	accepted	claude wordnet	
alphanumerics	information	single	wordnet	
alphanumerics	list	single	wordnet	
amqp	messaging-protocol	accepted	claude-ruling	
analog-computer	artifact	accepted	sumo wordnet	
analog-computer	computer	accepted	sumo wikidata wordnet	
analog-computer	device	accepted	sumo wordnet	
analog-computer	machine	accepted	wikidata wordnet	
analog-computer	phenomenon	single	sumo	
analog-computer	physical-object	single	wordnet	
analog-computer	universe	single	sumo	
analog-signal	signal	accepted	claude-ruling	
analog-to-digital-converter	electronic-circuit	accepted	claude-ruling	
android	artifact	single	opencyc	
android	device	single	opencyc	
android	linux	accepted	claude-ruling	
android	operating-system	accepted	claude-ruling	
android	product	single	opencyc	
annotation	metadata	accepted	claude wikidata	
anonymous-ftp	attribute	single	sumo	
anonymous-ftp	communications-protocol	single	wordnet	
anonymous-ftp	file-transfer-protocol	dissented	wordnet	
anonymous-ftp	information	single	wordnet	
anonymous-ftp	normal	single	sumo	
anonymous-ftp	practice	accepted	claude-ruling	
anonymous-ftp	property	single	sumo	
anonymous-function	subroutine	accepted	claude-ruling	
anti-virus-program	code	accepted	sumo wordnet	
anti-virus-program	computer-program	accepted	sumo wordnet	
anti-virus-program	information	single	wordnet	
anti-virus-program	measure	single	sumo	
anti-virus-program	routine	single	sumo	
anti-virus-program	signified	single	sumo	
anti-virus-program	software	single	wordnet	
antivirus-software	information	single	yago	
antivirus-software	product	single	yago	
antivirus-software	utility-program	accepted	claude-ruling	
apache-avro	data-serialization-format	accepted	claude-ruling	
apache-hadoop	software-framework	accepted	claude-ruling	
apache-kafka	message-broker	accepted	claude-ruling	
apache-license	software-license	accepted	claude-ruling	
apache-parquet	file-format	accepted	claude-ruling	
apache-software-foundation	nonprofit-organization	accepted	claude-ruling	
apache-spark	software-framework	accepted	claude-ruling	
apache-subversion	version-control-software	accepted	claude-ruling	
apl	programming-language	accepted	claude-ruling	
applet	application	accepted	claude wordnet	
applet	code	accepted	sumo wordnet	
applet	computer-program	accepted	sumo wordnet	
applet	information	single	wordnet	
applet	measure	single	sumo	
applet	routine	single	sumo	
applet	signified	single	sumo	
applet	software	accepted	wikidata wordnet	
application-layer	concept	accepted	claude-ruling	
application-programming-interface	interface	accepted	claude-ruling	
application-specific-integrated-circuit	chip	accepted	claude-ruling wikidata	
approximation-algorithm	algorithm	accepted	claude-ruling wikidata	
arabic-alphabet	alphabet	single	claude	
arch-linux	linux-distribution	accepted	claude-ruling	
archive-file	computer-file	accepted	claude-ruling	
archive-file	information	single	yago	
archive-file	product	single	yago	
arithmetic-coding	data-compression	single	wikidata	
arithmetic-coding	entropy-encoding	accepted	claude-ruling wikidata	
arm-architecture	instruction-set-architecture	accepted	claude-ruling	
armenian	alphabet	single	claude	
array-data-structure	data-structure	accepted	claude-ruling wikidata	
ascii	code	accepted	claude wordnet	
ascii	information	single	wordnet	
ascii-character-set	character	single	sumo	
ascii-character-set	character-set	accepted	claude-ruling sumo	
ascii-character-set	information	single	sumo	
ascii-character-set	phenomenon	single	sumo	
ascii-character-set	symbol	single	sumo	
ascii-character-set	universe	single	sumo	
ascii-text-file	computer-file	single	wordnet	
ascii-text-file	data-file	single	wordnet	
ascii-text-file	indication	single	wordnet	
ascii-text-file	information	single	wordnet	
ascii-text-file	text-file	accepted	claude-ruling wordnet	
aspect-oriented-programming	computer-programming	accepted	claude wikidata	
aspect-oriented-programming	programming-paradigm	accepted	claude-ruling	
aspect-oriented-programming	separation-of-concerns	dissented	wikidata	
aspect-oriented-programming	skill	single	wikidata	
assembler	code	accepted	sumo wordnet	
assembler	computer-program	accepted	sumo wordnet	
assembler	information	single	wordnet	
assembler	measure	single	sumo	
assembler	routine	single	sumo	
assembler	signified	single	sumo	
assembler	software	single	wordnet	
assembly-language	information	accepted	sumo wordnet	
assembly-language	language	accepted	sumo wordnet	
assembly-language	line-of-text	single	sumo	
assembly-language	phenomenon	single	sumo	
assembly-language	programming-language	accepted	claude claude-ruling wikidata wordnet	
assembly-language	universe	single	sumo	
assertion	control-flow	single	wikidata	
assertion	program-statement	single	wikidata	
associative-array	abstract-data-type	accepted	claude-ruling	
associative-array	data-structure	accepted	claude wikidata	
asterisk	character-set	single	sumo	
asynchronous-io	data-processing	accepted	claude-ruling	
asynchronous-operation	accomplishment	single	sumo	
asynchronous-operation	act	single	sumo	
asynchronous-operation	activity	single	sumo	
asynchronous-operation	computer-operation	accepted	claude-ruling	
asynchronous-operation	data-operation	accepted	claude wordnet	
asynchronous-operation	data-processing	single	wordnet	
asynchronous-operation	event	single	sumo	
asynchronous-operation	phenomenon	single	sumo	
asynchronous-operation	procedure	single	sumo	
asynchronous-operation	process	single	wordnet	
asynchronous-operation	volition	single	sumo	
atomic-operation	computer-operation	accepted	claude-ruling	
audio-cd	artifact	single	wordnet	
audio-cd	compact-disk	accepted	claude-ruling wordnet	
audio-cd	device	single	wordnet	
audio-cd	optical-disk	single	wordnet	
audio-cd	physical-object	single	wordnet	
audio-cd	recording	single	wordnet	
audiotape	magnetic-tape	single	claude	
audiotape.artifact	audio	single	claude	
audiotape.artifact	tape-recording	single	claude	
authentication	data-processing	accepted	claude-ruling	
authoring-language	code	accepted	sumo wordnet	
authoring-language	computer-program	single	sumo	
authoring-language	information	single	wordnet	
authoring-language	measure	single	sumo	
authoring-language	programming-language	accepted	claude wikidata	
authoring-language	routine	single	sumo	
authoring-language	signified	single	sumo	
authoring-language	software	accepted	claude wordnet	
authorization	action	single	opencyc	
authorization	data-processing	accepted	claude-ruling	
authorization	event	single	opencyc	
authorization	situation	single	opencyc	
automatic-data-processing	accomplishment	single	sumo	
automatic-data-processing	act	single	sumo	
automatic-data-processing	activity	single	sumo	
automatic-data-processing	data-processing	accepted	claude wordnet	
automatic-data-processing	event	single	sumo	
automatic-data-processing	phenomenon	single	sumo	
automatic-data-processing	procedure	single	sumo	
automatic-data-processing	process	single	wordnet	
automatic-data-processing	volition	single	sumo	
autonomous-system	computer-network	accepted	claude-ruling	
auxiliary-operation	accomplishment	single	sumo	
auxiliary-operation	act	single	sumo	
auxiliary-operation	activity	single	sumo	
auxiliary-operation	computer-operation	accepted	claude-ruling	
auxiliary-operation	data-operation	accepted	claude wordnet	
auxiliary-operation	data-processing	single	wordnet	
auxiliary-operation	event	single	sumo	
auxiliary-operation	phenomenon	single	sumo	
auxiliary-operation	procedure	single	sumo	
auxiliary-operation	process	single	wordnet	
auxiliary-operation	volition	single	sumo	
auxiliary-storage	artifact	accepted	sumo wordnet	
auxiliary-storage	device	accepted	sumo wordnet	
auxiliary-storage	phenomenon	single	sumo	
auxiliary-storage	physical-object	single	wordnet	
auxiliary-storage	universe	single	sumo	
av1	video-coding-format	accepted	claude-ruling	
avi	multimedia-container-format	accepted	claude-ruling	
avif	image-file-format	accepted	claude-ruling	
avl-tree	binary-search-tree	single	wikidata	
avl-tree	binary-tree	single	wikidata	
avl-tree	data-structure	single	wikidata	
avl-tree	directed-acyclic-graph	single	wikidata	
avl-tree	directed-graph	single	wikidata	
avl-tree	graph	single	wikidata	
avl-tree	self-balancing-binary-search-tree	accepted	claude-ruling wikidata	
avl-tree	tree-data-structure	single	wikidata	
b-tree	data-structure	single	wikidata	
b-tree	tree-data-structure	accepted	claude-ruling wikidata	
background-processing	accomplishment	single	sumo	
background-processing	act	single	sumo	
background-processing	activity	single	sumo	
background-processing	data-processing	accepted	claude-ruling wordnet	
background-processing	event	single	sumo	
background-processing	phenomenon	single	sumo	
background-processing	priority-processing	accepted	claude wordnet	
background-processing	procedure	single	sumo	
background-processing	process	single	wordnet	
background-processing	volition	single	sumo	
backtracking-search	algorithm	accepted	claude wikidata	
backtracking-search	information-retrieval	dissented	wikidata	
backtracking-search	search-algorithm	accepted	claude-ruling	
backup-file	artifact	single	sumo	
backup-file	computer-file	accepted	claude wordnet	
backup-file	contract-condition	single	sumo	
backup-file	data-file	single	wordnet	
backup-file	indication	accepted	sumo wordnet	
backup-file	information	accepted	sumo wordnet	
backup-file	line-of-text	single	sumo	
backup-file	phenomenon	single	sumo	
backup-file	physical-object	single	sumo	
backup-file	text	single	sumo	
backup-file	universe	single	sumo	
backup-software	information	single	yago	
backup-software	product	single	yago	
backup-software	utility-program	accepted	claude-ruling	
bad-block	amateur	single	sumo	
bad-block	ambiance	single	sumo	
bad-block	attribute	single	sumo	
bad-block	circumstance	single	sumo	
bad-block	civilisation	single	sumo	
bad-block	crowd	single	sumo	
bad-block	custom	single	sumo	
bad-block	danger	single	sumo	
bad-block	disk-block	accepted	claude-ruling wordnet	
bad-block	expert	single	sumo	
bad-block	freedom	single	sumo	
bad-block	hero	single	sumo	
bad-block	lap	single	sumo	
bad-block	literary-works	single	sumo	
bad-block	normal	single	sumo	
bad-block	point-of-view	single	sumo	
bad-block	practice	single	sumo	
bad-block	property	single	sumo	
bad-block	society	single	sumo	
bad-block	status	single	sumo	
bad-block	tension	single	sumo	
bad-block	way	single	sumo	
base64	binary-to-text-encoding	accepted	claude-ruling	
bash-shell	unix-shell	accepted	claude-ruling	
basic-language	information	accepted	sumo wordnet	
basic-language	language	accepted	sumo wordnet	
basic-language	line-of-text	single	sumo	
basic-language	phenomenon	single	sumo	
basic-language	programming-language	accepted	wikidata wordnet	
basic-language	universe	single	sumo	
batch-job	application	accepted	claude wordnet	
batch-job	code	accepted	sumo wordnet	
batch-job	computer-program	accepted	sumo wordnet	
batch-job	information	single	wordnet	
batch-job	measure	single	sumo	
batch-job	routine	single	sumo	
batch-job	signified	single	sumo	
batch-job	software	single	wordnet	
batch-processing	data-processing	accepted	claude-ruling	
batting-order	roster	single	claude	
behavior-driven-development	agile-software-development	accepted	claude-ruling wikidata	
behavior-driven-development	computer-programming	single	wikidata	
behavior-driven-development	skill	single	wikidata	
berkeley-software-distribution	unix	accepted	claude-ruling	
beta-software	code	accepted	sumo wordnet	
beta-software	computer-program	single	sumo	
beta-software	information	single	wordnet	
beta-software	measure	single	sumo	
beta-software	routine	single	sumo	
beta-software	signified	single	sumo	
beta-software	software	accepted	claude wordnet	
betrothal	authorization	single	opencyc	
bible	hard-copy	single	sumo	
bibliography	list	single	claude	
big-data	information	accepted	claude-ruling	
big-o-notation	symbol	accepted	claude-ruling	
bill-of-entry	bill.communication	single	claude	
bill-of-goods	bill.communication	single	claude	
bill.communication	list	single	claude	
binary-code	code	accepted	claude wordnet	
binary-code	indication	single	sumo	
binary-code	information	accepted	sumo wordnet	
binary-code	phenomenon	single	sumo	
binary-code	physical-object	single	sumo	
binary-code	universe	single	sumo	
binary-file	artifact	single	sumo	
binary-file	computer-file	accepted	claude claude-ruling wikidata wordnet	
binary-file	contract-condition	single	sumo	
binary-file	data-file	accepted	wikidata wordnet	
binary-file	indication	accepted	sumo wordnet	
binary-file	information	accepted	sumo wordnet	
binary-file	line-of-text	single	sumo	
binary-file	phenomenon	single	sumo	
binary-file	physical-object	single	sumo	
binary-file	text	single	sumo	
binary-file	universe	single	sumo	
binary-heap	tree-data-structure	accepted	claude-ruling	
binary-numeral-system	code	accepted	claude-ruling	
binary-search	search-algorithm	accepted	claude-ruling	
binary-search-tree	binary-tree	accepted	claude-ruling wikidata	
binary-search-tree	data-structure	single	wikidata	
binary-search-tree	directed-acyclic-graph	single	wikidata	
binary-search-tree	directed-graph	single	wikidata	
binary-search-tree	graph	single	wikidata	
binary-search-tree	tree-data-structure	single	wikidata	
binary-tree	data-structure	single	wikidata	
binary-tree	directed-acyclic-graph	accepted	claude wikidata	
binary-tree	directed-graph	single	wikidata	
binary-tree	graph	single	wikidata	
binary-tree	tree-data-structure	accepted	claude-ruling wikidata	
biochip	artifact	accepted	sumo wordnet	
biochip	chip	accepted	claude wordnet	
biochip	component	single	sumo	
biochip	device	accepted	sumo wordnet	
biochip	mechanism	single	sumo	
biochip	phenomenon	single	sumo	
biochip	physical-object	single	wordnet	
biochip	universe	single	sumo	
bios	firmware	accepted	claude-ruling	
bios	operating-system	dissented	wikidata	
bios	software	single	wikidata	
bit-field	artifact	single	sumo	
bit-field	collection	single	wordnet	
bit-field	contract-condition	single	sumo	
bit-field	data-field	accepted	claude wordnet	
bit-field	group	single	wordnet	
bit-field	indication	single	sumo	
bit-field	information	single	sumo	
bit-field	line-of-text	single	sumo	
bit-field	phenomenon	single	sumo	
bit-field	physical-object	single	sumo	
bit-field	set	single	wordnet	
bit-field	text	single	sumo	
bit-field	universe	single	sumo	
bitemporal-modeling	data-model	accepted	claude-ruling	
bits-per-inch	attribute	single	wordnet	
bits-per-inch	density	accepted	claude wordnet	
bittorrent	communications-protocol	accepted	claude-ruling	
bittorrent	peer-to-peer	accepted	claude-ruling	
blacklist	list	single	claude	
bloom-filter	data-structure	accepted	claude-ruling	
bluetooth	communications-protocol	accepted	claude-ruling	
bmp-file-format	image-file-format	accepted	claude-ruling	
book	hard-copy	single	sumo	
book-copy	hard-copy	single	sumo	
booklet	hard-copy	single	sumo	
boolean-data-type	data-type	single	wikidata	
boolean-data-type	primitive-data-type	accepted	claude-ruling wikidata	
boolean-operation	accomplishment	single	sumo	
boolean-operation	act	single	sumo	
boolean-operation	activity	single	sumo	
boolean-operation	data-operation	accepted	claude wordnet	
boolean-operation	data-processing	single	wordnet	
boolean-operation	event	single	sumo	
boolean-operation	function	single	wikidata	
boolean-operation	logical-operation	accepted	claude-ruling	
boolean-operation	phenomenon	single	sumo	
boolean-operation	procedure	single	sumo	
boolean-operation	process	single	wordnet	
boolean-operation	volition	single	sumo	
bootloader	system-software	accepted	claude-ruling	
border-gateway-protocol	routing-protocol	accepted	claude-ruling	
botnet	computer-network	accepted	claude-ruling	
bracket	character-set	single	sumo	
branch-and-bound	algorithm	accepted	claude-ruling	
breadth-first-search	algorithm	accepted	claude wikidata	
breadth-first-search	graph-algorithm	accepted	claude-ruling	
breadth-first-search	information-retrieval	dissented	wikidata	
briefcase-computer	artifact	accepted	sumo wordnet	
briefcase-computer	computer	single	wordnet	
briefcase-computer	device	accepted	sumo wordnet	
briefcase-computer	digital-computer	single	wordnet	
briefcase-computer	machine	accepted	sumo wordnet	
briefcase-computer	machinery	single	sumo	
briefcase-computer	personal-computer	single	wordnet	
briefcase-computer	phenomenon	single	sumo	
briefcase-computer	physical-object	single	wordnet	
briefcase-computer	portable-computer	accepted	claude wordnet	
briefcase-computer	universe	single	sumo	
bsd-license	software-license	accepted	claude-ruling	
btrfs	file-system	accepted	claude-ruling	
bubble-jet-printer	artifact	single	wordnet	
bubble-jet-printer	device	single	wordnet	
bubble-jet-printer	dot-matrix-printer	single	wordnet	
bubble-jet-printer	equipment	single	wordnet	
bubble-jet-printer	ink-jet-printer	accepted	claude wordnet	
bubble-jet-printer	machine	single	wordnet	
bubble-jet-printer	peripheral	single	wordnet	
bubble-jet-printer	physical-object	single	wordnet	
bubble-jet-printer	printer	single	wordnet	
bubble-sort	sorting-algorithm	accepted	claude-ruling	
buffer-overflow	action	single	opencyc	
buffer-overflow	event	single	opencyc	
buffer-overflow	situation	single	opencyc	
buffer-overflow	software-bug	accepted	claude-ruling	
build-automation	data-processing	accepted	claude-ruling	
build-automation	information	single	yago	
build-automation	product	single	yago	
build-system	programming-tool	accepted	claude-ruling	
build-system	software	accepted	claude wikidata	
bulletin-board-system	artifact	accepted	sumo wordnet	
bulletin-board-system	computer	single	wordnet	
bulletin-board-system	computer-server	accepted	claude wikidata	
bulletin-board-system	device	accepted	sumo wordnet	
bulletin-board-system	digital-computer	accepted	claude wordnet	
bulletin-board-system	information	single	yago	
bulletin-board-system	machine	accepted	sumo wordnet	
bulletin-board-system	machinery	single	sumo	
bulletin-board-system	phenomenon	single	sumo	
bulletin-board-system	physical-object	single	wordnet	
bulletin-board-system	product	single	yago	
bulletin-board-system	software	accepted	claude wikidata	
bulletin-board-system	universe	single	sumo	
bytecode	instruction-set-architecture	accepted	claude wikidata	
bytecode	machine-code	accepted	claude-ruling	
byzantine-fault	fault	accepted	claude-ruling	
byzantine-fault-tolerance	fault-tolerance	accepted	claude-ruling	
bzip2	compression-algorithm	accepted	claude-ruling	
bzip2	software	accepted	claude-ruling	
c-compiler	code	accepted	sumo wordnet	
c-compiler	compiler	accepted	claude wordnet	
c-compiler	computer-program	accepted	sumo wordnet	
c-compiler	information	single	wordnet	
c-compiler	measure	single	sumo	
c-compiler	routine	single	sumo	
c-compiler	signified	single	sumo	
c-compiler	software	single	wordnet	
c-language	information	accepted	sumo wordnet	
c-language	language	accepted	sumo wordnet	
c-language	line-of-text	single	sumo	
c-language	phenomenon	single	sumo	
c-language	programming-language	accepted	claude wordnet	
c-language	universe	single	sumo	
c-plus-plus	programming-language	accepted	claude-ruling	
c-program	code	accepted	sumo wordnet	
c-program	computer-program	accepted	sumo wordnet	
c-program	information	single	wordnet	
c-program	measure	single	sumo	
c-program	routine	single	sumo	
c-program	signified	single	sumo	
c-program	software	single	wordnet	
c-sharp	programming-language	accepted	claude-ruling	
calendar.communication	list	single	claude	
call-back	phone-call	single	claude	
call-forwarding	telephony	single	claude	
call-in	phone-call	single	claude	
call-stack	data-structure	single	wikidata	
call-stack	stack-data-structure	accepted	claude-ruling wikidata	
call-waiting	telephony	single	claude	
callback-function	subroutine	accepted	claude-ruling	
calorie-chart	list	single	claude	
canon	list	single	claude	
cap-theorem	concept	accepted	claude-ruling	
cap-theorem	theorem	accepted	claude-ruling	
capability-based-security	access-control	accepted	claude-ruling	
capital-letter	character-set	single	sumo	
carriage-return	accomplishment	single	sumo	
carriage-return	act	single	sumo	
carriage-return	activity	single	sumo	
carriage-return	control-operation	accepted	claude-ruling	
carriage-return	data-operation	single	wordnet	
carriage-return	data-processing	single	wordnet	
carriage-return	event	single	sumo	
carriage-return	phenomenon	single	sumo	
carriage-return	printing-operation	accepted	claude wordnet	
carriage-return	procedure	single	sumo	
carriage-return	process	single	wordnet	
carriage-return	volition	single	sumo	
cascading-style-sheets	computer-language	accepted	claude-ruling	
case	software-object	single	opencyc	
cassette-tape	magnetic-tape	single	claude	
cataloged-procedure	code	single	wordnet	
cataloged-procedure	information	single	wordnet	
cataloged-procedure	measure	single	sumo	
cataloged-procedure	routine	single	sumo	
cataloged-procedure	signified	single	sumo	
cataloged-procedure	software	single	wordnet	
cataloged-procedure	subroutine	accepted	claude wordnet	
catalogue	list	single	claude	
cbor	data-serialization-format	accepted	claude-ruling	
cd-r	artifact	single	wordnet	
cd-r	compact-disk	accepted	claude wordnet	
cd-r	device	single	wordnet	
cd-r	optical-disk	accepted	claude-ruling wordnet	
cd-r	physical-object	single	wordnet	
cd-r	recording	single	wordnet	
cd-rom	artifact	accepted	opencyc wordnet	
cd-rom	compact-disk	accepted	claude wordnet	
cd-rom	component	single	wordnet	
cd-rom	computer-memory	single	wordnet	
cd-rom	cylinder	single	opencyc	
cd-rom	device	accepted	opencyc wordnet	
cd-rom	disk	single	opencyc	
cd-rom	hardware	single	wordnet	
cd-rom	optical-disk	single	wordnet	
cd-rom	physical-object	single	wordnet	
cd-rom	product	single	opencyc	
cd-rom	read-only-memory	accepted	claude wordnet	
cd-rom	recording	single	wordnet	
cellular-network	computer-network	accepted	claude-ruling	
cellular-network	telecommunication	accepted	claude-ruling	
cellular-telephone	telephony	single	claude	
census	computation	single	sumo	
central-processing-unit	artifact	single	wordnet	
central-processing-unit	chip	accepted	claude-ruling	
central-processing-unit	component	single	wordnet	
central-processing-unit	equipment	accepted	claude wordnet	
central-processing-unit	hardware	accepted	wikidata wordnet	
central-processing-unit	physical-object	single	wordnet	
central-processing-unit	product	single	yago	
certificate-authority	organization	accepted	claude-ruling	
channel-capacity	quantity	accepted	claude-ruling	
character	character-set	single	sumo	
character-data-type	data-type	accepted	claude wikidata	
character-data-type	primitive-data-type	accepted	claude-ruling	
character-encoding	code	accepted	claude-ruling	
character-encoding	data-type	dissented	wikidata	
character-set	information	accepted	sumo wordnet	
character-set	list	accepted	claude wordnet	
character-set	phenomenon	single	sumo	
character-set	universe	single	sumo	
character-string	data-type	accepted	claude-ruling wikidata	
character-string	information	single	opencyc	
chat-room	action	single	opencyc	
chat-room	artifact	single	wordnet	
chat-room	code	single	sumo	
chat-room	computer	single	wordnet	
chat-room	computer-program	single	sumo	
chat-room	device	single	wordnet	
chat-room	event	single	opencyc	
chat-room	machine	single	wordnet	
chat-room	measure	single	sumo	
chat-room	physical-object	single	wordnet	
chat-room	routine	single	sumo	
chat-room	signified	single	sumo	
chat-room	situation	single	opencyc	
chat-room	web-site	accepted	claude wordnet	
checking-program	code	accepted	sumo wordnet	
checking-program	computer-program	accepted	sumo wordnet	
checking-program	information	single	wordnet	
checking-program	measure	single	sumo	
checking-program	routine	single	sumo	
checking-program	signified	single	sumo	
checking-program	software	single	wordnet	
checklist	list	single	claude	
checksum	code	accepted	claude-ruling	
chord-protocol	distributed-hash-table	accepted	claude-ruling	
church-roll	roster	single	claude	
class-inheritance	data-processing-technique	accepted	claude-ruling	
class-list	list	single	claude	
classification-scheme	knowledge-organization-system	accepted	claude-ruling	
client-server-model	computer-science	single	wikidata	
client-server-model	software-architecture	accepted	claude-ruling wikidata	
clock-rate	quantity	accepted	claude-ruling	
clojure	lisp	accepted	claude-ruling	
cloud-computing	distributed-computing	accepted	claude-ruling	
cobol	information	accepted	sumo wordnet	
cobol	language	accepted	sumo wordnet	
cobol	line-of-text	single	sumo	
cobol	phenomenon	single	sumo	
cobol	programming-language	accepted	claude wordnet	
cobol	universe	single	sumo	
code	algorithm	dissented	wikidata	
code	codec	dissented	wikidata	
code-coverage	measure	accepted	claude-ruling	
code-refactoring	software-development-practice	accepted	claude-ruling	
code-review	software-development-practice	accepted	claude-ruling	
code-smell	defect	accepted	claude-ruling	
codec	information	single	yago	
codec	product	single	yago	
codec	software	accepted	claude-ruling	
codex	list	single	claude	
collect-call	phone-call	single	claude	
column-oriented-dbms	database-management-system	accepted	claude-ruling wikidata	
column-oriented-dbms	software	single	wikidata	
combination.act	mathematical-process	single	claude	
command-line	accomplishment	single	sumo	
command-line	act	single	sumo	
command-line	activity	single	sumo	
command-line	code	single	wordnet	
command-line	communication	single	sumo	
command-line	computer-instruction	accepted	claude wordnet	
command-line	event	single	sumo	
command-line	information	accepted	sumo wordnet	
command-line	phenomenon	single	sumo	
command-line	procedure	single	sumo	
command-line	universe	single	sumo	
command-line	volition	single	sumo	
command-line-interface	code	accepted	sumo wordnet	
command-line-interface	computer-program	accepted	sumo wordnet	
command-line-interface	computer-science	single	wikidata	
command-line-interface	human-computer-interaction	accepted	claude wikidata	
command-line-interface	information	single	wordnet	
command-line-interface	interface	accepted	wikidata wordnet	
command-line-interface	measure	single	sumo	
command-line-interface	routine	single	sumo	
command-line-interface	signified	single	sumo	
command-line-interface	software	single	wordnet	
command-line-interface	text-based-user-interface	accepted	claude wikidata	
command-line-interface	user-interface	accepted	claude-ruling wikidata	
command-processing-overhead-time	latency	accepted	claude-ruling	
command-processing-overhead-time	quantity	single	sumo	
command-prompt	act	single	wordnet	
command-prompt	communication	accepted	claude wordnet	
command-prompt	event	single	wordnet	
command-prompt	indication	single	sumo	
command-prompt	information	single	sumo	
command-prompt	phenomenon	single	sumo	
command-prompt	physical-object	single	sumo	
command-prompt	universe	single	sumo	
command-query-responsibility-segregation	software-design-pattern	accepted	claude-ruling	
communications-protocol	attribute	single	sumo	
communications-protocol	information	accepted	claude wordnet	
communications-protocol	normal	single	sumo	
communications-protocol	property	single	sumo	
compact-disk	artifact	single	wordnet	
compact-disk	device	single	wordnet	
compact-disk	optical-disk	accepted	claude wordnet	
compact-disk	physical-object	single	wordnet	
compact-disk	recording	accepted	claude wordnet	
compatible-software	code	accepted	sumo wordnet	
compatible-software	computer-program	single	sumo	
compatible-software	information	single	wordnet	
