# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
a-star-search	search-algorithm	accept	ai skeleton [2026-09-03]		
minimax-rule	algorithm	accept	a decision rule for game trees [2026-09-03]		05847438
alpha-beta-pruning	search-algorithm	accept	ai skeleton [2026-09-03]		
monte-carlo-tree-search	search-algorithm	accept	ai skeleton [2026-09-03]		
game-tree	concept	accept	a tree of game positions [2026-09-03]		05835747
heuristic	rule	accept	WordNet: a commonsense rule; core has rule [2026-09-03]	05847956	05846054
computer-vision	artificial-intelligence	accept	ai skeleton [2026-09-03]		06133203
automated-theorem-proving	artificial-intelligence	accept	ai skeleton [2026-09-03]		06133203
logic-programming	computer-science	accept	a programming paradigm [2026-09-03]		06128570
logic-programming-language	language	accept	core's language ⊑ information; a programming language [2026-09-03]		06282651
constraint-satisfaction-problem	problem	accept	core's problem [2026-09-03]		06784003
computational-neuroscience	science	accept	ai skeleton [2026-09-03]		05999797
artificial-life	field-of-study	accept	ai skeleton [2026-09-03]		05996646
cellular-automaton	concept	accept	a discrete model [2026-09-03]		05835747
information-retrieval	computer-science	accept	ai skeleton [2026-09-03]		06128570
recommender-system	software	accept	ai skeleton [2026-09-03]		06566077
expert-system	software	accept	a computer system that emulates an expert [2026-09-03]		06566077
rule-based-system	software	accept	ai skeleton [2026-09-03]		06566077
inference-engine	software	accept	ai skeleton [2026-09-03]		06566077
dataset	information	accept	a collection of data [2026-09-03]		00033020
semantic-web	concept	accept	an extension of the Web; Wikidata's knowledge-graph parents rejected [2026-09-03]		05835747
web-ontology-language	language	accept	ai skeleton [2026-09-03]		06282651
resource-description-framework	concept	accept	a data model [2026-09-03]		05835747
pddl	language	accept	a planning language [2026-09-03]		06282651
knowledge-engineering	artificial-intelligence	accept	ai skeleton [2026-09-03]		06133203
commonsense-reasoning	artificial-intelligence	accept	ai skeleton [2026-09-03]		06133203
commonsense-knowledge-base	knowledge-base	accept	ai skeleton [2026-09-03]		
frame-problem	problem	accept	ai skeleton [2026-09-03]		06784003
situation-calculus	concept	accept	a logical formalism [2026-09-03]		05835747
case-based-reasoning	artificial-intelligence	accept	an approach [2026-09-03]		06133203
cognitive-architecture	concept	accept	a blueprint for agents [2026-09-03]		05835747
blackboard-system	software	accept	ai skeleton [2026-09-03]		06566077
dempster-shafer-theory	concept	accept	a theory of evidence [2026-09-03]		05835747
fuzzy-set	concept	accept	ai skeleton [2026-09-03]		05835747
turing-test	procedure	accept	a test [2026-09-03]		01023820
ai-safety	artificial-intelligence	accept	a research area [2026-09-03]		06133203
ai-alignment	ai-safety	accept	ai skeleton [2026-09-03]		
machine-ethics	field-of-study	accept	ai skeleton [2026-09-03]		05996646
roboethics	field-of-study	accept	ai skeleton [2026-09-03]		05996646
prompt-engineering	procedure	accept	ai skeleton [2026-09-03]		01023820
attention-mechanism	concept	accept	a component of neural networks [2026-09-03]		05835747
word-embedding	vector-embedding	accept	ai skeleton [2026-09-03]		
content-addressable-memory	device	accept	computer memory hardware [2026-09-03]		03183080
hebbian-learning	concept	accept	a learning rule [2026-09-03]		05835747
neuromorphic-engineering	engineering	accept	ai skeleton [2026-09-03]		06125041
minimum-description-length	concept	accept	a model-selection principle [2026-09-03]		05835747
kolmogorov-complexity	concept	accept	a measure [2026-09-03]		05835747
information-bottleneck	concept	accept	ai skeleton [2026-09-03]		05835747
pac-learning	concept	accept	a framework [2026-09-03]		05835747
statistical-learning-theory	concept	accept	ai skeleton [2026-09-03]		05835747
bias-variance-tradeoff	concept	accept	ai skeleton [2026-09-03]		05835747
overfitting	concept	accept	a failure mode of fitting [2026-09-03]		05835747
learning-rate	concept	accept	a hyperparameter [2026-09-03]		05835747
batch-normalization	procedure	accept	a training technique [2026-09-03]		01023820
dimensionality-reduction	machine-learning	accept	ai skeleton [2026-09-03]		
anomaly-detection	machine-learning	accept	ai skeleton [2026-09-03]		
cluster-analysis	machine-learning	accept	ai skeleton [2026-09-03]		
cluster-analysis	statistics	accept	core's statistics [2026-09-03]		06018465
statistical-classification	machine-learning	accept	ai skeleton [2026-09-03]		
principal-component-analysis	dimensionality-reduction	accept	ai skeleton [2026-09-03]		
chatbot	software	accept	ai skeleton [2026-09-03]		06566077
computer-chess	artificial-intelligence	accept	ai skeleton [2026-09-03]		06133203
autonomous-vehicle	vehicle	accept	core's vehicle [2026-09-03]		04524313
intelligent-agent	agent	accept	core's agent root [2026-09-03]		00007347
multi-agent-system	software	accept	ai skeleton [2026-09-03]		06566077
ai-agent	intelligent-agent	accept	ai skeleton [2026-09-03]		
inductive-programming	machine-learning	accept	ai skeleton [2026-09-03]		
chatbot-evaluation	procedure	accept	ai skeleton [2026-09-03]		01023820
intelligent-system	software	accept	ai skeleton [2026-09-03]		06566077
intelligence-amplification	concept	accept	ai skeleton [2026-09-03]		05835747
knowledge-representation	computer-science	accept	also under AI via Wikidata [2026-09-03]		06128570
automated-planning	artificial-intelligence	accept	ai skeleton [2026-09-03]		06133203
natural-language-processing	artificial-intelligence	accept	also Wikidata's edge [2026-09-03]	06142412	06133203
computational-linguistics	linguistics	accept	WordNet's; core linguistics [2026-09-03]	06168552	06172789
information-science	science	accept	ai skeleton [2026-09-03]	06142118	05999797
cybernetics	science	accept	ai skeleton [2026-09-03]	06142598	05999797
data-mining	process	accept	WordNet's [2026-09-03]	13455234	00029677
computational-ontology	knowledge-base	accept	WordNet's CS ontology; Wikidata's edge [2026-09-03]	06162979	
weak-artificial-intelligence	artificial-intelligence	accept	narrow AI as a class [2026-09-03]		06133203
heuristic-search-algorithm	search-algorithm	accept	ai skeleton [2026-09-03]		
informed-search-algorithm	search-algorithm	accept	ai skeleton [2026-09-03]		
uninformed-search-algorithm	search-algorithm	accept	ai skeleton [2026-09-03]		
monte-carlo-algorithm	algorithm	accept	ai skeleton [2026-09-03]		05847438
algorithm	procedure	accept	as in the mathematics pack: a precise rule is a procedure [2026-09-03]	05847438	01023820
loss-function	concept	accept	a function; the mathematics pack's function node is not reachable from here [2026-09-03]		05835747
activation-function	concept	accept	same [2026-09-03]		05835747
vector-embedding	concept	accept	a map into a vector space [2026-09-03]		05835747
hill-climbing-search	search-algorithm	accept	ai skeleton [2026-09-03]		
autonomous-bus	autonomous-vehicle	accept	ai skeleton [2026-09-03]		
kernel-method	machine-learning-algorithm	accept	a class of algorithms [2026-09-03]		
neural-machine-translation	machine-translation	accept	ai skeleton [2026-09-03]		06133503
automated-reasoning	artificial-intelligence	accept	ai skeleton, second wave [2026-09-03]		06133203
inductive-logic-programming	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
inductive-logic-programming	logic-programming	accept	ai skeleton, second wave [2026-09-03]		
conditional-random-field	statistical-model	accept	ai skeleton, second wave [2026-09-03]		
statistical-model	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
latent-variable-model	statistical-model	accept	ai skeleton, second wave [2026-09-03]		
hidden-markov-model	statistical-model	accept	ai skeleton, second wave [2026-09-03]		
markov-chain	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
bayesian-network	statistical-model	accept	ai skeleton, second wave [2026-09-03]		
factor-graph	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
logistic-regression	statistical-model	accept	ai skeleton, second wave [2026-09-03]		
logistic-regression	classification-algorithm	accept	ai skeleton, second wave [2026-09-03]		
predictive-modelling	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
cross-validation	model-evaluation-method	accept	ai skeleton, second wave [2026-09-03]		
hyperparameter	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
hyperparameter-optimization	automated-machine-learning	accept	ai skeleton, second wave [2026-09-03]		
neural-architecture-search	automated-machine-learning	accept	ai skeleton, second wave [2026-09-03]		
grid-search	hyperparameter-optimization	accept	ai skeleton, second wave [2026-09-03]		
bayesian-optimization	hyperparameter-optimization	accept	ai skeleton, second wave [2026-09-03]		
bayesian-optimization	mathematical-optimization	accept	ai skeleton, second wave [2026-09-03]		
mathematical-optimization	mathematics	accept	ai skeleton, second wave [2026-09-03]		06000644
convex-optimization	mathematical-optimization	accept	ai skeleton, second wave [2026-09-03]		
linear-programming	mathematical-optimization	accept	ai skeleton, second wave [2026-09-03]		
early-stopping	procedure	accept	ai skeleton, second wave [2026-09-03]		01023820
generalization-error	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
inductive-bias	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
computational-learning-theory	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
computational-learning-theory	computer-science	accept	ai skeleton, second wave [2026-09-03]		06128570
statistical-learning-theory	computational-learning-theory	accept	ai skeleton, second wave [2026-09-03]		
pac-learning	computational-learning-theory	accept	ai skeleton, second wave [2026-09-03]		
rademacher-complexity	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
sample-complexity	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
no-free-lunch-theorem	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
universal-approximation-theorem	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
collaborative-filtering	machine-learning-algorithm	accept	ai skeleton, second wave [2026-09-03]		
named-entity-recognition	information-extraction	accept	ai skeleton, second wave [2026-09-03]		
speech-synthesis	natural-language-processing	accept	ai skeleton, second wave [2026-09-03]		06142412
machine-perception	artificial-intelligence	accept	ai skeleton, second wave [2026-09-03]		06133203
computer-vision	machine-perception	accept	ai skeleton, second wave [2026-09-03]		
speech-recognition	machine-perception	accept	ai skeleton, second wave [2026-09-03]		
sensor-fusion	machine-perception	accept	ai skeleton, second wave [2026-09-03]		
simultaneous-localization-and-mapping	robot-navigation	accept	ai skeleton, second wave [2026-09-03]		
robot-navigation	robotics	accept	ai skeleton, second wave [2026-09-03]		06133654
motion-planning	robotics	accept	ai skeleton, second wave [2026-09-03]		06133654
path-planning	motion-planning	accept	ai skeleton, second wave [2026-09-03]		
obstacle-avoidance	robot-navigation	accept	ai skeleton, second wave [2026-09-03]		
robot-control	robotics	accept	ai skeleton, second wave [2026-09-03]		06133654
inverse-kinematics	robotics	accept	ai skeleton, second wave [2026-09-03]		06133654
forward-kinematics	robotics	accept	ai skeleton, second wave [2026-09-03]		06133654
humanoid-robot	automaton	accept	ai skeleton, second wave [2026-09-03]		02761392
android-robot	humanoid-robot	accept	ai skeleton, second wave [2026-09-03]	02710201	
autonomous-robot	automaton	accept	ai skeleton, second wave [2026-09-03]		02761392
agent-based-model	computer-simulation	accept	ai skeleton, second wave [2026-09-03]		05666700
general-game-playing	artificial-intelligence	accept	ai skeleton, second wave [2026-09-03]		06133203
adversarial-example	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
adversarial-training	adversarial-machine-learning	accept	ai skeleton, second wave [2026-09-03]		
data-poisoning	adversarial-machine-learning	accept	ai skeleton, second wave [2026-09-03]		
membership-inference-attack	adversarial-machine-learning	accept	ai skeleton, second wave [2026-09-03]		
data-augmentation	procedure	accept	ai skeleton, second wave [2026-09-03]		01023820
synthetic-data	information	accept	ai skeleton, second wave [2026-09-03]		00033020
big-data	information	accept	ai skeleton, second wave [2026-09-03]		00033020
confusion-matrix	model-evaluation-method	accept	ai skeleton, second wave [2026-09-03]		
precision-and-recall	model-evaluation-method	accept	ai skeleton, second wave [2026-09-03]		
f1-score	model-evaluation-method	accept	ai skeleton, second wave [2026-09-03]		
receiver-operating-characteristic	model-evaluation-method	accept	ai skeleton, second wave [2026-09-03]		
monte-carlo-method	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
markov-chain-monte-carlo	monte-carlo-method	accept	ai skeleton, second wave [2026-09-03]		
gibbs-sampling	markov-chain-monte-carlo	accept	ai skeleton, second wave [2026-09-03]		
metropolis-hastings-algorithm	markov-chain-monte-carlo	accept	ai skeleton, second wave [2026-09-03]		
maximum-likelihood-estimation	procedure	accept	ai skeleton, second wave [2026-09-03]		01023820
expectation-propagation	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
belief-propagation	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
junction-tree-algorithm	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
mutual-information	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
signal-processing	engineering	accept	ai skeleton, second wave [2026-09-03]		06125041
image-processing	signal-processing	accept	ai skeleton, second wave [2026-09-03]		
optical-flow	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
edge-detection	image-processing	accept	ai skeleton, second wave [2026-09-03]		
human-computer-interaction	computer-science	accept	ai skeleton, second wave [2026-09-03]		06128570
software-agent	software	accept	ai skeleton, second wave [2026-09-03]		06566077
internet-bot	software-agent	accept	ai skeleton, second wave [2026-09-03]		
web-crawler	internet-bot	accept	ai skeleton, second wave [2026-09-03]		
knowledge-management	management	accept	ai skeleton, second wave [2026-09-03]		01133281
decision-support-system	software	accept	ai skeleton, second wave [2026-09-03]		06566077
algorithmic-bias	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
deepfake	synthetic-media	accept	ai skeleton, second wave [2026-09-03]		
synthetic-media	information	accept	ai skeleton, second wave [2026-09-03]		00033020
artificial-consciousness	field-of-study	accept	ai skeleton, second wave [2026-09-03]		05996646
philosophy-of-artificial-intelligence	philosophy	accept	ai skeleton, second wave [2026-09-03]		06158346
chinese-room	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
vanishing-gradient-problem	problem	accept	ai skeleton, second wave [2026-09-03]		06784003
softmax-function	activation-function	accept	ai skeleton, second wave [2026-09-03]		
sigmoid-function	activation-function	accept	ai skeleton, second wave [2026-09-03]		
neural-network-layer	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
hidden-layer	neural-network-layer	accept	ai skeleton, second wave [2026-09-03]		
u-net	convolutional-neural-network	accept	ai skeleton, second wave [2026-09-03]		
neural-radiance-field	ai-model	accept	ai skeleton, second wave [2026-09-03]		
t-sne	nonlinear-dimensionality-reduction	accept	ai skeleton, second wave [2026-09-03]		
k-means-clustering	clustering-algorithm	accept	ai skeleton, second wave [2026-09-03]		
dbscan	clustering-algorithm	accept	ai skeleton, second wave [2026-09-03]		
apriori-algorithm	association-rule-learning	accept	ai skeleton, second wave [2026-09-03]		
ensemble-averaging	ensemble-learning	accept	ai skeleton, second wave [2026-09-03]		
bootstrap-aggregating	ensemble-learning	accept	ai skeleton, second wave [2026-09-03]		
decision-tree	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
rule-induction	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
instance-based-learning	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
lazy-learning	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
locality-sensitive-hashing	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
similarity-measure	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
cosine-similarity	similarity-measure	accept	ai skeleton, second wave [2026-09-03]		
radial-basis-function	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
latent-space	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
n-gram	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
bag-of-words-model	ai-model	accept	ai skeleton, second wave [2026-09-03]		
tf-idf	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
stop-word	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
stemming	natural-language-processing	accept	ai skeleton, second wave [2026-09-03]		06142412
lemmatization	natural-language-processing	accept	ai skeleton, second wave [2026-09-03]		06142412
word-sense-disambiguation	natural-language-processing	accept	ai skeleton, second wave [2026-09-03]		06142412
text-classification	statistical-classification	accept	ai skeleton, second wave [2026-09-03]		
text-classification	natural-language-processing	accept	ai skeleton, second wave [2026-09-03]		06142412
facial-recognition-system	software	accept	ai skeleton, second wave [2026-09-03]		06566077
image-classification	computer-vision	accept	ai skeleton, second wave [2026-09-03]		
3d-reconstruction	computer-vision	accept	ai skeleton, second wave [2026-09-03]		
structure-from-motion	3d-reconstruction	accept	ai skeleton, second wave [2026-09-03]		
visual-odometry	computer-vision	accept	ai skeleton, second wave [2026-09-03]		
robotic-manipulator	machine	accept	ai skeleton, second wave [2026-09-03]		03699975
robot-end-effector	device	accept	ai skeleton, second wave [2026-09-03]		03183080
actuator	device	accept	ai skeleton, second wave [2026-09-03]		03183080
lidar	device	accept	ai skeleton, second wave [2026-09-03]		03183080
teleoperation	procedure	accept	ai skeleton, second wave [2026-09-03]		01023820
voice-user-interface	software	accept	ai skeleton, second wave [2026-09-03]		06566077
semantic-parsing	natural-language-processing	accept	ai skeleton, second wave [2026-09-03]		06142412
ontology-learning	knowledge-engineering	accept	ai skeleton, second wave [2026-09-03]		
ontology-alignment	knowledge-engineering	accept	ai skeleton, second wave [2026-09-03]		
triplestore	database	accept	ai skeleton, second wave [2026-09-03]		
sparql	language	accept	ai skeleton, second wave [2026-09-03]		06282651
linked-data	information	accept	ai skeleton, second wave [2026-09-03]		00033020
knowledge-based-system	software	accept	ai skeleton, second wave [2026-09-03]		06566077
expert-system	knowledge-based-system	accept	ai skeleton, second wave [2026-09-03]		
influence-diagram	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
decision-theory	field-of-study	accept	ai skeleton, second wave [2026-09-03]		05996646
rational-agent	agent	accept	ai skeleton, second wave [2026-09-03]		00007347
bounded-rationality	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
satisficing	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
tabu-search	metaheuristic	accept	ai skeleton, second wave [2026-09-03]		
iterative-deepening-depth-first-search	depth-first-search	accept	ai skeleton, second wave [2026-09-03]		
bidirectional-search	search-algorithm	accept	ai skeleton, second wave [2026-09-03]		
uniform-cost-search	search-algorithm	accept	ai skeleton, second wave [2026-09-03]		
dijkstra-algorithm	search-algorithm	accept	ai skeleton, second wave [2026-09-03]		
best-first-search	informed-search-algorithm	accept	ai skeleton, second wave [2026-09-03]		
greedy-algorithm	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
constraint-programming	computer-science	accept	ai skeleton, second wave [2026-09-03]		06128570
boolean-satisfiability-problem	constraint-satisfaction-problem	accept	ai skeleton, second wave [2026-09-03]		
sat-solver	software	accept	ai skeleton, second wave [2026-09-03]		06566077
forward-chaining	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
backward-chaining	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
horn-clause	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
default-logic	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
closed-world-assumption	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
open-world-assumption	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
belief-revision	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
argumentation-framework	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
abductive-reasoning	thinking	accept	ai skeleton, second wave [2026-09-03]		05770926
analogical-reasoning	thinking	accept	ai skeleton, second wave [2026-09-03]		05770926
qualitative-reasoning	artificial-intelligence	accept	ai skeleton, second wave [2026-09-03]		06133203
spatial-temporal-reasoning	artificial-intelligence	accept	ai skeleton, second wave [2026-09-03]		06133203
hierarchical-task-network	automated-planning	accept	ai skeleton, second wave [2026-09-03]		
partial-order-planning	automated-planning	accept	ai skeleton, second wave [2026-09-03]		
behavior-tree	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
blocks-world	toy-problem	accept	ai skeleton, second wave [2026-09-03]		
toy-problem	problem	accept	ai skeleton, second wave [2026-09-03]		06784003
gofai	symbolic-ai	accept	ai skeleton, second wave [2026-09-03]		
connectionism	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
computational-theory-of-mind	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
embodied-cognition	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
enactivism	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
situated-cognition	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
distributed-cognition	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
extended-mind-thesis	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
symbol-grounding-problem	problem	accept	ai skeleton, second wave [2026-09-03]		06784003
subsumption-architecture	cognitive-architecture	accept	ai skeleton, second wave [2026-09-03]		
nouvelle-ai	artificial-intelligence	accept	ai skeleton, second wave [2026-09-03]		06133203
reactive-planning	automated-planning	accept	ai skeleton, second wave [2026-09-03]		
developmental-robotics	robotics	accept	ai skeleton, second wave [2026-09-03]		06133654
evolutionary-robotics	robotics	accept	ai skeleton, second wave [2026-09-03]		06133654
memetic-algorithm	evolutionary-algorithm	accept	ai skeleton, second wave [2026-09-03]		
differential-evolution	evolutionary-algorithm	accept	ai skeleton, second wave [2026-09-03]		
estimation-of-distribution-algorithm	evolutionary-algorithm	accept	ai skeleton, second wave [2026-09-03]		
cultural-algorithm	evolutionary-algorithm	accept	ai skeleton, second wave [2026-09-03]		
fitness-function	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
neuroevolution	evolutionary-computation	accept	ai skeleton, second wave [2026-09-03]		
neat-algorithm	neuroevolution	accept	ai skeleton, second wave [2026-09-03]		
artificial-chemistry	artificial-life	accept	ai skeleton, second wave [2026-09-03]		
game-of-life	cellular-automaton	accept	ai skeleton, second wave [2026-09-03]		
langtons-ant	cellular-automaton	accept	ai skeleton, second wave [2026-09-03]		
complex-adaptive-system	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
self-organization	process	accept	ai skeleton, second wave [2026-09-03]		00029677
edge-of-chaos	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
negative-feedback	feedback-loop	accept	ai skeleton, second wave [2026-09-03]		13479380
positive-feedback	feedback-loop	accept	ai skeleton, second wave [2026-09-03]		13479380
control-theory	engineering	accept	ai skeleton, second wave [2026-09-03]		06125041
control-theory	mathematics	accept	ai skeleton, second wave [2026-09-03]		06000644
optimal-control	control-theory	accept	ai skeleton, second wave [2026-09-03]		
adaptive-control	control-theory	accept	ai skeleton, second wave [2026-09-03]		
robust-control	control-theory	accept	ai skeleton, second wave [2026-09-03]		
model-predictive-control	control-theory	accept	ai skeleton, second wave [2026-09-03]		
system-identification	control-theory	accept	ai skeleton, second wave [2026-09-03]		
state-observer	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
sparse-distributed-memory	ai-model	accept	ai skeleton, second wave [2026-09-03]		
compressed-sensing	signal-processing	accept	ai skeleton, second wave [2026-09-03]		
non-negative-matrix-factorization	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
blind-signal-separation	signal-processing	accept	ai skeleton, second wave [2026-09-03]		
linear-discriminant-analysis	classification-algorithm	accept	ai skeleton, second wave [2026-09-03]		
community-detection	network-science	accept	ai skeleton, second wave [2026-09-03]		
link-prediction	network-science	accept	ai skeleton, second wave [2026-09-03]		
network-science	field-of-study	accept	ai skeleton, second wave [2026-09-03]		05996646
complex-network	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
scale-free-network	complex-network	accept	ai skeleton, second wave [2026-09-03]		
small-world-network	complex-network	accept	ai skeleton, second wave [2026-09-03]		
erdos-renyi-model	statistical-model	accept	ai skeleton, second wave [2026-09-03]		
barabasi-albert-model	statistical-model	accept	ai skeleton, second wave [2026-09-03]		
preferential-attachment	process	accept	ai skeleton, second wave [2026-09-03]		00029677
pagerank	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
hits-algorithm	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
centrality	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
betweenness-centrality	centrality	accept	ai skeleton, second wave [2026-09-03]		
eigenvector-centrality	centrality	accept	ai skeleton, second wave [2026-09-03]		
graph-embedding	vector-embedding	accept	ai skeleton, second wave [2026-09-03]		
knowledge-graph-embedding	graph-embedding	accept	ai skeleton, second wave [2026-09-03]		
multi-head-attention	attention-mechanism	accept	ai skeleton, second wave [2026-09-03]		
teacher-forcing	procedure	accept	ai skeleton, second wave [2026-09-03]		01023820
curriculum-learning	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
catastrophic-forgetting	problem	accept	ai skeleton, second wave [2026-09-03]		06784003
domain-adaptation	transfer-learning	accept	ai skeleton, second wave [2026-09-03]		
concept-drift	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
one-class-classification	statistical-classification	accept	ai skeleton, second wave [2026-09-03]		
semi-supervised-learning	machine-learning	accept	ai skeleton, second wave [2026-09-03]		
distant-supervision	weakly-supervised-learning	accept	ai skeleton, second wave [2026-09-03]		
explainability	attribute	accept	ai skeleton, second wave [2026-09-03]		00024264
differential-privacy	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
