offset	lemma	issue	gloss
10011074	diagnostician	held by the medicine pack as 'diagnostician' (isco 2)	a doctor who specializes in medical diagnosis
10018861	distributor	codes span major groups: 5243 9510	someone who markets merchandise
10033225	dresser	codes span major groups: 3432 3435 5141 7113 7511 7535	"a person who dresses in a particular way; ""she's an elegant "
10041195	ear_doctor	held by the medicine pack as 'ear-doctor' (isco 2212)	a physician who specializes in the ear and its diseases
10051761	embryologist	held by the medicine pack as 'embryologist' (isco 2131)	a physician who specializes in embryology
10056914	endocrinologist	held by the medicine pack as 'endocrinologist' (isco 2212)	physician who specializes in the diagnosis and treatment of 
10057114	endodontist	held by the medicine pack as 'endodontist' (isco 2261)	a dentist specializing in diseases of the dental pulp and ne
10059323	ENT_man	held by the medicine pack as 'otolaryngologist' (isco 2212)	a specialist in the disorders of the ear or nose or throat
10068234	examiner	codes span major groups: 2411 2519 3117 3121 3142 3315 3352 5165 7543	someone who administers a test to determine your qualificati
10077278	family_doctor	held by the medicine pack as 'family-doctor' (isco 2211)	a general practitioner who treats all the family members
10086821	field_marshal	armed forces (0110): ranks stay out unless ruled in	an officer holding the highest rank in the army
10093818	fishmonger	held by the economics pack as 'fishmonger' (isco 7511)	someone who sells fish
10097705	florist	codes span major groups: 5221 7549	"someone who grows and deals in flowers; ""the florist made up"
10121800	gastroenterologist	held by the medicine pack as 'gastroenterologist' (isco 2212)	a physician who specializes in diseases of the gastrointesti
10122300	gatherer	codes span major groups: 6340 7315 9216	"a person who gathers; ""they were a society of hunters and ga"
10123844	general	armed forces (0110): ranks stay out unless ruled in	a general officer of the highest rank
10126009	general_practitioner	held by the medicine pack as 'general-practitioner' (isco 2211)	a physician who is not a specialist but treats all illnesses
10128381	gerontologist	held by the medicine pack as 'gerontologist' (isco 2212)	a specialist in gerontology
10144468	gravedigger	codes span major groups: 8342 9312	a person who earns a living by digging graves
10147710	grocer	held by the economics pack as 'grocer' (isco 5221)	a retail merchant who sells foodstuffs (and some household s
10148825	group_captain	armed forces (0110): ranks stay out unless ruled in	a commissioned officer (especially one in the Royal Air Forc
10153594	gymnast	codes span major groups: 2269 3421	an athlete who is skilled in gymnastics
10154013	gynecologist	held by the medicine pack as 'gynecologist' (isco 2212)	a specialist in gynecology
10162354	hatmaker	held by the economics pack as 'hatmaker' (isco 7531)	someone who makes and sells hats
10164233	headmaster	codes span major groups: 1345 2330 2341	presiding officer of a school
10170681	hematologist	held by the medicine pack as 'hematologist' (isco 2212)	a doctor who specializes in diseases of the blood and blood-
10171456	herbalist	codes span major groups: 2230 3230	a therapist who heals by the use of herbs
10188369	housefather	codes span major groups: 2635 3412	a man in charge of children in an institution
10188856	housemaster	codes span major groups: 2635 3412	teacher in charge of a school boardinghouse
10189059	housemother	codes span major groups: 2635 3412	a woman employed as a chaperon in a residence for young peop
10194969	hygienist	held by the medicine pack as 'hygienist' (isco 3251)	a medical specialist in hygiene
10204921	infantryman	armed forces (0310): ranks stay out unless ruled in	fights on foot with small arms
10207514	inoculator	held by the medicine pack as 'inoculator' (isco 3240)	a medical practitioner who inoculates people against disease
10210648	interior_designer	codes span major groups: 2144 2149 2151 2163 2166 2511 2512 3432 7316 7512	a person who specializes in designing architectural interior
10211203	intern	held by the medicine pack as 'medical-intern' (isco 22)	an advanced student or graduate in medicine gaining supervis
10212501	interpreter	codes span major groups: 2643 5113	someone who mediates between speakers of different languages
10222497	jobber	codes span major groups: 1420 3311	someone who buys large quantities of goods and resells to me
10223177	jockey	codes span major groups: 2659 3421	someone employed to ride horses in horse races
10224578	journalist	codes span major groups: 2642 3431	a writer for newspapers and magazines
10245863	landscape_architect	codes span major groups: 2162 6113	someone who arranges features of the landscape or garden att
10257948	librarian	codes span major groups: 1349 2622	a professional person trained in library science and engaged
10258304	licensed_practical_nurse	held by the medicine pack as 'licensed-practical-nurse' (isco 3221)	a nurse who has enough training to be licensed by a state to
10258493	licensee	held by the economics pack as 'licensee' (isco 1341)	someone to whom a license is granted
10259348	lieutenant	armed forces (0110): ranks stay out unless ruled in	a commissioned military officer
10259780	lieutenant_colonel	armed forces (0110): ranks stay out unless ruled in	a commissioned officer in the United States Army or Air Forc
10259997	lieutenant_commander	armed forces (0110): ranks stay out unless ruled in	a commissioned officer in the Navy ranking above a lieutenan
10260166	lieutenant_general	armed forces (0110): ranks stay out unless ruled in	a general officer ranking above a major general and below a 
10280130	maestro	codes span major groups: 1324 1345 2330 2341 3152 3435 3514 4323 7531	"an artist of consummate skill; ""a master of the violin""; ""on"
10283170	major	armed forces (0): ranks stay out unless ruled in	a commissioned military officer in the United States Army or
10283663	major-general	armed forces (0110): ranks stay out unless ruled in	a general officer ranking above a brigadier general and belo
10292316	manufacturer	codes span major groups: 1321 2642 2654 3332 6121	someone who manufactures something
10294602	mariner	codes span major groups: 0310 7119 8350	a man who serves as a sailor
10295951	marshal	armed forces (0110): ranks stay out unless ruled in	a law officer having duties similar to those of a sheriff in
10301261	mathematician	held by the mathematics pack as 'mathematician' (isco 2120)	a person skilled in mathematics
10305523	medical_assistant	held by the medicine pack as 'medical-assistant' (isco 325)	a person trained to assist medical professionals
10305635	medical_officer	held by the medicine pack as 'medical-officer' (isco 221)	a medical practitioner in the armed forces
10305802	medical_practitioner	held by the medicine pack as 'medical-practitioner' (isco 221)	someone who practices medicine
10309896	merchant	codes span major groups: 1420 3323 3432 5242 9612	a businessperson engaged in retail trade
10311021	messenger	codes span major groups: 3359 8321 8322 9331 9621	a person who carries a message
10314703	midshipman	armed forces (0110): ranks stay out unless ruled in	a temporary rank held by young naval officers in training
10314836	midwife	held by the medicine pack as 'midwife' (isco 3222)	a woman skilled in aiding the delivery of babies
10317007	military_officer	codes span major groups: 0110 0210 1120 1211 1213 1330 1342 1349 2132 2133 2211 2212 2240 2263 2411 2422 2423 2424 2432 2522 2611 2622 2635 3121 3142 3152 3258 3312 3323 3332 3333 3351 3352 3353 3354 3355 3412 3433 3512 3514 3522 4221 4222 4227 4411 4412 4416 5412 5413 5414 5419 7544	any person in the armed services who holds a position of aut
10323752	mistress	codes span major groups: 1345 2330 2341 7531	an adulterous woman; a woman who has an ongoing extramarital
10325774	modeler	codes span major groups: 2651 7314	a person who creates models
10334009	motorcyclist	codes span major groups: 3421 8321	a traveler who rides a motorcycle
10347593	naval_officer	armed forces (0110): ranks stay out unless ruled in	an officer in the navy
10351874	negotiator	codes span major groups: 3117 7521	someone who negotiates (confers with others in order to reac
10354265	neurologist	held by the medicine pack as 'neurologist' (isco 2212)	a medical specialist in the nervous system and the disorders
10354754	neurosurgeon	held by the medicine pack as 'neurosurgeon' (isco 2212)	someone who does surgery on the nervous system (especially t
10356213	newsagent	held by the economics pack as 'newsagent' (isco 5221)	someone who sells newspapers
10367819	nurse_practitioner	held by the medicine pack as 'nurse-practitioner' (isco 2221)	a registered nurse who has received special training and can
10369699	obstetrician	held by the medicine pack as 'obstetrician' (isco 2212)	a physician specializing in obstetrics
10372373	official	codes span major groups: 1114 3359 3422	a worker who holds or is invested with an office
10377633	oncologist	held by the medicine pack as 'oncologist' (isco 2212)	a specialist in oncology
10379073	ophthalmologist	held by the medicine pack as 'ophthalmologist' (isco 2212)	a medical doctor specializing in the diagnosis and treatment
10383237	organizer	codes span major groups: 2635 2652 2653 3332 7549	a person who brings order and organization to an enterprise;
10384610	orthodontist	held by the medicine pack as 'orthodontist' (isco 2261)	a dentist specializing in the prevention or correction of ir
10385354	orthoptist	held by the medicine pack as 'orthoptist' (isco 2267)	a specialist in orthoptics
10388732	overseer	codes span major groups: 1324 1349 3121 3123 3151 3152 4323 5153	a person who directs and manages an organization
10398176	paramedic	codes span major groups: 2240 3258	a person trained to assist medical professionals and to give
10399019	paratrooper	armed forces (0310): ranks stay out unless ruled in	a soldier in the paratroops
10411551	peddler	codes span major groups: 5212 9520	someone who travels about selling his wares (as on the stree
10412554	pedodontist	held by the medicine pack as 'pedodontist' (isco 2261)	a dentist who specializes in the care of children's teeth
10416567	periodontist	held by the medicine pack as 'periodontist' (isco 2261)	a dentist specializing in diseases of the gums and other str
10420809	petty_officer	armed forces (0210): ranks stay out unless ruled in	a noncommissioned officer in the Navy or Coast Guard with a 
10421470	pharmacist	held by the medicine pack as 'pharmacist' (isco 2262)	a health professional trained in the art of preparing and di
10421753	pharmacologist	held by the medicine pack as 'pharmacologist' (isco 21)	someone trained in the science of drugs (their composition a
10428004	physicist	held by the physics pack as 'physicist' (isco 2111)	a scientist trained in physics
10438172	planner	codes span major groups: 2164 2412 2422 3332 3341	a person who makes plans
10458696	prosthodontist	held by the medicine pack as 'prosthodontist' (isco 2261)	a dentist who is expert in prosthodontics
10460806	potter	codes span major groups: 7314 9214	a craftsman who shapes pottery on a potter's wheel and bakes
10477839	probation_officer	codes span major groups: 2635 3412	the officer of the court who supervises probationers
10477955	processor	codes span major groups: 3312 4131 8132	someone who processes things (foods or photographs or applic
10481268	programmer	held by the computing pack as 'programmer' (isco 25)	a person who designs and writes and tests computer programs
10487182	pruner	codes span major groups: 6112 6210 7511 7531 7536 9214	"a worker who thins out and trims trees and shrubs; ""untouche"
10488016	psychiatrist	held by the medicine pack as 'psychiatrist' (isco 2212)	a physician who specializes in psychiatry
10491309	publisher	codes span major groups: 1349 3514 7321	a person engaged in publishing periodicals or books or music
10492447	puller	codes span major groups: 7535 9331	someone who applies force so as to cause motion toward herse
10494643	purser	codes span major groups: 1211 2411 5111	an officer aboard a ship who keeps accounts and attends to t
10503965	radiographer	held by the medicine pack as 'radiographer' (isco 3211)	a person who makes radiographs
10504206	radiologist	held by the medicine pack as 'radiologist' (isco 2212)	a medical specialist who uses radioactive substances and X-r
10508710	reader	codes span major groups: 2310 4413 9623	a person who enjoys reading
10510245	rear_admiral	armed forces (0110): ranks stay out unless ruled in	an admiral junior to a vice admiral
10512372	recruit	armed forces (0310): ranks stay out unless ruled in	a recently enlisted soldier
10514429	referee	codes span major groups: 2619 3422	(sports) the chief official (as in boxing or American footba
10516527	registered_nurse	held by the medicine pack as 'registered-nurse' (isco 2221)	a graduate nurse who has passed examinations for registratio
10522035	representative	codes span major groups: 1111 1112 2433 2434 3315 3321 3322 3512 5223 5243 5244	a person who represents others
10528023	rheumatologist	held by the medicine pack as 'rheumatologist' (isco 2212)	a physician specializing in rheumatic diseases
10529965	rider	codes span major groups: 3421 6210 8321 9331	a traveler who actively rides an animal (as a horse or camel
10530677	rifleman	armed forces (0310): ranks stay out unless ruled in	someone skilled in the use of a rifle
10546633	sailor	codes span major groups: 0310 6223 6224 8350	any member of a ship's crew
10548681	salesperson	codes span major groups: 2433 2434 3311 3321 3322 3334 3339 5211 5223 5243 5244 5246 5249	a person employed to represent a business and to sell its me
10551751	sapper	armed forces (0310): ranks stay out unless ruled in	a military engineer who lays or detects and disarms mines
10553805	savior	codes span major groups: 8321 8322 9331 9621	a person who rescues you from harm or danger
10554141	sawyer	codes span major groups: 7113 7523 8114 8172	one who is employed to saw wood
10569011	second_lieutenant	armed forces (0110): ranks stay out unless ruled in	a commissioned officer in the Army or Air Force or Marine Co
10570019	secretary	codes span major groups: 1112 1211 2432 3342 3343 3344 4120	a person who is head of an administrative department of gove
10580772	sergeant	codes span major groups: 0210 3355 5412	any of several noncommissioned officer ranks in the Army or 
10581278	sergeant_major	armed forces (0210): ranks stay out unless ruled in	a noncommissioned officer serving as chief administrative of
10592152	shopkeeper	held by the economics pack as 'shopkeeper' (isco 5221)	a merchant who owns or manages a shop
10602985	sister	codes span major groups: 2221 3221 3413	a female person who has the same parents as another person; 
10622053	soldier	armed forces (0): ranks stay out unless ruled in	"an enlisted man or woman who serves in an army; ""the soldier"
10623354	solicitor	codes span major groups: 2611 3322 5243	a petitioner who solicits contributions or trade or votes
10626867	sorter	codes span major groups: 7516 7531 7536 9329 9612	a clerk who sorts things (as letters at the post office)
10632576	specialist	held by the medicine pack as 'medical-specialist' (isco 2212)	practices one branch of medicine
10640620	spouse	codes span major groups: 2611 5169	a person's partner in marriage
10645392	stagehand	codes span major groups: 3435 7215	an employee of a theater who performs work involved in putti
10652954	statistician	held by the mathematics pack as 'statistician' (isco 2120)	someone versed in the collection and interpretation of numer
10654015	stenographer	codes span major groups: 3342 3344 4131	someone skilled in the transcription of speech (especially d
10657556	stockjobber	held by the economics pack as 'stockjobber' (isco 3311)	one who deals only with brokers or other jobbers
10657835	stock_trader	held by the economics pack as 'stock-trader' (isco 3311)	someone who buys and sells stock shares
10659042	stoker	codes span major groups: 5411 8182	a laborer who tends fires (as on a coal-fired train or steam
10663315	streetwalker	codes span major groups: 5169 6222	a prostitute who attracts customers by walking the streets
10664656	stripper	codes span major groups: 2653 6210 6224 7318 7511 7516	a worker who strips the stems from moistened tobacco leaves 
10669236	sublieutenant	armed forces (0110): ranks stay out unless ruled in	an officer ranking next below a lieutenant
10669357	submariner	armed forces (0310): ranks stay out unless ruled in	a member of the crew of a submarine
10677271	supplier	codes span major groups: 1330 5322	someone whose business is to supply a particular service or 
10692482	taster	codes span major groups: 3117 7515 8113	someone who samples food or drink for its quality
10698064	telephone_operator	codes span major groups: 3131 4223 4227 5244	someone who helps callers get the person they are calling
10699099	teller	codes span major groups: 4211 5161	an official appointed to count the votes (especially in legi
10704712	Texas_Ranger	codes span major groups: 2133 6210	a member of the Texas state highway patrol; formerly a mount
10707233	therapist	codes span major groups: 2230 2264 2266 2269 2634 2635 3211 3230 3251 3255 3413 5142	a person skilled in a particular type of therapy
10722575	trainer	codes span major groups: 2356 2424 2659 3422 3423 5164 9411	one who trains other persons or animals
10741493	urologist	held by the medicine pack as 'urologist' (isco 2212)	a specialist in urology
10745332	valet	codes span major groups: 5162 8322	a manservant who acts as a personal attendant to his employe
10749715	veterinarian	held by the medicine pack as 'veterinarian' (isco 2250)	a doctor who practices veterinary medicine
10750788	vice_admiral	armed forces (0110): ranks stay out unless ruled in	an admiral ranking below a full admiral and above a rear adm
10767154	warden	codes span major groups: 2635 3412 5151 5413 5419	the chief official in charge of a prison
10768391	warrant_officer	armed forces (0210): ranks stay out unless ruled in	holds rank by virtue of a warrant
10781984	winder	codes span major groups: 8212 9329	a worker who winds (e.g., a winch or clock or other mechanis
10782362	wing_commander	armed forces (0110): ranks stay out unless ruled in	(RAF rank) one who is next below a group captain
