# sub	sup	accept|reject	reason	sub_wn	sup_wn — Claude's judgements for the physics pack
# --- physics batch 1: wordnet  ---
red-shift	physical-phenomenon	accept		11513357	11419404
scientific-theory	theory	accept		05993844	05989479
smoke	physical-phenomenon	accept		11508092	11419404
storm	physical-phenomenon	accept		11462526	11419404
stress	physical-phenomenon	accept		11514805	11419404
thunderbolt	physical-phenomenon	accept		11519121	11419404
traction	physical-phenomenon	accept		11460281	11419404
visible-light	physical-phenomenon	accept		11473954	11419404
weather	physical-phenomenon	accept		11524662	11419404
work.phenomenon	physical-phenomenon	accept		11453420	11419404
# --- physics batch 4 (theories, electrical phenomena, light): wordnet  ---
beam-of-light	visible-light	accept		11428023	11473954
bohr-theory	scientific-theory	accept		06103422	05993844
capacitance	electrical-phenomenon	accept		11433546	11449002
corpuscular-theory	scientific-theory	accept		06106084	05993844
current	electrical-phenomenon	accept		11443532	11449002
daylight	visible-light	accept		11444038	11473954
electric-charge	electrical-phenomenon	accept		11435028	11449002
glow	visible-light	accept		11463544	11473954
inductance	electrical-phenomenon	accept		11468172	11449002
kinetic-theory	scientific-theory	accept		06106305	05993844
quantum-theory	scientific-theory	accept		06107660	05993844
relativity	scientific-theory	accept		06106502	05993844
reluctance.phenomenon	electrical-phenomenon	accept		11504750	11449002
scintillation	visible-light	accept		11506349	11473954
sunlight	visible-light	accept		11485367	11473954
supersymmetry	scientific-theory	accept		06107436	05993844
tension.phenomenon	stress	accept		11515051	11514805
theory-of-gravitation	scientific-theory	accept		05990089	05993844
voltage	electrical-phenomenon	accept		11523538	11449002
wave-theory	scientific-theory	accept		06105873	05993844
# --- physics batch 5 (the particle zoo): wordnet  ---
antibaryon	hadron	accept		09199219	09300674
antimeson	hadron	accept		09199498	09300674
antimuon	antilepton	accept		09199581	09199341
antineutrino	antilepton	accept		09199728	09199341
antineutron	nucleon	accept		09199817	09374886
antiproton	nucleon	accept		09200193	09374886
antitauon	antilepton	accept		09200419	09199341
b-meson	meson	accept		09224828	09352282
baryon	hadron	accept		09215023	09300674
bottom-quark	quark	accept		09227530	09401834
charm-quark	quark	accept		09242232	09401834
down-quark	quark	accept		09269573	09401834
hydrogen-ion	proton	accept		09307719	09400037
hyperon	baryon	accept		09308242	09215023
j-particle	meson	accept		09322349	09352282
kaon	meson	accept		09323660	09352282
lambda-particle	hyperon	accept		09334266	09308242
meson	hadron	accept		09352282	09300674
nucleon	baryon	accept		09374886	09215023
pion	meson	accept		09392656	09352282
positron	antilepton	accept		09397896	09199341
strange-quark	quark	accept		09447917	09401834
tauon	lepton	accept		09455206	09338013
top-quark	quark	accept		09459812	09401834
up-quark	quark	accept		09467043	09401834
