# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
pooled-fund	fund	accept	kinds of dividend / fund [2026-09-03]	13369857	13358549
rent	regular-payment	accept	WordNet's annuity-in-advance is a quirk [2026-09-03]	13295657	13281275
mileage	expense-allowance	accept	a travel allowance per mile [2026-09-03]	13294029	13293377
retained-earnings	income	accept	profits not paid out [2026-09-03]	13366693	13255145
insurance	financial-services	accept	economics skeleton [2026-09-03]		01098698
insurance	contract	accept	economics skeleton [2026-09-03]		06520944
market	concept	accept	economics skeleton [2026-09-03]		05835747
marketplace	place	accept	economics skeleton [2026-09-03]		00027167
online-marketplace	marketplace	accept	economics skeleton [2026-09-03]		
financial-instrument	contract	accept	economics skeleton [2026-09-03]		06520944
security-finance	financial-instrument	accept	economics skeleton [2026-09-03]		
derivative-finance	financial-instrument	accept	economics skeleton [2026-09-03]		
option-finance	derivative-finance	accept	economics skeleton [2026-09-03]		
swap-finance	derivative-finance	accept	economics skeleton [2026-09-03]		
futures-contract	derivative-finance	accept	economics skeleton [2026-09-03]		
forward-contract	derivative-finance	accept	economics skeleton [2026-09-03]		
interest-rate-swap	swap-finance	accept	economics skeleton [2026-09-03]		
credit-default-swap	swap-finance	accept	economics skeleton [2026-09-03]		
bond	security-finance	accept	economics skeleton [2026-09-03]	13417410	
stock	security-finance	accept	economics skeleton [2026-09-03]	04321534	
share	security-finance	accept	economics skeleton [2026-09-03]	13342135	
asset	possession	accept	economics skeleton [2026-09-03]	05154517	00032613
financial-asset	asset	accept	economics skeleton [2026-09-03]		05154517
liability	debt	accept	economics skeleton [2026-09-03]	14530403	13397174
financial-statement	document	accept	economics skeleton [2026-09-03]		06470073
balance-sheet	financial-statement	accept	economics skeleton [2026-09-03]		
income-statement	financial-statement	accept	economics skeleton [2026-09-03]		
cash-flow-statement	financial-statement	accept	economics skeleton [2026-09-03]		
accounts-receivable	asset	accept	economics skeleton [2026-09-03]		05154517
accounts-payable	debt	accept	economics skeleton [2026-09-03]		13397174
accrual	concept	accept	economics skeleton [2026-09-03]		05835747
bookkeeping	procedure	accept	economics skeleton [2026-09-03]		01023820
double-entry-bookkeeping	bookkeeping	accept	economics skeleton [2026-09-03]		
general-ledger	accounting-record	accept	economics skeleton [2026-09-03]	13404655	
chart-of-accounts	accounting-record	accept	economics skeleton [2026-09-03]		
trial-balance	accounting-record	accept	economics skeleton [2026-09-03]		
cost-of-goods-sold	expense	accept	economics skeleton [2026-09-03]		13275495
fixed-asset	asset	accept	economics skeleton [2026-09-03]		05154517
current-asset	asset	accept	economics skeleton [2026-09-03]		05154517
intangible-asset	asset	accept	economics skeleton [2026-09-03]		05154517
earnings	income	accept	economics skeleton [2026-09-03]		13255145
earnings-per-share	concept	accept	economics skeleton [2026-09-03]		05835747
price-earnings-ratio	concept	accept	economics skeleton [2026-09-03]		05835747
market-capitalization	concept	accept	economics skeleton [2026-09-03]		05835747
book-value	concept	accept	economics skeleton [2026-09-03]		05835747
fair-value	concept	accept	economics skeleton [2026-09-03]		05835747
intrinsic-value	concept	accept	economics skeleton [2026-09-03]		05835747
par-value	concept	accept	economics skeleton [2026-09-03]		05835747
time-value-of-money	concept	accept	economics skeleton [2026-09-03]		05835747
discounting	procedure	accept	economics skeleton [2026-09-03]		01023820
present-value	concept	accept	economics skeleton [2026-09-03]		05835747
net-present-value	concept	accept	economics skeleton [2026-09-03]		05835747
internal-rate-of-return	concept	accept	economics skeleton [2026-09-03]		05835747
return-on-investment	concept	accept	economics skeleton [2026-09-03]		05835747
rate-of-return	concept	accept	economics skeleton [2026-09-03]		05835747
discounted-cash-flow	procedure	accept	economics skeleton [2026-09-03]		01023820
risk-free-interest-rate	interest-rate	accept	economics skeleton [2026-09-03]		13319032
yield-finance	concept	accept	economics skeleton [2026-09-03]		05835747
yield-curve	concept	accept	economics skeleton [2026-09-03]		05835747
credit-spread	concept	accept	economics skeleton [2026-09-03]		05835747
bid-ask-spread	concept	accept	economics skeleton [2026-09-03]		05835747
tick-size	concept	accept	economics skeleton [2026-09-03]		05835747
market-depth	concept	accept	economics skeleton [2026-09-03]		05835747
trading-volume	concept	accept	economics skeleton [2026-09-03]		05835747
open-interest	concept	accept	economics skeleton [2026-09-03]		05835747
settlement-date	concept	accept	economics skeleton [2026-09-03]		05835747
expiration-date	concept	accept	economics skeleton [2026-09-03]		05835747
underlying-asset	asset	accept	economics skeleton [2026-09-03]		05154517
exchange-rate	concept	accept	economics skeleton [2026-09-03]		05835747
currency-pair	concept	accept	economics skeleton [2026-09-03]		05835747
ticker-symbol	information	accept	economics skeleton [2026-09-03]		00033020
financial-risk	concept	accept	economics skeleton [2026-09-03]		05835747
credit-risk	financial-risk	accept	economics skeleton [2026-09-03]		
market-risk	financial-risk	accept	economics skeleton [2026-09-03]		
liquidity-risk	financial-risk	accept	economics skeleton [2026-09-03]		
operational-risk	financial-risk	accept	economics skeleton [2026-09-03]		
counterparty-risk	financial-risk	accept	economics skeleton [2026-09-03]		
risk-management	management	accept	economics skeleton [2026-09-03]		01133281
value-at-risk	concept	accept	economics skeleton [2026-09-03]		05835747
expected-shortfall	concept	accept	economics skeleton [2026-09-03]		05835747
sharpe-ratio	concept	accept	economics skeleton [2026-09-03]		05835747
maximum-drawdown	concept	accept	economics skeleton [2026-09-03]		05835747
implied-volatility	concept	accept	economics skeleton [2026-09-03]		05835747
price-volatility	attribute	accept	economics skeleton [2026-09-03]		00024264
liquidity	attribute	accept	economics skeleton [2026-09-03]		00024264
market-liquidity	liquidity	accept	economics skeleton [2026-09-03]		
diversification	investing	accept	economics skeleton [2026-09-03]		01099436
asset-allocation	investing	accept	economics skeleton [2026-09-03]		01099436
dollar-cost-averaging	investing	accept	economics skeleton [2026-09-03]		01099436
buy-and-hold	investing	accept	economics skeleton [2026-09-03]		01099436
value-investing	investing	accept	economics skeleton [2026-09-03]		01099436
growth-investing	investing	accept	economics skeleton [2026-09-03]		01099436
momentum-investing	investing	accept	economics skeleton [2026-09-03]		01099436
passive-management	investing	accept	economics skeleton [2026-09-03]		01099436
active-management	investing	accept	economics skeleton [2026-09-03]		01099436
technical-analysis	procedure	accept	economics skeleton [2026-09-03]		01023820
fundamental-analysis	procedure	accept	economics skeleton [2026-09-03]		01023820
backtesting	procedure	accept	economics skeleton [2026-09-03]		01023820
hedge-finance	investing	accept	economics skeleton [2026-09-03]		01099436
modern-portfolio-theory	concept	accept	economics skeleton [2026-09-03]		05835747
efficient-market-hypothesis	concept	accept	economics skeleton [2026-09-03]		05835747
capital-asset-pricing-model	concept	accept	economics skeleton [2026-09-03]		05835747
black-scholes-model	concept	accept	economics skeleton [2026-09-03]		05835747
arbitrage-pricing-theory	concept	accept	economics skeleton [2026-09-03]		05835747
fama-french-three-factor-model	concept	accept	economics skeleton [2026-09-03]		05835747
risk-neutral-measure	concept	accept	economics skeleton [2026-09-03]		05835747
monte-carlo-methods-in-finance	procedure	accept	economics skeleton [2026-09-03]		01023820
auction-theory	concept	accept	economics skeleton [2026-09-03]		05835747
contract-theory	concept	accept	economics skeleton [2026-09-03]		05835747
nash-equilibrium	concept	accept	economics skeleton [2026-09-03]		05835747
prisoners-dilemma	concept	accept	economics skeleton [2026-09-03]		05835747
mechanism-design	concept	accept	economics skeleton [2026-09-03]		05835747
information-asymmetry	concept	accept	economics skeleton [2026-09-03]		05835747
adverse-selection	concept	accept	economics skeleton [2026-09-03]		05835747
principal-agent-problem	concept	accept	economics skeleton [2026-09-03]		05835747
transaction-cost	concept	accept	economics skeleton [2026-09-03]		05835747
externality	concept	accept	economics skeleton [2026-09-03]		05835747
public-good	concept	accept	economics skeleton [2026-09-03]		05835747
commons	concept	accept	economics skeleton [2026-09-03]		05835747
tragedy-of-the-commons	concept	accept	economics skeleton [2026-09-03]		05835747
pareto-efficiency	concept	accept	economics skeleton [2026-09-03]		05835747
market-failure	concept	accept	economics skeleton [2026-09-03]		05835747
consumer-choice	concept	accept	economics skeleton [2026-09-03]		05835747
budget-constraint	concept	accept	economics skeleton [2026-09-03]		05835747
indifference-curve	concept	accept	economics skeleton [2026-09-03]		05835747
supply-and-demand	concept	accept	economics skeleton [2026-09-03]		05835747
equilibrium-price	purchase-price	accept	economics skeleton [2026-09-03]		13303315
economic-elasticity	concept	accept	economics skeleton [2026-09-03]		05835747
marginal-cost	concept	accept	economics skeleton [2026-09-03]		05835747
opportunity-cost	expenditure	accept	economics skeleton [2026-09-03]	13305794	
sunk-cost	expenditure	accept	economics skeleton [2026-09-03]		
economies-of-scale	concept	accept	economics skeleton [2026-09-03]		05835747
comparative-advantage	concept	accept	economics skeleton [2026-09-03]		05835747
division-of-labour	concept	accept	economics skeleton [2026-09-03]		05835747
scarcity	concept	accept	economics skeleton [2026-09-03]		05835747
economic-utility	concept	accept	economics skeleton [2026-09-03]	13580058	05835747
network-effect	concept	accept	economics skeleton [2026-09-03]		05835747
two-sided-market	market	accept	economics skeleton [2026-09-03]		
platform-economy	concept	accept	economics skeleton [2026-09-03]		05835747
sharing-economy	concept	accept	economics skeleton [2026-09-03]		05835747
gig-economy	concept	accept	economics skeleton [2026-09-03]		05835747
monopoly	concept	accept	economics skeleton [2026-09-03]	14444114	05835747
oligopoly	concept	accept	economics skeleton [2026-09-03]	14444825	05835747
perfect-competition	concept	accept	economics skeleton [2026-09-03]		05835747
monopolistic-competition	concept	accept	economics skeleton [2026-09-03]		05835747
barriers-to-entry	concept	accept	economics skeleton [2026-09-03]		05835747
market-power	concept	accept	economics skeleton [2026-09-03]		05835747
cartel	organization	accept	economics skeleton [2026-09-03]		08008335
collusion	act	accept	economics skeleton [2026-09-03]		00030358
price-war	event	accept	economics skeleton [2026-09-03]		00029378
clearing-house	organization	accept	economics skeleton [2026-09-03]		08008335
central-counterparty	organization	accept	economics skeleton [2026-09-03]		08008335
custodian-bank	bank	accept	economics skeleton [2026-09-03]		09213565
credit-rating-agency	organization	accept	economics skeleton [2026-09-03]		08008335
dark-pool	financial-market	accept	economics skeleton [2026-09-03]		
electronic-communication-network	financial-market	accept	economics skeleton [2026-09-03]		
economic-agent	agent	accept	economics skeleton [2026-09-03]		00007347
broker	economic-agent	accept	economics skeleton [2026-09-03]		
stockbroker	broker	accept	economics skeleton [2026-09-03]		
dealer-finance	economic-agent	accept	economics skeleton [2026-09-03]		
market-maker	economic-agent	accept	economics skeleton [2026-09-03]		
market-participant	economic-agent	accept	economics skeleton [2026-09-03]		
securities-trader	trader	accept	economics skeleton [2026-09-03]		10720453
investor	economic-agent	accept	economics skeleton [2026-09-03]		
angel-investor	investor	accept	economics skeleton [2026-09-03]		
accredited-investor	investor	accept	economics skeleton [2026-09-03]		
institutional-investor	investor	accept	economics skeleton [2026-09-03]		
shareholder	economic-agent	accept	economics skeleton [2026-09-03]		
stakeholder	economic-agent	accept	economics skeleton [2026-09-03]		
creditor	economic-agent	accept	economics skeleton [2026-09-03]		
debtor	economic-agent	accept	economics skeleton [2026-09-03]		
buyer	economic-agent	accept	economics skeleton [2026-09-03]		
customer	economic-agent	accept	economics skeleton [2026-09-03]	09984659	
vendor	economic-agent	accept	economics skeleton [2026-09-03]		
intermediary	economic-agent	accept	economics skeleton [2026-09-03]		
bidder	economic-agent	accept	economics skeleton [2026-09-03]		
entrepreneur	person	accept	economics skeleton [2026-09-03]		00007846
fiduciary	economic-agent	accept	economics skeleton [2026-09-03]		
trustee	economic-agent	accept	economics skeleton [2026-09-03]	10732314	
trust-beneficiary	economic-agent	accept	economics skeleton [2026-09-03]		
financial-advisor	professional	accept	economics skeleton [2026-09-03]		10480253
actuary	professional	accept	economics skeleton [2026-09-03]		10480253
courier	economic-agent	accept	economics skeleton [2026-09-03]		
customs-broker	professional	accept	economics skeleton [2026-09-03]		10480253
freight-forwarder	organization	accept	economics skeleton [2026-09-03]		08008335
fulfillment-house	organization	accept	economics skeleton [2026-09-03]		08008335
payment-processor	organization	accept	economics skeleton [2026-09-03]		08008335
cryptocurrency-exchange	organization	accept	economics skeleton [2026-09-03]		08008335
family-office	organization	accept	economics skeleton [2026-09-03]		08008335
sovereign-wealth-fund	fund	accept	economics skeleton [2026-09-03]		13358549
hedge-fund	fund	accept	economics skeleton [2026-09-03]		13358549
exchange-traded-fund	fund	accept	economics skeleton [2026-09-03]	13359032	13358549
index-fund	fund	accept	economics skeleton [2026-09-03]	13359153	13358549
pension-fund	fund	accept	economics skeleton [2026-09-03]	13360103	13358549
venture-capital	financial-services	accept	economics skeleton [2026-09-03]	13354260	01098698
private-equity	financial-services	accept	economics skeleton [2026-09-03]		01098698
business	organization	accept	economics skeleton [2026-09-03]		08008335
enterprise	business	accept	economics skeleton [2026-09-03]		
corporation	company	accept	economics skeleton [2026-09-03]		08058098
partnership	company	accept	economics skeleton [2026-09-03]	06526291	08058098
sole-proprietorship	company	accept	economics skeleton [2026-09-03]		08058098
startup-company	company	accept	economics skeleton [2026-09-03]		08058098
entrepreneurship	act	accept	economics skeleton [2026-09-03]		00030358
payment-system	concept	accept	economics skeleton [2026-09-03]		05835747
electronic-funds-transfer	payment	accept	economics skeleton [2026-09-03]		01120448
wire-transfer	payment	accept	economics skeleton [2026-09-03]		01120448
direct-debit	payment	accept	economics skeleton [2026-09-03]		01120448
point-of-sale	event	accept	economics skeleton [2026-09-03]		00029378
payment-card	device	accept	economics skeleton [2026-09-03]		03183080
debit-card	payment-card	accept	economics skeleton [2026-09-03]	13376764	
credit-card	payment-card	accept	economics skeleton [2026-09-03]	13376012	
escrow	contract	accept	economics skeleton [2026-09-03]		06520944
financial-transaction	act	accept	economics skeleton [2026-09-03]		00030358
payment	financial-transaction	accept	economics skeleton [2026-09-03]	01120448	
late-fee	fee	accept	economics skeleton [2026-09-03]		13320168
payment-terms	information	accept	economics skeleton [2026-09-03]		00033020
deposit-account	bank-account	accept	economics skeleton [2026-09-03]		13359690
checking-account	deposit-account	accept	economics skeleton [2026-09-03]	13363970	
savings-account	deposit-account	accept	economics skeleton [2026-09-03]	13364212	
overdraft	debt	accept	economics skeleton [2026-09-03]		13397174
mortgage-loan	loan	accept	economics skeleton [2026-09-03]		13398953
default-finance	event	accept	economics skeleton [2026-09-03]		00029378
insolvency	state	accept	economics skeleton [2026-09-03]	14478433	00024720
credit-rating	information	accept	economics skeleton [2026-09-03]		00033020
credit-score	information	accept	economics skeleton [2026-09-03]		00033020
crowdfunding	financial-services	accept	economics skeleton [2026-09-03]		01098698
microfinance	financial-services	accept	economics skeleton [2026-09-03]		01098698
repurchase-agreement	financial-transaction	accept	economics skeleton [2026-09-03]		
securities-lending	financial-transaction	accept	economics skeleton [2026-09-03]		
netting	procedure	accept	economics skeleton [2026-09-03]		01023820
novation	contract	accept	economics skeleton [2026-09-03]		06520944
collateral-management	procedure	accept	economics skeleton [2026-09-03]		01023820
margin-call	event	accept	economics skeleton [2026-09-03]		00029378
settlement-finance	procedure	accept	economics skeleton [2026-09-03]		01023820
treasury-bill	bond	accept	economics skeleton [2026-09-03]	13394592	13417410
commercial-paper	security-finance	accept	economics skeleton [2026-09-03]		
certificate-of-deposit	security-finance	accept	economics skeleton [2026-09-03]		
asset-backed-security	security-finance	accept	economics skeleton [2026-09-03]		
mortgage-backed-security	asset-backed-security	accept	economics skeleton [2026-09-03]	13340244	
collateralized-debt-obligation	asset-backed-security	accept	economics skeleton [2026-09-03]		
structured-product	financial-instrument	accept	economics skeleton [2026-09-03]		
tranche	concept	accept	economics skeleton [2026-09-03]	13285619	05835747
securitization	procedure	accept	economics skeleton [2026-09-03]		01023820
exotic-option	option-finance	accept	economics skeleton [2026-09-03]		
barrier-option	exotic-option	accept	economics skeleton [2026-09-03]		
asian-option	exotic-option	accept	economics skeleton [2026-09-03]		
binary-option	exotic-option	accept	economics skeleton [2026-09-03]		
asset-class	concept	accept	economics skeleton [2026-09-03]		05835747
commodity	goods	accept	economics skeleton [2026-09-03]	03076708	
goods	possession	accept	economics skeleton [2026-09-03]		00032613
goods-and-services	concept	accept	economics skeleton [2026-09-03]		05835747
financial-market	market	accept	economics skeleton [2026-09-03]		
stock-market	financial-market	accept	economics skeleton [2026-09-03]		
commodity-market	financial-market	accept	economics skeleton [2026-09-03]		
bond-market	financial-market	accept	economics skeleton [2026-09-03]		
money-market	financial-market	accept	economics skeleton [2026-09-03]	08073601	
capital-market	financial-market	accept	economics skeleton [2026-09-03]		
derivatives-market	financial-market	accept	economics skeleton [2026-09-03]		
foreign-exchange-market	financial-market	accept	economics skeleton [2026-09-03]		
spot-market	financial-market	accept	economics skeleton [2026-09-03]	04286796	
futures-market	financial-market	accept	economics skeleton [2026-09-03]		
secondary-market	financial-market	accept	economics skeleton [2026-09-03]		
primary-market	financial-market	accept	economics skeleton [2026-09-03]		
over-the-counter-market	financial-market	accept	economics skeleton [2026-09-03]	03866350	
stock-market-index	concept	accept	economics skeleton [2026-09-03]		05835747
market-index	concept	accept	economics skeleton [2026-09-03]		05835747
bull-market	event	accept	economics skeleton [2026-09-03]	08073243	00029378
bear-market	event	accept	economics skeleton [2026-09-03]	08073130	00029378
market-correction	event	accept	economics skeleton [2026-09-03]		00029378
stock-market-crash	event	accept	economics skeleton [2026-09-03]		00029378
financial-bubble	event	accept	economics skeleton [2026-09-03]		00029378
dead-cat-bounce	event	accept	economics skeleton [2026-09-03]		00029378
trading-halt	event	accept	economics skeleton [2026-09-03]		00029378
order-book	information	accept	economics skeleton [2026-09-03]		00033020
matching-engine	software	accept	economics skeleton [2026-09-03]		06566077
trade-order	financial-transaction	accept	economics skeleton [2026-09-03]		
stop-loss-order	trade-order	accept	economics skeleton [2026-09-03]		
fill-or-kill	trade-order	accept	economics skeleton [2026-09-03]		
stop-order	trade-order	accept	economics skeleton [2026-09-03]	06530412	
short-selling	trading	accept	economics skeleton [2026-09-03]		00079398
day-trading	trading	accept	economics skeleton [2026-09-03]		00079398
algorithmic-trading	trading	accept	economics skeleton [2026-09-03]		00079398
high-frequency-trading	trading	accept	economics skeleton [2026-09-03]		00079398
securities-trading	trading	accept	economics skeleton [2026-09-03]		00079398
long-position	state	accept	economics skeleton [2026-09-03]		00024720
short-position	state	accept	economics skeleton [2026-09-03]		00024720
capital-gain	income	accept	economics skeleton [2026-09-03]		13255145
capital-loss	expenditure	accept	economics skeleton [2026-09-03]		
financial-leverage	concept	accept	economics skeleton [2026-09-03]		05835747
logistics	management	accept	economics skeleton [2026-09-03]		01133281
supply-chain	concept	accept	economics skeleton [2026-09-03]		05835747
supply-chain-management	management	accept	economics skeleton [2026-09-03]		01133281
inventory-management	management	accept	economics skeleton [2026-09-03]		01133281
fleet-management	management	accept	economics skeleton [2026-09-03]		01133281
asset-management	management	accept	economics skeleton [2026-09-03]		01133281
wealth-management	management	accept	economics skeleton [2026-09-03]		01133281
procurement	buying	accept	economics skeleton [2026-09-03]		00081572
purchasing	buying	accept	economics skeleton [2026-09-03]		00081572
warehouse	building	accept	economics skeleton [2026-09-03]		02913152
distribution-center	building	accept	economics skeleton [2026-09-03]		02913152
warehouse-management-system	software	accept	economics skeleton [2026-09-03]		06566077
transportation-management-system	software	accept	economics skeleton [2026-09-03]		06566077
order-fulfillment	act	accept	economics skeleton [2026-09-03]		00030358
cargo	goods	accept	economics skeleton [2026-09-03]		
freight-transport	transportation	accept	economics skeleton [2026-09-03]		01105259
third-party-logistics	transportation	accept	economics skeleton [2026-09-03]		01105259
waybill	document	accept	economics skeleton [2026-09-03]		06470073
delivery	transport	accept	economics skeleton [2026-09-03]	00042541	00315986
last-mile	delivery	accept	economics skeleton [2026-09-03]		00042541
parcel	container	accept	economics skeleton [2026-09-03]	01085098	03094503
pallet	container	accept	economics skeleton [2026-09-03]		03094503
intermodal-container	container	accept	economics skeleton [2026-09-03]		03094503
shipping-container	container	accept	economics skeleton [2026-09-03]		03094503
containerization	procedure	accept	economics skeleton [2026-09-03]		01023820
truck	vehicle	accept	economics skeleton [2026-09-03]	04490091	04524313
freight-train	vehicle	accept	economics skeleton [2026-09-03]		04524313
cargo-ship	ship	accept	economics skeleton [2026-09-03]		04194289
container-ship	cargo-ship	accept	economics skeleton [2026-09-03]		
cargo-aircraft	aircraft	accept	economics skeleton [2026-09-03]		02686568
barcode	information	accept	economics skeleton [2026-09-03]		00033020
qr-code	barcode	accept	economics skeleton [2026-09-03]		
rfid	device	accept	economics skeleton [2026-09-03]		03183080
stock-keeping-unit	information	accept	economics skeleton [2026-09-03]		00033020
lead-time	concept	accept	economics skeleton [2026-09-03]		05835747
safety-stock	concept	accept	economics skeleton [2026-09-03]		05835747
economic-order-quantity	concept	accept	economics skeleton [2026-09-03]		05835747
inventory-turnover	concept	accept	economics skeleton [2026-09-03]		05835747
stockout	event	accept	economics skeleton [2026-09-03]		00029378
just-in-time-manufacturing	procedure	accept	economics skeleton [2026-09-03]		01023820
bullwhip-effect	concept	accept	economics skeleton [2026-09-03]		05835747
demand-forecasting	procedure	accept	economics skeleton [2026-09-03]		01023820
vehicle-routing-problem	problem	accept	economics skeleton [2026-09-03]		06784003
route-planning	procedure	accept	economics skeleton [2026-09-03]		01023820
reverse-logistics	logistics	accept	economics skeleton [2026-09-03]		
cold-chain	logistics	accept	economics skeleton [2026-09-03]		
drop-shipping	logistics	accept	economics skeleton [2026-09-03]		
shipment	goods	accept	economics skeleton [2026-09-03]		
postage-stamp	artifact	accept	economics skeleton [2026-09-03]		00021939
blockchain	hash-chain	accept	economics skeleton [2026-09-03]		
hash-chain	concept	accept	economics skeleton [2026-09-03]		05835747
distributed-ledger	information	accept	economics skeleton [2026-09-03]		00033020
cryptocurrency	currency	accept	economics skeleton [2026-09-03]		13385913
bitcoin	cryptocurrency	accept	economics skeleton [2026-09-03]		
bitcoin	payment-system	accept	economics skeleton [2026-09-03]		
ethereum	blockchain	accept	economics skeleton [2026-09-03]		
smart-contract	computer-program	accept	economics skeleton [2026-09-03]		06568978
decentralized-application	software	accept	economics skeleton [2026-09-03]		06566077
decentralized-autonomous-organization	organization	accept	economics skeleton [2026-09-03]		08008335
erc-20-token	crypto-token	accept	economics skeleton [2026-09-03]		
non-fungible-token	crypto-token	accept	economics skeleton [2026-09-03]		
stablecoin	cryptocurrency	accept	economics skeleton [2026-09-03]		
decentralized-exchange	decentralized-application	accept	economics skeleton [2026-09-03]		
sidechain	blockchain	accept	economics skeleton [2026-09-03]		
hard-fork	event	accept	economics skeleton [2026-09-03]		00029378
soft-fork	event	accept	economics skeleton [2026-09-03]		00029378
genesis-block	blockchain-block	accept	economics skeleton [2026-09-03]		
51-percent-attack	act	accept	economics skeleton [2026-09-03]		00030358
double-spending	problem	accept	economics skeleton [2026-09-03]		06784003
cryptographic-hash-function	procedure	accept	economics skeleton [2026-09-03]		01023820
elliptic-curve-cryptography	procedure	accept	economics skeleton [2026-09-03]		01023820
digital-signature	information	accept	economics skeleton [2026-09-03]		00033020
private-key	information	accept	economics skeleton [2026-09-03]		00033020
public-key	information	accept	economics skeleton [2026-09-03]		00033020
seed-phrase	information	accept	economics skeleton [2026-09-03]		00033020
coinbase-transaction	financial-transaction	accept	economics skeleton [2026-09-03]		
unspent-transaction-output	information	accept	economics skeleton [2026-09-03]		00033020
lightning-network	layer-2	accept	economics skeleton [2026-09-03]		
segwit	soft-fork	accept	economics skeleton [2026-09-03]		
bitcoin-taproot	soft-fork	accept	economics skeleton [2026-09-03]		
satoshi	concept	accept	economics skeleton [2026-09-03]		05835747
ethereum-virtual-machine	software	accept	economics skeleton [2026-09-03]		06566077
solidity	language	accept	economics skeleton [2026-09-03]		06282651
ethereum-name-service	decentralized-application	accept	economics skeleton [2026-09-03]		
ipfs	decentralized-storage	accept	economics skeleton [2026-09-03]		
content-addressable-storage	concept	accept	economics skeleton [2026-09-03]		05835747
know-your-customer	procedure	accept	economics skeleton [2026-09-03]		01023820
anti-money-laundering	procedure	accept	economics skeleton [2026-09-03]		01023820
initial-coin-offering	crowdfunding	accept	economics skeleton [2026-09-03]		
tokenomics	economics	accept	economics skeleton [2026-09-03]		06149484
ethereum-improvement-proposal	document	accept	economics skeleton [2026-09-03]		06470073
web3	concept	accept	economics skeleton [2026-09-03]		05835747
interoperability	attribute	accept	economics skeleton [2026-09-03]		00024264
fungibility	attribute	accept	economics skeleton [2026-09-03]		00024264
merkle-tree	concept	accept	economics skeleton [2026-09-03]		05835747
cryptocurrency-mining	process	accept	economics skeleton [2026-09-03]		00029677
white-paper	document	accept	economics skeleton [2026-09-03]		06470073
store-of-value	concept	accept	economics skeleton [2026-09-03]		05835747
medium-of-exchange	concept	accept	economics skeleton [2026-09-03]		05835747
unit-of-account	concept	accept	economics skeleton [2026-09-03]		05835747
legal-tender	money	accept	economics skeleton [2026-09-03]		13384877
fiat-money	currency	accept	economics skeleton [2026-09-03]		13385913
commodity-money	money	accept	economics skeleton [2026-09-03]		13384877
ownership	concept	accept	economics skeleton [2026-09-03]	13240514	05835747
property-title	legal-document	accept	economics skeleton [2026-09-03]		06479665
deed	legal-document	accept	economics skeleton [2026-09-03]	06545137	06479665
patent	legal-document	accept	economics skeleton [2026-09-03]	06501141	06479665
