sub	sup	status	for	against
aposelene	apoapsis	accepted	claude wordnet	
aposelene	phenomenon	single	sumo	
aposelene	physical-object	single	wordnet	
aposelene	place	accepted	sumo wordnet	
aposelene	universe	single	sumo	
apparent-magnitude	quantity	accepted	claude-ruling	
armillary-sphere	artifact	accepted	sumo wordnet	
armillary-sphere	device	single	sumo	
armillary-sphere	information	single	yago	
armillary-sphere	map	accepted	wikidata yago	
armillary-sphere	model	accepted	claude wordnet	
armillary-sphere	organization	single	yago	
armillary-sphere	phenomenon	single	sumo	
armillary-sphere	physical-object	single	wordnet	
armillary-sphere	place	single	yago	
armillary-sphere	planetarium	dissented	wikidata	
armillary-sphere	product	single	yago	
armillary-sphere	universe	single	sumo	
artificial-satellite	spacecraft	single	claude	
ascending-node	orbital-node	accepted	claude wordnet	
ascending-node	phenomenon	single	sumo	
ascending-node	physical-object	single	wordnet	
ascending-node	place	accepted	sumo wordnet	
ascending-node	universe	single	sumo	
asterism	celestial-body	dissented	wikidata	
asterism	concept	accepted	claude-ruling	
asteroid	celestial-body	accepted	sumo wikidata wordnet	
asteroid	ground	single	opencyc	
asteroid	minor-planet	accepted	claude wikidata wordnet	
asteroid	natural-object	single	wordnet	
asteroid	phenomenon	single	sumo	
asteroid	physical-object	single	wordnet	
asteroid	place	single	yago	
asteroid	planetary-body	single	opencyc	
asteroid	universe	single	sumo	
asteroid-belt	celestial-body	accepted	claude wikidata	
astrobiology	astronomy	accepted	claude wikidata	
astrobiology	biology	accepted	claude wikidata	
astrobiology	research	single	wikidata	
astrobiology	science	single	wikidata	
astrometry	astronomy	accepted	sumo wikidata wordnet	
astrometry	cognition	single	wordnet	
astrometry	field-of-study	accepted	sumo wordnet	
astrometry	natural-science	single	wordnet	
astrometry	physics	single	wordnet	
astrometry	research	single	wikidata	
astrometry	science	accepted	wikidata wordnet	
astrometry	signified	single	sumo	
astronaut	adult	single	opencyc	
astronaut	agent	single	wordnet	
astronaut	human	single	opencyc	
astronaut	mammal	single	opencyc	
astronaut	organism	single	wordnet	
astronaut	person	accepted	wikidata wordnet	
astronaut	physical-object	single	wordnet	
astronaut	research-worker	single	wikidata	
astronaut	scientist	dissented	wikidata	
astronaut	structure	single	opencyc	
astronaut	system	single	opencyc	
astronaut	vertebrate	single	opencyc	
astronaut	worker	single	opencyc	
astronautics	engineering	accepted	claude-ruling	
astronomical-catalog	collection	single	yago	
astronomical-catalog	dataset	single	yago	
astronomical-catalog	document	accepted	claude-ruling	
astronomical-catalog	information	single	yago	
astronomical-catalog	product	single	yago	
astronomical-conjunction	encounter	accepted	claude wordnet	
astronomical-conjunction	event	single	wordnet	
astronomical-nutation	natural-event	accepted	claude-ruling	
astronomical-opposition	natural-event	accepted	claude-ruling	
astronomical-photometry	activity	accepted	claude-ruling	
astronomical-telescope	artifact	accepted	sumo wordnet	
astronomical-telescope	device	accepted	sumo wordnet	
astronomical-telescope	instrument	accepted	claude wordnet	
astronomical-telescope	phenomenon	single	sumo	
astronomical-telescope	physical-object	single	wordnet	
astronomical-telescope	telescope	accepted	claude wikidata	
astronomical-telescope	universe	single	sumo	
astronomical-transit	natural-event	accepted	claude-ruling	
astronomy-satellite	artifact	accepted	opencyc sumo wordnet	
astronomy-satellite	device	accepted	opencyc sumo	
astronomy-satellite	equipment	single	wordnet	
astronomy-satellite	observatory	single	opencyc	
astronomy-satellite	phenomenon	single	sumo	
astronomy-satellite	physical-object	single	wordnet	
astronomy-satellite	product	single	opencyc	
astronomy-satellite	satellite	accepted	claude wordnet	
astronomy-satellite	spacecraft	single	opencyc	
astronomy-satellite	universe	single	sumo	
astrophotography	photography	accepted	claude-ruling	
astrophysics	astronomy	accepted	sumo wikidata wordnet	
astrophysics	cognition	single	wordnet	
astrophysics	field-of-study	accepted	sumo wordnet	
astrophysics	natural-science	single	wordnet	
astrophysics	physics	single	wordnet	
astrophysics	research	single	wikidata	
astrophysics	science	accepted	wikidata wordnet	
astrophysics	signified	single	sumo	
atmospheric-entry	event	accepted	claude-ruling	
autumnal-equinoctial-point	equinoctial-point	accepted	claude wordnet	
autumnal-equinoctial-point	phenomenon	single	sumo	
autumnal-equinoctial-point	physical-object	single	wordnet	
autumnal-equinoctial-point	place	accepted	sumo wordnet	
autumnal-equinoctial-point	universe	single	sumo	
autumnal-equinox	attribute	single	wordnet	
autumnal-equinox	day	single	sumo	
autumnal-equinox	equinox	accepted	claude-ruling wordnet	
autumnal-equinox	quantity	single	sumo	
axial-precession	natural-event	accepted	claude-ruling	
barred-spiral-galaxy	celestial-body	single	wikidata	
barred-spiral-galaxy	galaxy	single	wikidata	
barred-spiral-galaxy	place	single	yago	
barred-spiral-galaxy	spiral-galaxy	accepted	claude wikidata	
barycenter	information	single	yago	
barycenter	point	accepted	claude-ruling	
bayer-designation	code	accepted	claude-ruling	
big-bang	event	accepted	sumo wordnet	
big-bang	explosion	accepted	claude wordnet	
big-bang	phenomenon	single	sumo	
binary-star	celestial-body	accepted	sumo wikidata wordnet	
binary-star	natural-object	single	wordnet	
binary-star	phenomenon	single	sumo	
binary-star	physical-object	single	wordnet	
binary-star	place	single	yago	
binary-star	star	accepted	claude wordnet	
binary-star	star-system	accepted	claude wikidata	
binary-star	universe	single	sumo	
black-hole	celestial-body	accepted	sumo wikidata	
black-hole	phenomenon	single	sumo	
black-hole	physical-object	single	wordnet	
black-hole	place	dissented	wordnet	
black-hole	star	dissented	wikidata	
black-hole	universe	single	sumo	
bolide	meteor	accepted	claude wikidata	
booster-rocket	artifact	accepted	sumo wordnet	
booster-rocket	device	accepted	sumo wordnet	
booster-rocket	engine	accepted	claude wordnet	
booster-rocket	machine	single	wordnet	
booster-rocket	phenomenon	single	sumo	
booster-rocket	physical-object	single	wordnet	
booster-rocket	universe	single	sumo	
brown-dwarf	celestial-body	accepted	claude-ruling wikidata	
brown-dwarf	place	single	yago	
callisto	galilean-satellite	accepted	claude-ruling	
callisto	natural-satellite	accepted	claude-ruling	
cassegrainian-telescope	artifact	accepted	sumo wordnet	
cassegrainian-telescope	astronomical-telescope	single	wordnet	
cassegrainian-telescope	device	accepted	sumo wordnet	
cassegrainian-telescope	instrument	single	wordnet	
cassegrainian-telescope	optical-telescope	single	wordnet	
cassegrainian-telescope	phenomenon	single	sumo	
cassegrainian-telescope	physical-object	single	wordnet	
cassegrainian-telescope	reflecting-telescope	accepted	claude wordnet	
cassegrainian-telescope	universe	single	sumo	
celestial-coordinate-system	concept	accepted	claude-ruling	
celestial-culmination	phenomenon	single	sumo	
celestial-culmination	physical-object	single	wordnet	
celestial-culmination	place	accepted	sumo wordnet	
celestial-culmination	universe	single	sumo	
celestial-equator	phenomenon	single	sumo	
celestial-equator	physical-object	single	wordnet	
celestial-equator	place	accepted	sumo wordnet	
celestial-equator	universe	single	sumo	
celestial-mechanics	astronomy	accepted	claude-ruling sumo wikidata wordnet	
celestial-mechanics	cognition	single	wordnet	
celestial-mechanics	field-of-study	accepted	sumo wordnet	
celestial-mechanics	natural-science	single	wordnet	
celestial-mechanics	physics	single	wordnet	
celestial-mechanics	research	single	wikidata	
celestial-mechanics	science	accepted	wikidata wordnet	
celestial-mechanics	signified	single	sumo	
celestial-navigation	accomplishment	single	sumo	
celestial-navigation	act	accepted	sumo wordnet	
celestial-navigation	activity	accepted	sumo wordnet	
celestial-navigation	event	accepted	sumo wordnet	
celestial-navigation	leader	single	sumo	
celestial-navigation	phenomenon	single	sumo	
celestial-navigation	procedure	single	sumo	
celestial-navigation	volition	single	sumo	
celestial-point	point	accepted	claude-ruling	
celestial-pole	celestial-point	accepted	claude-ruling	
celestial-pole	phenomenon	single	sumo	
celestial-pole	physical-object	single	wordnet	
celestial-pole	place	accepted	sumo wordnet	
celestial-pole	universe	single	sumo	
celestial-sphere	phenomenon	single	sumo	
celestial-sphere	physical-object	single	wordnet	
celestial-sphere	place	accepted	sumo wordnet	
celestial-sphere	surface	accepted	claude wordnet	
celestial-sphere	universe	single	sumo	
ceres	asteroid	accepted	claude-ruling	
ceres	dwarf-planet	accepted	claude-ruling	
charon	natural-satellite	accepted	claude-ruling	
chiron	asteroid	accepted	claude wordnet	
chiron	celestial-body	accepted	sumo wordnet	
chiron	minor-planet	single	wordnet	
chiron	natural-object	single	wordnet	
chiron	phenomenon	single	sumo	
chiron	physical-object	single	wordnet	
chiron	universe	single	sumo	
chromosphere	layer	accepted	claude-ruling	
circumstellar-disc	celestial-body	accepted	claude-ruling	
collimator	artifact	accepted	sumo wordnet	
collimator	device	accepted	sumo wordnet	
collimator	instrument	accepted	claude wordnet	
collimator	phenomenon	single	sumo	
collimator	physical-object	single	wordnet	
collimator	universe	single	sumo	
communications-satellite	artifact	accepted	opencyc sumo wordnet	
communications-satellite	celestial-body	single	wikidata	
communications-satellite	device	accepted	opencyc sumo	
communications-satellite	equipment	single	wordnet	
communications-satellite	machine	single	sumo	
communications-satellite	machinery	single	sumo	
communications-satellite	phenomenon	single	sumo	
communications-satellite	physical-object	single	wordnet	
communications-satellite	place	single	yago	
communications-satellite	product	accepted	opencyc yago	
communications-satellite	satellite	accepted	claude claude-ruling wikidata wordnet	
communications-satellite	spacecraft	accepted	opencyc wikidata	
communications-satellite	universe	single	sumo	
communications-satellite	vehicle	single	yago	
constellation	asterism	dissented	wikidata	
coronal-mass-ejection	natural-event	accepted	claude-ruling	
cosmic-inflation	concept	accepted	claude-ruling	
cosmic-microwave-background	radiation	accepted	claude-ruling	
cosmic-ray	radiation	accepted	claude-ruling	
cosmological-constant	quantity	accepted	claude-ruling	
cosmologist	agent	single	wordnet	
cosmologist	organism	single	wordnet	
cosmologist	person	single	wordnet	
cosmologist	physical-object	single	wordnet	
cosmologist	research-worker	single	wikidata	
cosmologist	scientist	accepted	wikidata wordnet	
cosmology	astronomy	accepted	sumo wikidata wordnet	
cosmology	astrophysics	accepted	claude wordnet	
cosmology	cognition	single	wordnet	
cosmology	field-of-study	accepted	sumo wordnet	
cosmology	natural-science	single	wordnet	
cosmology	physics	single	wordnet	
cosmology	research	single	wikidata	
cosmology	science	accepted	wikidata wordnet	
cosmology	signified	single	sumo	
coude-telescope	artifact	accepted	sumo wordnet	
coude-telescope	astronomical-telescope	single	wordnet	
coude-telescope	device	accepted	sumo wordnet	
coude-telescope	instrument	single	wordnet	
coude-telescope	optical-telescope	single	wordnet	
coude-telescope	phenomenon	single	sumo	
coude-telescope	physical-object	single	wordnet	
coude-telescope	reflecting-telescope	accepted	claude wordnet	
coude-telescope	universe	single	sumo	
crewed-spacecraft	spacecraft	accepted	claude claude-ruling wikidata	
cubesat	celestial-body	single	wikidata	
cubesat	satellite	accepted	claude wikidata	
cubesat	spacecraft	single	wikidata	
dark-energy	concept	accepted	claude-ruling	
dark-matter	celestial-body	single	wikidata	
dark-matter	interstellar-medium	dissented	wikidata	
dark-matter	phenomenon	single	sumo	
dark-matter	substance	accepted	claude wordnet	
dark-matter	universe	single	sumo	
dark-nebula	celestial-body	single	wikidata	
dark-nebula	nebula	accepted	claude-ruling wikidata	
dark-nebula	place	single	yago	
daylight	solar-radiation	single	opencyc	
declination	angle	accepted	claude wordnet	
declination	attribute	single	wordnet	
declination	empty-space	single	wordnet	
declination	physical-object	single	wordnet	
declination	place	single	wordnet	
declination	quantity	single	sumo	
declination	shape	single	wordnet	
deimos	natural-satellite	accepted	claude-ruling	
descending-node	orbital-node	accepted	claude wordnet	
descending-node	phenomenon	single	sumo	
descending-node	physical-object	single	wordnet	
descending-node	place	accepted	sumo wordnet	
descending-node	universe	single	sumo	
diffuse-nebula	celestial-body	accepted	sumo wikidata	
diffuse-nebula	natural-event	dissented	wordnet	
diffuse-nebula	nebula	accepted	claude-ruling wikidata	
diffuse-nebula	phenomenon	accepted	sumo wordnet	
diffuse-nebula	process	single	wordnet	
diffuse-nebula	universe	single	sumo	
dwarf-galaxy	celestial-body	single	wikidata	
dwarf-galaxy	galaxy	accepted	claude wikidata	
dwarf-galaxy	place	single	yago	
dwarf-planet	celestial-body	accepted	claude-ruling wikidata	
dwarf-planet	minor-planet	dissented	wikidata	
dwarf-planet	planetary-body	single	opencyc	
earth-observation-satellite	celestial-body	single	wikidata	
earth-observation-satellite	place	single	yago	
earth-observation-satellite	product	single	yago	
earth-observation-satellite	satellite	accepted	claude claude-ruling wikidata	
earth-observation-satellite	spacecraft	single	wikidata	
earth-observation-satellite	vehicle	single	yago	
eclipse	natural-event	accepted	claude-ruling	
ecliptic	phenomenon	single	sumo	
ecliptic	physical-object	single	wordnet	
ecliptic	place	accepted	sumo wordnet	
ecliptic	universe	single	sumo	
ecliptic-coordinate-system	celestial-coordinate-system	accepted	claude-ruling wikidata	
elliptical-galaxy	celestial-body	single	wikidata	
elliptical-galaxy	galaxy	accepted	opencyc wikidata	
elliptical-galaxy	place	single	yago	
emission-nebula	celestial-body	single	wikidata	
emission-nebula	nebula	accepted	claude-ruling opencyc wikidata	
emission-nebula	place	single	yago	
enceladus	natural-satellite	accepted	claude-ruling	
ephemeris	document	accepted	claude-ruling	
equatorial-coordinate-system	celestial-coordinate-system	accepted	claude-ruling wikidata	
equatorial-telescope	artifact	accepted	sumo wordnet	
equatorial-telescope	device	accepted	sumo wordnet	
equatorial-telescope	instrument	accepted	claude wordnet	
equatorial-telescope	phenomenon	single	sumo	
equatorial-telescope	physical-object	single	wordnet	
equatorial-telescope	universe	single	sumo	
equinoctial-point	phenomenon	single	sumo	
equinoctial-point	physical-object	single	wordnet	
equinoctial-point	place	accepted	sumo wordnet	
equinoctial-point	universe	single	sumo	
equinox	attribute	dissented	wordnet	
equinox	day	single	sumo	
equinox	event	single	opencyc	
equinox	natural-event	accepted	claude-ruling	
equinox	quantity	single	sumo	
equinox	situation	single	opencyc	
eris	dwarf-planet	accepted	claude-ruling	
escape-velocity	quantity	accepted	claude-ruling sumo	
escape-velocity	vector	single	sumo	
europa	galilean-satellite	accepted	claude-ruling	
europa	natural-satellite	accepted	claude-ruling	
event-horizon	region	accepted	claude-ruling	
exoplanet	celestial-body	single	wikidata	
exoplanet	place	single	yago	
exoplanet	planet	accepted	claude wikidata	
exoplanet	planetary-body	accepted	claude claude-ruling wikidata	
expansion-of-the-universe	natural-event	accepted	claude-ruling	
falcon-9	launch-vehicle	accepted	claude-ruling wikidata	
falcon-9	reusable-launch-system	accepted	claude wikidata	
falcon-9	spacecraft	single	wikidata	
field-glass	artifact	accepted	sumo wordnet	
field-glass	astronomical-telescope	single	wordnet	
field-glass	device	accepted	sumo wordnet	
field-glass	instrument	single	wordnet	
field-glass	optical-telescope	single	wordnet	
field-glass	phenomenon	single	sumo	
field-glass	physical-object	single	wordnet	
field-glass	refracting-telescope	accepted	claude wordnet	
field-glass	universe	single	sumo	
first-quarter	appearance	single	wordnet	
first-quarter	attribute	single	wordnet	
first-quarter	half-moon	accepted	claude wordnet	
first-quarter	lunar-phase	single	wordnet	
first-quarter	quantity	single	sumo	
first-quarter	time-period	single	wordnet	
fixed-star	celestial-body	accepted	sumo wikidata wordnet	
fixed-star	natural-object	single	wordnet	
fixed-star	phenomenon	single	sumo	
fixed-star	physical-object	single	wordnet	
fixed-star	star	accepted	sumo wordnet	
fixed-star	universe	single	sumo	
flare-star	celestial-body	accepted	sumo wordnet	
flare-star	natural-object	single	wordnet	
flare-star	phenomenon	single	sumo	
flare-star	physical-object	single	wordnet	
flare-star	place	single	yago	
flare-star	red-dwarf	accepted	claude wordnet	
flare-star	star	accepted	sumo wordnet	
flare-star	universe	single	sumo	
full-moon	appearance	single	wordnet	
full-moon	attribute	single	wordnet	
full-moon	lunar-phase	accepted	claude wordnet	
full-moon	quantity	single	sumo	
full-moon	time-period	single	wordnet	
galactic-coordinate-system	celestial-coordinate-system	accepted	claude-ruling wikidata	
galaxy-cluster	celestial-body	accepted	claude wikidata	
galaxy-cluster	collection	accepted	claude-ruling	
galaxy-cluster	place	single	yago	
galaxy-group	collection	accepted	claude-ruling	
galaxy-group	place	single	yago	
galilean-satellite	celestial-body	single	wordnet	
galilean-satellite	natural-object	single	wordnet	
galilean-satellite	natural-satellite	accepted	claude claude-ruling wordnet	
galilean-satellite	physical-object	single	wordnet	
galilean-telescope	artifact	accepted	sumo wordnet	
galilean-telescope	astronomical-telescope	single	wordnet	
galilean-telescope	device	accepted	sumo wordnet	
galilean-telescope	instrument	single	wordnet	
galilean-telescope	optical-telescope	single	wordnet	
galilean-telescope	phenomenon	single	sumo	
galilean-telescope	physical-object	single	wordnet	
galilean-telescope	refracting-telescope	accepted	claude wordnet	
galilean-telescope	universe	single	sumo	
ganymede	galilean-satellite	accepted	claude-ruling	
ganymede	natural-satellite	accepted	claude-ruling	
gas-giant	celestial-body	single	wikidata	
gas-giant	place	single	yago	
gas-giant	planet	accepted	claude wikidata	
gas-giant	planetary-body	accepted	claude wikidata	
geomagnetic-storm	natural-event	accepted	claude-ruling	
geostationary-orbit	curve	single	wikidata	
geostationary-orbit	empty-space	single	sumo	
geostationary-orbit	geosynchronous-orbit	accepted	claude wikidata wordnet	
geostationary-orbit	orbit	accepted	wikidata wordnet	
geostationary-orbit	phenomenon	single	sumo	
geostationary-orbit	physical-object	single	wordnet	
geostationary-orbit	place	accepted	sumo wordnet	
geostationary-orbit	route	single	wordnet	
geostationary-orbit	sky	single	sumo	
geostationary-orbit	universe	single	sumo	
geosynchronous-orbit	curve	single	wikidata	
geosynchronous-orbit	orbit	accepted	claude wikidata wordnet	
geosynchronous-orbit	phenomenon	single	sumo	
geosynchronous-orbit	physical-object	single	wordnet	
geosynchronous-orbit	place	accepted	sumo wordnet	
geosynchronous-orbit	route	single	wordnet	
geosynchronous-orbit	universe	single	sumo	
giant-star	celestial-body	accepted	sumo wikidata wordnet	
giant-star	natural-object	single	wordnet	
giant-star	phenomenon	single	sumo	
giant-star	physical-object	single	wordnet	
giant-star	star	accepted	sumo wikidata wordnet	
giant-star	star.object	single	claude	
giant-star	universe	single	sumo	
globular-cluster	celestial-body	single	wikidata	
globular-cluster	place	single	yago	
globular-cluster	star-cluster	accepted	claude-ruling opencyc wikidata	
gravitational-lens	celestial-body	dissented	wikidata	
gravitational-lens	natural-event	accepted	claude-ruling	
gravitational-lens	place	single	yago	
gravitational-wave	wave	accepted	claude-ruling	
gravity-assist	method	accepted	claude-ruling	
half-moon	appearance	single	wordnet	
half-moon	attribute	single	wordnet	
half-moon	lunar-phase	accepted	claude wordnet	
half-moon	quantity	single	sumo	
half-moon	time-period	single	wordnet	
harvest-moon	appearance	single	wordnet	
harvest-moon	attribute	single	wordnet	
harvest-moon	full-moon	accepted	claude wordnet	
harvest-moon	lunar-phase	single	wordnet	
harvest-moon	quantity	single	sumo	
harvest-moon	time-period	single	wordnet	
heliocentric-orbit	curve	single	wikidata	
heliocentric-orbit	orbit	accepted	claude claude-ruling wikidata	
heliosphere	region	accepted	claude-ruling	
herschelian-telescope	artifact	accepted	sumo wordnet	
herschelian-telescope	astronomical-telescope	single	wordnet	
herschelian-telescope	device	accepted	sumo wordnet	
herschelian-telescope	instrument	single	wordnet	
herschelian-telescope	optical-telescope	single	wordnet	
herschelian-telescope	phenomenon	single	sumo	
herschelian-telescope	physical-object	single	wordnet	
herschelian-telescope	reflecting-telescope	accepted	claude wordnet	
herschelian-telescope	universe	single	sumo	
hertzsprung-russell-diagram	image	accepted	claude-ruling	
hill-sphere	region	accepted	claude-ruling	
hohmann-transfer-orbit	orbit	accepted	claude-ruling	
horizontal-coordinate-system	celestial-coordinate-system	accepted	claude-ruling wikidata	
host-star	celestial-body	single	wordnet	
host-star	natural-object	single	wordnet	
host-star	physical-object	single	wordnet	
host-star	star	accepted	claude wordnet	
hour-angle	angle	accepted	claude wordnet	
hour-angle	attribute	single	wordnet	
hour-angle	empty-space	single	wordnet	
hour-angle	physical-object	single	wordnet	
hour-angle	place	single	wordnet	
hour-angle	quantity	single	sumo	
hour-angle	shape	single	wordnet	
hubble-space-telescope	space-telescope	accepted	claude-ruling	
hubbles-law	concept	accepted	claude-ruling	
human-spaceflight	spaceflight	accepted	claude claude-ruling wikidata	
ice-giant	celestial-body	single	wikidata	
ice-giant	planet	accepted	claude wikidata	
ice-giant	planetary-body	accepted	claude wikidata	
inferior-planet	celestial-body	single	wordnet	
inferior-planet	ground	single	opencyc	
inferior-planet	natural-object	single	wordnet	
inferior-planet	physical-object	single	wordnet	
inferior-planet	planet	accepted	opencyc wordnet	
inferior-planet	planetary-body	single	opencyc	
inferior-planet	terrestrial-planet	single	opencyc	
inner-planet	celestial-body	single	wikidata	
inner-planet	planet	single	wikidata	
inner-planet	planetary-body	single	wikidata	
inner-planet	terrestrial-planet	accepted	claude wikidata	
interferometry	method	accepted	claude-ruling	
intergalactic-space	phenomenon	single	sumo	
intergalactic-space	physical-object	single	wordnet	
intergalactic-space	place	accepted	sumo wordnet	
intergalactic-space	universe	single	sumo	
international-astronomical-union	organization	accepted	claude-ruling	
international-space-station	artifact	single	opencyc	
international-space-station	device	single	opencyc	
international-space-station	space-station	accepted	claude-ruling	
interplanetary-medium	substance	accepted	claude-ruling	
interstellar-medium	celestial-body	dissented	wikidata	
interstellar-medium	substance	accepted	claude-ruling	
interstellar-space	phenomenon	single	sumo	
interstellar-space	physical-object	single	wordnet	
interstellar-space	place	accepted	sumo wordnet	
interstellar-space	universe	single	sumo	
io	galilean-satellite	accepted	claude-ruling	
io	natural-satellite	accepted	claude-ruling	
irregular-galaxy	celestial-body	single	wikidata	
irregular-galaxy	galaxy	accepted	claude wikidata	
irregular-galaxy	place	single	yago	
j2000	concept	accepted	claude-ruling	
james-webb-space-telescope	space-telescope	accepted	claude-ruling	
jovian-planet	celestial-body	single	wordnet	
jovian-planet	natural-object	single	wordnet	
jovian-planet	physical-object	single	wordnet	
jovian-planet	planet	accepted	opencyc wordnet	
jovian-planet	planetary-body	single	opencyc	
jupiter	planet	accepted	claude-ruling	
keplers-laws	concept	accepted	claude-ruling	
kessler-syndrome	concept	accepted	claude-ruling	
kuiper-belt-object	celestial-body	accepted	sumo wordnet	
kuiper-belt-object	minor-planet	accepted	claude wordnet	
kuiper-belt-object	natural-object	single	wordnet	
kuiper-belt-object	phenomenon	single	sumo	
kuiper-belt-object	physical-object	single	wordnet	
kuiper-belt-object	universe	single	sumo	
lagrange-point	celestial-point	accepted	claude-ruling	
lambda-cdm-model	concept	accepted	claude-ruling	
lander	artifact	accepted	sumo wordnet	
lander	device	single	sumo	
lander	equipment	single	wordnet	
lander	phenomenon	single	sumo	
lander	physical-object	single	wordnet	
lander	satellite	single	wordnet	
lander	spacecraft	accepted	claude wikidata wordnet	
lander	universe	single	sumo	
lander	vehicle	accepted	sumo wordnet	
large-magellanic-cloud	dwarf-galaxy	accepted	claude-ruling	
large-magellanic-cloud	irregular-galaxy	accepted	claude-ruling	
last-quarter	appearance	single	wordnet	
last-quarter	attribute	single	wordnet	
last-quarter	half-moon	accepted	claude wordnet	
last-quarter	lunar-phase	single	wordnet	
last-quarter	quantity	single	sumo	
last-quarter	time-period	single	wordnet	
launch-pad	artifact	single	opencyc	
launch-pad	device	single	opencyc	
launch-pad	facility	accepted	claude-ruling	
launch-pad	place	single	yago	
launch-vehicle	product	single	yago	
launch-vehicle	rocket	accepted	claude-ruling	
launch-vehicle	vehicle	single	yago	
light-pollution	condition	accepted	claude-ruling	
liquid-propellant-rocket	product	single	yago	
liquid-propellant-rocket	rocket	accepted	claude-ruling	
local-group	galaxy-group	accepted	claude-ruling	
low-earth-orbit	orbit	accepted	claude-ruling	
lunar-eclipse	eclipse	accepted	claude wikidata	
lunar-eclipse	event	accepted	opencyc sumo wordnet	
lunar-eclipse	phenomenon	single	sumo	
lunar-eclipse	situation	single	opencyc	
lunar-excursion-module	artifact	accepted	sumo wordnet	
lunar-excursion-module	device	single	sumo	
lunar-excursion-module	equipment	single	wordnet	
lunar-excursion-module	phenomenon	single	sumo	
lunar-excursion-module	physical-object	single	wordnet	
lunar-excursion-module	satellite	single	wordnet	
lunar-excursion-module	spacecraft	accepted	claude wordnet	
lunar-excursion-module	universe	single	sumo	
lunar-excursion-module	vehicle	accepted	sumo wordnet	
lunar-phase	appearance	accepted	claude wordnet	
lunar-phase	attribute	single	wordnet	
lunar-phase	quantity	single	sumo	
lunar-phase	time-period	single	wordnet	
magellanic-clouds	celestial-body	single	wikidata	
magellanic-clouds	collection	accepted	claude-ruling	
magellanic-clouds	dwarf-galaxy	dissented	wikidata	
magellanic-clouds	galaxy	single	wikidata	
magnetar	celestial-body	single	wikidata	
magnetar	neutron-star	accepted	claude wikidata	
magnetar	star	single	wikidata	
main-sequence	concept	accepted	claude-ruling	
main-sequence	stellar-evolution	dissented	wikidata	
maksutov-telescope	artifact	accepted	sumo wordnet	
maksutov-telescope	astronomical-telescope	single	wordnet	
maksutov-telescope	device	accepted	sumo wordnet	
maksutov-telescope	instrument	single	wordnet	
maksutov-telescope	optical-telescope	single	wordnet	
maksutov-telescope	phenomenon	single	sumo	
maksutov-telescope	physical-object	single	wordnet	
maksutov-telescope	reflecting-telescope	accepted	claude wordnet	
maksutov-telescope	universe	single	sumo	
mars	planet	accepted	claude-ruling	
medium-earth-orbit	orbit	accepted	claude-ruling	
mercury-planet	planet	accepted	claude-ruling	
messier-object	celestial-body	accepted	claude-ruling	
meteor	celestial-body	single	sumo	
meteor	ending	single	opencyc	
meteor	event	single	opencyc	
meteor	image	single	opencyc	
meteor	light	single	opencyc	
